Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,BATS, ,Y,N,,,ETF,USA
AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,BATS, ,Y,N,,,ETF,USA
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,BATS, ,Y,N,,,ETF,USA
AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS, ,Y,N,,,ETF,USA
ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,G,Y,N,,,ETF,USA
ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
ACEI,ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACHX,ACHX,Corgi ACHR 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACII,ACII,Innovator Index Autocallable Income Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACLZ,ACLZ,Corgi ACLS 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACMM,ACMM,Corgi ACMR 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACYN,ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACYQ,ACYQ,FT Vest Autocallable Barrier & High Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACYS,ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ADBG,ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
ADBU,ADBU,Direxion Daily ADBE Bull 2X ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ADFI,ADFI,Anfield Dynamic Fixed Income ETF,BATS, ,Y,N,,,ETF,USA
ADIU,ADIU,Leverage Shares 2X Long ADI Daily ETF,BATS, ,Y,N,,,ETF,USA
AEHG,AEHG,Leverage Shares 2X Long AEHR Daily ETF,BATS, ,Y,N,,,ETF,USA
AETH,AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AFIF,AFIF,Anfield Universal Fixed Income ETF,BATS, ,Y,N,,,ETF,USA
AFRU,AFRU,T-REX 2X Long AFRM Daily Target ETF,BATS, ,Y,N,,,ETF,USA
AGGA,AGGA,EA Astoria Dynamic Core US Fixed Income ETF,NASDAQ,G,Y,N,,,ETF,USA
AGQ,AGQ,ProShares Ultra Silver,NYSE ARCA, ,Y,N,,,ETF,USA
AGQI,AGQI,First Trust Active Global Quality Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AIBD,AIBD,Direxion Daily AI and Big Data Bear 2X ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AIBU,AIBU,Direxion Daily AI and Big Data Bull 2X ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AINP,AINP,Allspring Income Plus ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AIPI,AIPI,REX AI Equity Premium Income ETF,NASDAQ,G,Y,N,,,ETF,USA
AIPO,AIPO,Defiance AI & Power Infrastructure ETF,NASDAQ,G,Y,N,,,ETF,USA
AIQD,AIQD,MicroSectors -3? Short Artificial Intelligence (AI) ETNs,NYSE ARCA, ,Y,N,,,ETF,USA
