Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
AAA,AAA,Alternative Access First Priority CLO Bond ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AAAC,AAAC,Columbia AAA CLO ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AAAD,AAAD,PGIM AAA CLO Aggregate Duration ETF,NYSE ARCA, ,Y,N,,,ETF,USA
AAAP,AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,G,Y,N,,,ETF,USA
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,BATS, ,Y,N,,,ETF,USA
AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,BATS, ,Y,N,,,ETF,USA
AAOZ,AAOZ,Tradr 2X Short AAOI Daily ETF,BATS, ,Y,N,,,ETF,USA
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPE,AAPE,Leverage Shares 2X Long AAPL Daily ETF,BATS, ,Y,N,,,ETF,USA
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,BATS, ,Y,N,,,ETF,USA
AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,G,Y,N,,,ETF,USA
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS, ,Y,N,,,ETF,USA
ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,G,Y,N,,,ETF,USA
ABUF,ABUF,Aptus Laddered Buffer ETF,BATS, ,Y,N,,,ETF,USA
ABXB,ABXB,Abacus Flexible Bond Leaders ETF,BATS, ,Y,N,,,ETF,USA
ACEI,ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACHX,ACHX,Corgi ACHR 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACII,ACII,Innovator Index Autocallable Income Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACLO,ACLO,TCW AAA CLO ETF,NYSE, ,Y,N,,,ETF,USA
ACLZ,ACLZ,Corgi ACLS 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACMM,ACMM,Corgi ACMR 2x Daily ETF,BATS, ,Y,N,,,ETF,USA
ACVT,ACVT,Advent Convertible Bond ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACYN,ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACYQ,ACYQ,FT Vest Autocallable Barrier & High Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
ACYS,ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,NYSE ARCA, ,Y,N,,,ETF,USA
