Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue
A,A,"Agilent Technologies, Inc. Common Stock",NYSE, ,N,N
AA,AA,Alcoa Corporation Common Stock ,NYSE, ,N,N
AAA,AAA,Alternative Access First Priority CLO Bond ETF,NYSE ARCA, ,Y,N
AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,BATS, ,Y,N
AAAC,AAAC,Columbia AAA CLO ETF,NYSE ARCA, ,Y,N
AAAD,AAAD,PGIM AAA CLO Aggregate Duration ETF,NYSE ARCA, ,Y,N
AAAP,AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,G,Y,N
AAAU,AAAU,Goldman Sachs Physical Gold ETF Shares,BATS, ,Y,N
AAC-U,AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",NYSE, ,N,N
AACB,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,G,N,N
AACBR,AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,G,N,N
AACBU,AACBU,Artius II Acquisition Inc. - Units,NASDAQ,G,N,N
AACG,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,S,N,N
AACI,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,G,N,N
AACIU,AACIU,Armada Acquisition Corp. III - Units,NASDAQ,G,N,N
AACIW,AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,G,N,N
AACO,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,G,N,N
AACOU,AACOU,Abony Acquisition Corp. I - Units,NASDAQ,G,N,N
AACOW,AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,G,N,N
AACP,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,G,N,N
AACPR,AACPR,Apogee Acquisition Corp - Rights,NASDAQ,G,N,N
AACPU,AACPU,Apogee Acquisition Corp - Units,NASDAQ,G,N,N
AACPW,AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,G,N,N
AADR,AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,G,Y,N
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE, ,N,N
AAEQ,AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,G,Y,N
AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Q,N,N
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,G,Y,N
AAME,AAME,Atlantic American Corporation - Common Stock,NASDAQ,G,N,N
AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE, ,N,N
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,BATS, ,Y,N
AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,G,N,N
AAON,AAON,"AAON, Inc. - Common Stock",NASDAQ,Q,N,N
AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,BATS, ,Y,N
AAOZ,AAOZ,Tradr 2X Short AAOI Daily ETF,BATS, ,Y,N
AAP,AAP,Advance Auto Parts Inc.,NYSE, ,N,N
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,G,Y,N
AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,G,Y,N
AAPE,AAPE,Leverage Shares 2X Long AAPL Daily ETF,BATS, ,Y,N
AAPG,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,G,N,N
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,BATS, ,Y,N
AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,G,Y,N
AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,BATS, ,Y,N
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS, ,Y,N
AAPY,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,BATS, ,Y,N
AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,Q,N,N
AAT,AAT,"American Assets Trust, Inc. Common Stock",NYSE, ,N,N
AAUA,AAUA,Alpha Architect US Equity 3 ETF,BATS, ,Y,N
AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE, ,N,N
AAUS,AAUS,Alpha Architect US Equity ETF,NASDAQ,G,Y,N
AAVM,AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,G,Y,N
AAXJ,AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,G,Y,N
AB,AB,AllianceBernstein Holding L.P.  Units,NYSE, ,N,N
ABAT,ABAT,American Battery Technology Company - Common Stock,NASDAQ,S,N,N
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N
ABCB,ABCB,Ameris Bancorp Common Stock,NYSE, ,N,N
ABCL,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,Q,N,N
ABCS,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,G,Y,N
ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,S,N,N
ABEQ,ABEQ,Absolute Select Value ETF,NYSE ARCA, ,Y,N
ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE, ,N,N
ABFL,ABFL,Abacus FCF Leaders ETF,BATS, ,Y,N
ABG,ABG,Asbury Automotive Group Inc Common Stock,NYSE, ,N,N
ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,G,Y,N
ABIG,ABIG,Argent Large Cap ETF,NASDAQ,G,Y,N
ABLD,ABLD,Abacus FCF Real Assets Leaders ETF,BATS, ,Y,N
ABLG,ABLG,Abacus FCF International Leaders ETF,BATS, ,Y,N
ABLS,ABLS,Abacus FCF Small Cap Leaders ETF,BATS, ,Y,N
ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,S,N,N
ABLVW,ABLVW,Able View Global Inc. - Warrant,NASDAQ,S,N,N
ABM,ABM,ABM Industries Incorporated Common Stock,NYSE, ,N,N
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,Q,N,N
ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,G,Y,N
ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,Q,N,N
ABOT,ABOT,Abacus FCF Innovation Leaders ETF,BATS, ,Y,N
ABR,ABR,Arbor Realty Trust Common Stock,NYSE, ,N,N
ABR$D,ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE, ,N,N
ABR$E,ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE, ,N,N
ABR$F,ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE, ,N,N
ABSI,ABSI,Absci Corporation - Common Stock,NASDAQ,Q,N,N
ABT,ABT,Abbott Laboratories Common Stock,NYSE, ,N,N
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,S,N,N
ABTS,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,S,N,N
ABUF,ABUF,Aptus Laddered Buffer ETF,BATS, ,Y,N
ABUS,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,Q,N,N
ABVC,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,S,N,N
ABVX,ABVX,Abivax SA - American Depositary Shares,NASDAQ,G,N,N
ABX,ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE, ,N,N
ABXB,ABXB,Abacus Flexible Bond Leaders ETF,BATS, ,Y,N
