Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
A,A,"Agilent Technologies, Inc. Common Stock",NYSE, ,N,N,35957822950.0,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,AA,Alcoa Corporation Common Stock ,NYSE, ,N,N,14484915239.0,Industrials,Aluminum
AAA,AAA,Alternative Access First Priority CLO Bond ETF,NYSE, ,Y,N,,,ETF
AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,, ,Y,N,,,ETF
AAAC,AAAC,Columbia AAA CLO ETF,NYSE, ,Y,N,,,ETF
AAAD,AAAD,PGIM AAA CLO Aggregate Duration ETF,NYSE, ,Y,N,,,ETF
AAAP,AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,G,Y,N,,,ETF
AAAU,AAAU,Goldman Sachs Physical Gold ETF Shares,, ,Y,N,,,ETF
AACB,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,G,N,N,0.0,,
AACBR,AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,G,N,N,0.0,,
AACBU,AACBU,Artius II Acquisition Inc. - Units,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACG,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,S,N,N,43460297.0,Real Estate,Other Consumer Services
AACI,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACIU,AACIU,Armada Acquisition Corp. III - Units,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACIW,AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACO,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,G,N,N,0.0,,
AACOU,AACOU,Abony Acquisition Corp. I - Units,NASDAQ,G,N,N,0.0,,
AACOW,AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,G,N,N,,,
AACP,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACPR,AACPR,Apogee Acquisition Corp - Rights,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACPU,AACPU,Apogee Acquisition Corp - Units,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AACPW,AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,G,N,N,0.0,Finance,Blank Checks
AADR,AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,G,Y,N,,,ETF
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE, ,N,N,3059723843.0,Industrials,Military/Government/Technical
AAEQ,AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,G,Y,N,,,ETF
AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Q,N,N,10727666922.0,Consumer Discretionary,Air Freight/Delivery Services
AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,G,Y,N,,,ETF
AAME,AAME,Atlantic American Corporation - Common Stock,NASDAQ,G,N,N,37122955.0,Finance,Life Insurance
AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE, ,N,N,2590583717.0,Finance,Investment Managers
AAOG,AAOG,Leverage Shares 2X Long AAOI Daily ETF,, ,Y,N,,,ETF
AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,G,N,N,12211344282.0,Technology,Semiconductors
AAON,AAON,"AAON, Inc. - Common Stock",NASDAQ,Q,N,N,10645245832.0,Industrials,Industrial Machinery/Components
AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,, ,Y,N,,,ETF
AAP,AAP,Advance Auto Parts Inc.,NYSE, ,N,N,3328965697.0,Consumer Discretionary,Auto & Home Supply Stores
AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,G,Y,N,,,ETF
AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,G,Y,N,,,ETF
AAPG,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,G,N,N,1603418815.0,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4386672616520.0,Technology,Computer Manufacturing
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,, ,Y,N,,,ETF
AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,G,Y,N,,,ETF
AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,, ,Y,N,,,ETF
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,, ,Y,N,,,ETF
AAPY,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,, ,Y,N,,,ETF
AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,Q,N,N,92937800.0,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,AAT,"American Assets Trust, Inc. Common Stock",NYSE, ,N,N,1503464023.0,Real Estate,Real Estate Investment Trusts
AAUA,AAUA,Alpha Architect US Equity 3 ETF,, ,Y,N,,,ETF
AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE, ,N,N,3123579000.0,,
AAUM,AAUM,Tema Alternative Asset Managers ETF,, ,Y,N,,,ETF
AAUS,AAUS,Alpha Architect US Equity ETF,NASDAQ,G,Y,N,,,ETF
AAVM,AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,G,Y,N,,,ETF
AAXJ,AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,G,Y,N,,,ETF
AB,AB,AllianceBernstein Holding L.P.  Units,NYSE, ,N,N,3341055822.0,Finance,Investment Managers
ABAT,ABAT,American Battery Technology Company - Common Stock,NASDAQ,S,N,N,392873498.0,Basic Materials,Metal Mining
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,413553195611.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,ABCB,Ameris Bancorp Common Stock,NYSE, ,N,N,6002686918.0,Finance,Major Banks
ABCL,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,Q,N,N,1658966945.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABCS,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,G,Y,N,,,ETF
ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,S,N,N,326867151.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABEQ,ABEQ,Absolute Select Value ETF,NYSE, ,Y,N,,,ETF
ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE, ,N,N,49570353888.0,Consumer Staples,Beverages (Production/Distribution)
ABFL,ABFL,Abacus FCF Leaders ETF,, ,Y,N,,,ETF
ABG,ABG,Asbury Automotive Group Inc Common Stock,NYSE, ,N,N,3699555560.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,G,Y,N,,,ETF
ABIG,ABIG,Argent Large Cap ETF,NASDAQ,G,Y,N,,,ETF
ABLD,ABLD,Abacus FCF Real Assets Leaders ETF,, ,Y,N,,,ETF
ABLG,ABLG,Abacus FCF International Leaders ETF,, ,Y,N,,,ETF
ABLS,ABLS,Abacus FCF Small Cap Leaders ETF,, ,Y,N,,,ETF
ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,S,N,N,55316713.0,Consumer Discretionary,Other Consumer Services
ABLVW,ABLVW,Able View Global Inc. - Warrant,NASDAQ,S,N,N,809995.0,Consumer Discretionary,Other Consumer Services
ABM,ABM,ABM Industries Incorporated Common Stock,NYSE, ,N,N,2603336218.0,Consumer Discretionary,Diversified Commercial Services
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,Q,N,N,84107472005.0,Consumer Discretionary,Diversified Commercial Services
ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,G,Y,N,,,ETF
ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,Q,N,N,171540503.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABOT,ABOT,Abacus FCF Innovation Leaders ETF,, ,Y,N,,,ETF
ABR,ABR,Arbor Realty Trust Common Stock,NYSE, ,N,N,985851165.0,Real Estate,Real Estate Investment Trusts
ABR$D,ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE, ,N,N,,,
ABR$E,ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE, ,N,N,,,
ABR$F,ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE, ,N,N,,,
ABSI,ABSI,Absci Corporation - Common Stock,NASDAQ,Q,N,N,1237886145.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,ABT,Abbott Laboratories Common Stock,NYSE, ,N,N,156972136101.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,S,N,N,840099336.0,Technology,EDP Services
ABTS,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,S,N,N,3494804.0,Technology,Computer Software: Programming Data Processing
ABUF,ABUF,Aptus Laddered Buffer ETF,, ,Y,N,,,ETF
ABUS,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,Q,N,N,881018187.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,S,N,N,34047579.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,ABVX,Abivax SA - American Depositary Shares,NASDAQ,G,N,N,7877579528.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABX,ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE, ,N,N,926610065.0,Finance,Investment Managers
ABXB,ABXB,Abacus Flexible Bond Leaders ETF,, ,Y,N,,,ETF
ABXL,ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE, ,N,N,0.0,,
ACA,ACA,"Arcosa, Inc. Common Stock ",NYSE, ,N,N,7089514962.0,Industrials,Metal Fabrications
ACAA,ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,G,N,N,0.0,Finance,Blank Checks
ACAAU,ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ,G,N,N,,,
ACAAW,ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,G,N,N,,,
ACAD,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,Q,N,N,3849382358.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,S,N,N,178083670.0,Health Care,Medicinal Chemicals and Botanical Products
ACCL,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,S,N,N,23282500.0,Consumer Discretionary,Professional Services
ACCO,ACCO,Acco Brands Corporation Common Stock,NYSE, ,N,N,357498952.0,Consumer Discretionary,Publishing
ACCS,ACCS,ACCESS Newswire Inc. Common Stock,NYSE, ,N,N,25699793.0,Consumer Discretionary,Publishing
ACDC,ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,Q,N,N,1099998178.0,Energy,Oilfield Services/Equipment
ACEI,ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE, ,Y,N,,,ETF
ACEL,ACEL,"Accel Entertainment, Inc. ",NYSE, ,N,N,1046305730.0,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACEP,ACEP,ARS Core Equity Portfolio ETF,NASDAQ,G,Y,N,,,ETF
ACES,ACES,ALPS Clean Energy ETF,NYSE, ,Y,N,,,ETF
ACET,ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,S,N,N,76795759.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACFN,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,S,N,N,40232458.0,Consumer Discretionary,Military/Government/Technical
ACGC,ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,G,N,N,0.0,Finance,Blank Checks
ACGCU,ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ,G,N,N,0.0,Finance,Blank Checks
ACGCW,ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ,G,N,N,0.0,Finance,Blank Checks
ACGL,ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,Q,N,N,32563109602.0,Finance,Property-Casualty Insurers
ACGLN,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,Q,N,N,5504632959.0,Finance,Property-Casualty Insurers
