Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,4.84E+12,Technology,Semiconductors
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4.33E+12,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4.28E+12,Technology,Computer Software: Programming Data Processing
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4.25E+12,Technology,Computer Manufacturing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2.77E+12,Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Q,N,N,2.56E+12,Consumer Discretionary,Catalog/Specialty Distribution
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,2.24E+12,Technology,Computer Software: Programming Data Processing
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1.80E+12,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.43E+12,Technology,Computer Software: Programming Data Processing
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1.30E+12,Technology,Semiconductors
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,9.47E+11,Technology,Semiconductors
WMT,WMT,Walmart Inc. - Common Stock,NASDAQ,Q,N,N,9.01E+11,Consumer Discretionary,Department/Specialty Retail Stores
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,7.67E+11,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,7.02E+11,Technology,Semiconductors
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,5.74E+11,Technology,Semiconductors
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,5.42E+11,Technology,Industrial Machinery/Components
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,4.63E+11,Telecommunications,Computer Communications Equipment
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,4.54E+11,Consumer Discretionary,Business Services
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,4.22E+11,Technology,Computer Software: Prepackaged Software
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Q,N,N,4.15E+11,Consumer Discretionary,Department/Specialty Retail Stores
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Q,N,N,3.94E+11,Technology,Electronic Components
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,3.90E+11,Technology,Consumer Electronics/Appliances
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,3.77E+11,Technology,Semiconductors
HD,HD,"Home Depot, Inc. (The) Common Stock",NYSE, ,N,N,3.52E+11,Consumer Discretionary,RETAIL: Building Materials
PG,PG,Procter & Gamble Company (The) Common Stock,NYSE, ,N,N,3.41E+11,Consumer Discretionary,Package Goods/Cosmetics
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,NASDAQ,Q,N,N,3.37E+11,Technology,Electronic Components
GEV,GEV,GE Vernova Inc. Common Stock,NYSE, ,N,N,3.16E+11,,
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Q,N,N,3.01E+11,Consumer Discretionary,Consumer Electronics/Video Chains
