QNT,Quantinuum Inc Class A,United States (NGM),$19.60B,$75.61
IONQ,IonQ Inc Class A,United States (NYQ),$16.83B,$45.08
QBTS,D-Wave Quantum Inc,United States (NYQ),$7.65B,$20.64
HQ,Horizon Quantum Holdings Ltd Class A,Singapore (NCM),$1.23B,$23.76
ARQQ,Arqit Quantum Inc,United Kingdom (NCM),$348.92M,$20.05
QUBT,Quantum Computing Inc,United States (NCM),$1.97B,$8.75
RGTI,Rigetti Computing Inc,United States (NCM),$5.62B,$16.92
IBM,International Business Machines Corp,United States (NYQ),$283.89B,$302.05
INTC,Intel Corp,United States (NMS),$554.07B,$110.24
XNDU.TO,Xanadu Quantum Technologies Ltd Ordinary Shares - Class B (Sub Voting),Canada (TOR),C$4.74B,C$15.87
BTQ.NE,BTQ Technologies Corp,Canada (NEO),C$797.63M,C$5.54
QNC.V,Quantum eMotion Corp,Canada (VAN),C$875.28M,C$3.99
INFQ,Infleqtion Inc Ordinary Shares - Class A,United States (NYQ),$2.51B,$11.51
DELL,Dell Technologies Inc Ordinary Shares - Class C,United States (NYQ),$279.11B,$431.97
MSFT,Microsoft Corp,United States (NMS),$2.85T,$383.34
ONTO,Onto Innovation Inc,United States (NYQ),$14.50B,$291.45
TER,Teradyne Inc,United States (NMS),$55.04B,$351.57
