Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
RGC,Regencell Bioscience Holdings Limited,,7.37,1.42,23.87%,826.013k,"2,12,708",3.689B,--,-65.80%,5.1769.00
PENG,"Penguin Solutions, Inc.",,74.71,12,19.14%,7.286M,3.106M,3.927B,87.97,167.65%,16.0477.40
KC,Kingsoft Cloud Holdings Limited,,10.51,1.07,11.29%,2.797M,1.428M,3.146B,--,-20.00%,8.3518.52
BABA,Alibaba Group Holding Limited,,108.85,10.71,10.91%,23.923M,11.806M,261.336B,14.84,-5.48%,91.99192.67
VG,"Venture Global, Inc.",,12.8,1.2,10.40%,10.873M,17.431M,31.775B,12.36,-29.42%,5.7218.18
PARR,"Par Pacific Holdings, Inc.",,67.78,6.32,10.28%,428.774k,1.142M,3.395B,6.5,87.72%,26.8370.39
CVI,"CVR Energy, Inc.",,31.41,2.76,9.63%,432.570k,"9,57,055",3.158B,--,-7.22%,19.6241.67
PBF,PBF Energy Inc.,,52.64,4.18,8.63%,1.528M,2.913M,6.228B,12.52,87.76%,21.2452.18
WULF,TeraWulf Inc.,,21.75,1.51,7.49%,21.972M,31.371M,10.8B,--,310.55%,4.6429.84
VNET,"VNET Group, Inc.",,8.27,0.56,7.20%,2.109M,7.664M,2.353B,--,7.38%,6.8214.48
VIST,"Vista Energy, S.A.B. de C.V.",,66.31,4.28,6.90%,"8,40,128",1.052M,7.39B,9.27,31.34%,31.6381.44
PTEN,"Patterson-UTI Energy, Inc.",,9.77,0.63,6.83%,5.918M,9.431M,3.711B,--,40.12%,5.1013.08
DK,"Delek US Holdings, Inc.",,55.67,3.35,6.41%,376.366k,1.248M,3.412B,--,115.04%,19.8154.61
DINO,HF Sinclair Corporation,,78.64,4.69,6.35%,827.539k,2.316M,14.175B,10.95,65.27%,42.1675.07
GDS,GDS Holdings Limited,,32.26,1.85,6.07%,"8,14,986",2.338M,6.464B,15.33,-5.65%,26.9748.61
HUN,Huntsman Corporation,,11.63,0.66,6.02%,2.199M,6.099M,2.04B,--,-5.27%,7.3016.09
VLO,Valero Energy Corporation,,282.23,16.01,6.01%,1.444M,3.078M,83.802B,19.48,78.59%,130.78274.92
SM,SM Energy Company,,29.52,1.6,5.73%,2.266M,4.215M,7.087B,27.87,0.72%,17.4535.88
KEX,Kirby Corporation,,141.57,7.66,5.72%,361.838k,"6,34,908",7.581B,19.95,14.88%,79.52157.69
PSX,Phillips 66,,189.29,10.46,5.85%,924.496k,2.593M,75.901B,17.39,37.03%,118.07190.61
MEOH,Methanex Corporation,,48.55,2.6,5.66%,706.002k,1.021M,3.76B,--,34.00%,32.0066.75
ATHM,Autohome Inc.,,19.73,1.06,5.68%,"1,70,300","7,03,191",2.272B,13.27,-30.23%,15.5729.92
CVE,Cenovus Energy Inc.,,26.64,1.43,5.67%,4.719M,8.367M,49.676B,13.98,74.10%,13.9032.07
OXY,Occidental Petroleum Corporation,,54.54,2.86,5.53%,10.036M,11.426M,54.297B,66.12,13.41%,38.8067.45
