Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue, MarketCap ,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,"50,19,08,00,00,000.00",Technology,Semiconductors
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,"48,94,70,82,60,560.00",Technology,Computer Manufacturing
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,"42,94,63,73,60,000.00",Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,"42,86,76,19,60,000.00",Technology,Computer Software: Programming Data Processing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,"29,79,54,51,59,774.00",Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Q,N,N,"26,88,09,40,76,962.00",Consumer Discretionary,Catalog/Specialty Distribution
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,"17,81,47,59,05,141.00",Technology,Semiconductors
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,"17,16,34,18,63,351.00",Technology,Computer Software: Programming Data Processing
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,"16,86,88,38,22,440.00",Technology,Computer Software: Programming Data Processing
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,"14,68,71,33,76,993.00",Industrials,Auto Manufacturing
LLY,LLY,Eli Lilly and Company Common Stock,NYSE, ,N,N,"11,01,05,57,99,653.00",Health Care,Biotechnology: Pharmaceutical Preparations
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,"9,63,59,82,36,433.00",Technology,Semiconductors
WMT,WMT,Walmart Inc. - Common Stock,NASDAQ,Q,N,N,"9,14,78,11,98,867.00",Consumer Discretionary,Department/Specialty Retail Stores
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,"8,16,83,30,84,101.00",Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,"6,87,92,04,27,729.00",Technology,Industrial Machinery/Components
XOM,XOM,ExxonMobil Holdings Corporation Common Stock,NYSE, ,N,N,"6,04,95,50,38,294.00",Energy,Integrated oil Companies
JNJ,JNJ,Johnson & Johnson Common Stock,NYSE, ,N,N,"6,01,73,20,26,241.00",Health Care,Biotechnology: Pharmaceutical Preparations
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,"4,87,42,14,80,000.00",Technology,Semiconductors
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,"4,87,33,18,39,387.00",Consumer Discretionary,Business Services
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,"4,49,45,44,25,734.00",Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,"4,45,35,56,63,070.00",Technology,Semiconductors
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,"4,32,21,77,25,364.00",Telecommunications,Computer Communications Equipment
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Q,N,N,"4,19,34,02,52,698.00",Consumer Discretionary,Department/Specialty Retail Stores
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,"4,04,05,69,80,096.00",Industrials,Construction/Ag Equipment/Trucks
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,"4,01,38,32,68,160.00",Technology,Industrial Machinery/Components
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),NYSE, ,N,N,"3,84,49,01,77,766.00",Health Care,Medical Specialities
CVX,CVX,Chevron Corporation Common Stock,NYSE, ,N,N,"3,66,17,51,59,006.00",Energy,Integrated oil Companies
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,"3,60,71,29,82,257.00",Technology,Consumer Electronics/Appliances
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,"3,57,78,33,02,910.00",Technology,Computer Software: Prepackaged Software
PG,PG,Procter & Gamble Company (The) Common Stock,NYSE, ,N,N,"3,52,78,27,45,167.00",Consumer Discretionary,Package Goods/Cosmetics
HD,HD,"Home Depot, Inc. (The) Common Stock",NYSE, ,N,N,"3,47,01,65,47,670.00",Consumer Discretionary,RETAIL: Building Materials
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Q,N,N,"3,22,29,46,22,188.00",Technology,Computer Software: Prepackaged Software
MRK,MRK,"Merck & Company, Inc. Common Stock (new)",NYSE, ,N,N,"3,15,22,36,90,086.00",Health Care,Biotechnology: Pharmaceutical Preparations
