Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
20MICRONS.NS,XNSE:20MICRONS,20 Microns Limited,NSE,EQ,N,N,,,
21STCENMGM.NS,XNSE:21STCENMGM,21st Century Management Services Limited,NSE,EQ,N,N,,,
360ONE.NS,XNSE:360ONE,360 ONE WAM LIMITED,NSE,EQ,N,N,,,
3BBLACKBIO.NS,XNSE:3BBLACKBIO,3B Blackbio Dx Limited,NSE,EQ,N,N,,,
3IINFOLTD.NS,XNSE:3IINFOLTD,3i Infotech Limited,NSE,EQ,N,N,,,
3MINDIA.NS,XNSE:3MINDIA,3M India Limited,NSE,EQ,N,N,,,
3PLAND.NS,XNSE:3PLAND,3P Land Holdings Limited,NSE,EQ,N,N,,,
5PAISA.NS,XNSE:5PAISA,5Paisa Capital Limited,NSE,EQ,N,N,,,
63MOONS.NS,XNSE:63MOONS,63 moons technologies limited,NSE,EQ,N,N,,,
A2ZINFRA.NS,XNSE:A2ZINFRA,A2Z Infra Engineering Limited,NSE,EQ,N,N,,,
AAATECH.NS,XNSE:AAATECH,AAA Technologies Limited,NSE,EQ,N,N,,,
AADHARHFC.NS,XNSE:AADHARHFC,Aadhar Housing Finance Limited,NSE,EQ,N,N,,,
AAKASH.NS,XNSE:AAKASH,Aakash Exploration Services Limited,NSE,EQ,N,N,,,
AAREYDRUGS.NS,XNSE:AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE,BE,N,N,,,
AARNAV.NS,XNSE:AARNAV,Aarnav Fashions Limited,NSE,EQ,N,N,,,
AARON.NS,XNSE:AARON,Aaron Industries Limited,NSE,EQ,N,N,,,
AARTECH.NS,XNSE:AARTECH,Aartech Solonics Limited,NSE,BE,N,N,,,
AARTIDRUGS.NS,XNSE:AARTIDRUGS,Aarti Drugs Limited,NSE,EQ,N,N,,,
AARTIIND.NS,XNSE:AARTIIND,Aarti Industries Limited,NSE,EQ,N,N,,,
AARTIPHARM.NS,XNSE:AARTIPHARM,Aarti Pharmalabs Limited,NSE,EQ,N,N,,,
AARTISURF.NS,XNSE:AARTISURF,Aarti Surfactants Limited,NSE,EQ,N,N,,,
AARVI.NS,XNSE:AARVI,Aarvi Encon Limited,NSE,EQ,N,N,,,
AASTHA.NS,XNSE:AASTHA,Aastha Spintex Limited,NSE,EQ,N,N,,,
AAVAS.NS,XNSE:AAVAS,Aavas Financiers Limited,NSE,EQ,N,N,,,
ABAN.NS,XNSE:ABAN,Aban Offshore Limited,NSE,BE,N,N,,,
ABANSENT.NS,XNSE:ABANSENT,Abans Enterprises Limited,NSE,BE,N,N,,,
ABB.NS,XNSE:ABB,ABB India Limited,NSE,EQ,N,N,,,
ABBOTINDIA.NS,XNSE:ABBOTINDIA,Abbott India Limited,NSE,EQ,N,N,,,
ABCAPITAL.NS,XNSE:ABCAPITAL,Aditya Birla Capital Limited,NSE,EQ,N,N,,,
ABCOTS.NS,XNSE:ABCOTS,A B Cotspin India Limited,NSE,EQ,N,N,,,
ABDL.NS,XNSE:ABDL,Allied Blenders and Distillers Limited,NSE,EQ,N,N,,,
ABFRL.NS,XNSE:ABFRL,Aditya Birla Fashion and Retail Limited,NSE,EQ,N,N,,,
ABINFRA.NS,XNSE:ABINFRA,A B Infrabuild Limited,NSE,EQ,N,N,,,
ABLBL.NS,XNSE:ABLBL,Aditya Birla Lifestyle Brands Limited,NSE,EQ,N,N,,,
ABMINTLLTD.NS,XNSE:ABMINTLLTD,ABM International Limited,NSE,EQ,N,N,,,
ABMKNO.NS,XNSE:ABMKNO,ABM Knowledgeware Limited,NSE,EQ,N,N,,,
ABREL.NS,XNSE:ABREL,Aditya Birla Real Estate Limited,NSE,EQ,N,N,,,
ABSLAMC.NS,XNSE:ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,EQ,N,N,,,
ACC.NS,XNSE:ACC,ACC Limited,NSE,EQ,N,N,,,
ACCELYA.NS,XNSE:ACCELYA,Accelya Solutions India Limited,NSE,EQ,N,N,,,
ACCURACY.NS,XNSE:ACCURACY,Accuracy Shipping Limited,NSE,BE,N,N,,,
ACE.NS,XNSE:ACE,Action Construction Equipment Limited,NSE,EQ,N,N,,,
ACEINTEG.NS,XNSE:ACEINTEG,Ace Integrated Solutions Limited,NSE,EQ,N,N,,,
