Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,5.02E+12,Technology,Semiconductors
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4.81E+12,Technology,Computer Manufacturing
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4.21E+12,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4.19E+12,Technology,Computer Software: Programming Data Processing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2.95E+12,Technology,Computer Software: Prepackaged Software
TSM,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE, ,N,N,2.20E+12,Technology,Semiconductors
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1.84E+12,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.63E+12,Technology,Computer Software: Programming Data Processing
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,1.62E+12,Technology,Computer Software: Programming Data Processing
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,1.42E+12,Industrials,Auto Manufacturing
SKHY,SKHY,SK hynix Inc. - American Depositary Shares,NASDAQ,Q,N,N,1.25E+12,Technology,Semiconductors
LLY,LLY,Eli Lilly and Company Common Stock,NYSE, ,N,N,1.11E+12,Health Care,Biotechnology: Pharmaceutical Preparations
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1.10E+12,Technology,Semiconductors
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,8.88E+11,Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,6.94E+11,Technology,Industrial Machinery/Components
V,V,Visa Inc.,NYSE, ,N,N,6.74E+11,Consumer Discretionary,Business Services
XOM,XOM,ExxonMobil Holdings Corporation Common Stock,NYSE, ,N,N,6.29E+11,Energy,Integrated oil Companies
JNJ,JNJ,Johnson & Johnson Common Stock,NYSE, ,N,N,6.03E+11,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,5.30E+11,Technology,Semiconductors
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,4.76E+11,Consumer Discretionary,Business Services
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,4.52E+11,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,4.48E+11,Technology,Semiconductors
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,4.42E+11,Telecommunications,Computer Communications Equipment
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,4.10E+11,Industrials,Construction/Ag Equipment/Trucks
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,4.03E+11,Technology,Industrial Machinery/Components
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),NYSE, ,N,N,3.96E+11,Health Care,Medical Specialities
CVX,CVX,Chevron Corporation Common Stock,NYSE, ,N,N,3.81E+11,Energy,Integrated oil Companies
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,3.66E+11,Technology,Computer Software: Prepackaged Software
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,3.53E+11,Technology,Consumer Electronics/Appliances
HD,HD,"Home Depot, Inc. (The) Common Stock",NYSE, ,N,N,3.31E+11,Consumer Discretionary,RETAIL: Building Materials
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Q,N,N,3.18E+11,Technology,Computer Software: Prepackaged Software
MRK,MRK,"Merck & Company, Inc. Common Stock (new)",NYSE, ,N,N,3.12E+11,Health Care,Biotechnology: Pharmaceutical Preparations
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,3.08E+11,Technology,Semiconductors
NVS,NVS,Novartis AG Common Stock,NYSE, ,N,N,2.94E+11,Health Care,Biotechnology: Pharmaceutical Preparations
PM,PM,Philip Morris International Inc Common Stock,NYSE, ,N,N,2.93E+11,Health Care,Medicinal Chemicals and Botanical Products
GEV,GEV,GE Vernova Inc. Common Stock,NYSE, ,N,N,2.90E+11,,
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Q,N,N,2.86E+11,Consumer Discretionary,Consumer Electronics/Video Chains
TM,TM,Toyota Motor Corporation Common Stock,NYSE, ,N,N,2.85E+11,Industrials,Auto Manufacturing
