Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,5.01642E+12,Technology,Semiconductors
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4.81363E+12,Technology,Computer Manufacturing
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4.20607E+12,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4.19444E+12,Technology,Computer Software: Programming Data Processing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2.95466E+12,Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Q,N,N,2.66292E+12,Consumer Discretionary,Catalog/Specialty Distribution
TSM,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE, ,N,N,2.20224E+12,Technology,Semiconductors
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1.8388E+12,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.63426E+12,Technology,Computer Software: Programming Data Processing
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,1.61724E+12,Technology,Computer Software: Programming Data Processing
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,1.42316E+12,Industrials,Auto Manufacturing
SKHY,SKHY,SK hynix Inc. - American Depositary Shares,NASDAQ,Q,N,N,1.25321E+12,Technology,Semiconductors
LLY,LLY,Eli Lilly and Company Common Stock,NYSE, ,N,N,1.10693E+12,Health Care,Biotechnology: Pharmaceutical Preparations
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1.09644E+12,Technology,Semiconductors
JPM,JPM,JP Morgan Chase & Co. Common Stock,NYSE, ,N,N,9.25048E+11,Finance,Major Banks
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,8.87748E+11,Technology,Semiconductors
WMT,WMT,Walmart Inc. - Common Stock,NASDAQ,Q,N,N,8.78492E+11,Consumer Discretionary,Department/Specialty Retail Stores
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,6.94334E+11,Technology,Industrial Machinery/Components
V,V,Visa Inc.,NYSE, ,N,N,6.7409E+11,Consumer Discretionary,Business Services
XOM,XOM,ExxonMobil Holdings Corporation Common Stock,NYSE, ,N,N,6.2883E+11,Energy,Integrated oil Companies
JNJ,JNJ,Johnson & Johnson Common Stock,NYSE, ,N,N,6.03273E+11,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,5.29992E+11,Technology,Semiconductors
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,4.75633E+11,Consumer Discretionary,Business Services
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,4.52476E+11,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,4.4823E+11,Technology,Semiconductors
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,4.4215E+11,Telecommunications,Computer Communications Equipment
BAC,BAC,Bank of America Corporation Common Stock,NYSE, ,N,N,4.34453E+11,Finance,Major Banks
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Q,N,N,4.12089E+11,Consumer Discretionary,Department/Specialty Retail Stores
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,4.09953E+11,Industrials,Construction/Ag Equipment/Trucks
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,4.02684E+11,Technology,Industrial Machinery/Components
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),NYSE, ,N,N,3.96269E+11,Health Care,Medical Specialities
CVX,CVX,Chevron Corporation Common Stock,NYSE, ,N,N,3.80535E+11,Energy,Integrated oil Companies
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,3.65964E+11,Technology,Computer Software: Prepackaged Software
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,3.53498E+11,Technology,Consumer Electronics/Appliances
KO,KO,Coca-Cola Company (The) Common Stock,NYSE, ,N,N,3.52811E+11,Consumer Staples,Beverages (Production/Distribution)
HSBC,HSBC,"HSBC Holdings, plc. Common Stock",NYSE, ,N,N,3.4752E+11,Finance,Savings Institutions
PG,PG,Procter & Gamble Company (The) Common Stock,NYSE, ,N,N,3.44866E+11,Consumer Discretionary,Package Goods/Cosmetics
MS,MS,Morgan Stanley Common Stock,NYSE, ,N,N,3.41324E+11,Finance,Investment Bankers/Brokers/Service
HD,HD,"Home Depot, Inc. (The) Common Stock",NYSE, ,N,N,3.30644E+11,Consumer Discretionary,RETAIL: Building Materials
GS,GS,"Goldman Sachs Group, Inc. (The) Common Stock",NYSE, ,N,N,3.20248E+11,Finance,Investment Bankers/Brokers/Service
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Q,N,N,3.18027E+11,Technology,Computer Software: Prepackaged Software
MRK,MRK,"Merck & Company, Inc. Common Stock (new)",NYSE, ,N,N,3.1184E+11,Health Care,Biotechnology: Pharmaceutical Preparations
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,3.08289E+11,Technology,Semiconductors
NVS,NVS,Novartis AG Common Stock,NYSE, ,N,N,2.93607E+11,Health Care,Biotechnology: Pharmaceutical Preparations
RY,RY,Royal Bank Of Canada Common Stock,NYSE, ,N,N,2.93076E+11,Finance,Commercial Banks
PM,PM,Philip Morris International Inc Common Stock,NYSE, ,N,N,2.93071E+11,Health Care,Medicinal Chemicals and Botanical Products
GEV,GEV,GE Vernova Inc. Common Stock,NYSE, ,N,N,2.89898E+11,,
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Q,N,N,2.85938E+11,Consumer Discretionary,Consumer Electronics/Video Chains
TM,TM,Toyota Motor Corporation Common Stock,NYSE, ,N,N,2.84847E+11,Industrials,Auto Manufacturing
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Q,N,N,2.84193E+11,Technology,Electronic Components
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",NASDAQ,Q,N,N,2.78852E+11,Technology,Computer peripheral equipment
BABA,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYSE, ,N,N,2.75311E+11,Consumer Discretionary,Business Services
WFC,WFC,Wells Fargo & Company Common Stock,NYSE, ,N,N,2.68501E+11,Finance,Major Banks
TXN,TXN,Texas Instruments Incorporated - Common Stock,NASDAQ,Q,N,N,2.6511E+11,Technology,Semiconductors
AZN,AZN,AstraZeneca PLC Ordinary Shares,NYSE, ,N,N,2.626E+11,Health Care,Biotechnology: Pharmaceutical Preparations
MUFG,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",NYSE, ,N,N,2.62514E+11,Finance,Commercial Banks
DELL,DELL,Dell Technologies Inc. Class C Common Stock ,NYSE, ,N,N,2.61933E+11,Technology,Computer Manufacturing
RTX,RTX,RTX Corporation Common Stock,NYSE, ,N,N,2.60812E+11,Industrials,Aerospace
SHEL,SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,NYSE, ,N,N,2.48079E+11,Energy,Oil & Gas Production
AXP,AXP,American Express Company Common Stock,NYSE, ,N,N,2.39353E+11,Finance,Finance: Consumer Services
CCZ,CCZ,Comcast Holdings ZONES,NYSE, ,N,N,2.35836E+11,Telecommunications,Cable & Other Pay Television Services
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,NASDAQ,Q,N,N,2.35374E+11,Technology,Electronic Components
LIN,LIN,Linde plc - Ordinary Shares,NASDAQ,Q,N,N,2.33627E+11,Basic Materials,Major Chemicals
C,C,"Citigroup, Inc. Common Stock",NYSE, ,N,N,2.26569E+11,Finance,Major Banks
ANET,ANET,"Arista Networks, Inc. Common Stock",NYSE, ,N,N,2.19832E+11,Telecommunications,Computer Communications Equipment
NVO,NVO,Novo Nordisk A/S Common Stock,NYSE, ,N,N,2.18651E+11,Health Care,Biotechnology: Pharmaceutical Preparations
BHP,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYSE, ,N,N,2.12021E+11,Energy,Coal Mining
TMUS,TMUS,"T-Mobile US, Inc. - Common Stock",NASDAQ,Q,N,N,2.06452E+11,Telecommunications,Telecommunications Equipment
SAN,SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",NYSE, ,N,N,2.00509E+11,Finance,Commercial Banks
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),NASDAQ,Q,N,N,1.99974E+11,Technology,Electronic Components
TD,TD,Toronto Dominion Bank (The) Common Stock,NYSE, ,N,N,1.99166E+11,Finance,Commercial Banks
IBM,IBM,International Business Machines Corporation Common Stock,NYSE, ,N,N,1.97846E+11,Technology,Computer Manufacturing
AMGN,AMGN,Amgen Inc. - Common Stock,NASDAQ,Q,N,N,1.97663E+11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.9464E+11,Technology,Computer Software: Prepackaged Software
TMO,TMO,Thermo Fisher Scientific Inc Common Stock,NYSE, ,N,N,1.94529E+11,Industrials,Industrial Machinery/Components
APH,APH,Amphenol Corporation Common Stock,NYSE, ,N,N,1.94143E+11,Technology,Electrical Products
SAP,SAP,SAP  SE ADS,NYSE, ,N,N,1.89607E+11,Technology,Computer Software: Prepackaged Software
WDC,WDC,Western Digital Corporation - Common Stock,NASDAQ,Q,N,N,1.8902E+11,Technology,Electronic Components
MCD,MCD,McDonald's Corporation Common Stock,NYSE, ,N,N,1.8751E+11,Consumer Discretionary,Restaurants
ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Q,N,N,1.86462E+11,Technology,Semiconductors
PEP,PEP,"PepsiCo, Inc. - Common Stock",NASDAQ,Q,N,N,1.8426E+11,Consumer Staples,Beverages (Production/Distribution)
NEE,NEE,"NextEra Energy, Inc. Common Stock",NYSE, ,N,N,1.83364E+11,Technology,EDP Services
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,NASDAQ,Q,N,N,1.82869E+11,Technology,Radio And Television Broadcasting And Communications Equipment
VZ,VZ,Verizon Communications Inc. Common Stock,NYSE, ,N,N,1.82806E+11,Telecommunications,Telecommunications Equipment
TTE,TTE,TotalEnergies SE Ordinary Shares,NYSE, ,N,N,1.82251E+11,Energy,Oil & Gas Production
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1.82124E+11,Technology,Semiconductors
UNP,UNP,Union Pacific Corporation Common Stock,NYSE, ,N,N,1.74035E+11,Industrials,Railroads
WELL,WELL,Welltower Inc. Common Stock,NYSE, ,N,N,1.73916E+11,Real Estate,Real Estate Investment Trusts
SCHW,SCHW,Charles Schwab Corporation (The) Common Stock,NYSE, ,N,N,1.73844E+11,Finance,Investment Bankers/Brokers/Service
