Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,5019322000000,Technology,Semiconductors
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4522297000000,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4496247600000,Technology,Computer Software: Programming Data Processing
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4395044409440,Technology,Computer Manufacturing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2925540439476,Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Q,N,N,2646248921256,Consumer Discretionary,Catalog/Specialty Distribution
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,2641734330137,Technology,Computer Software: Programming Data Processing
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1792228036389,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1523587051294,Technology,Computer Software: Programming Data Processing
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,1519791221639,Industrials,Auto Manufacturing
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1151145809899,Technology,Semiconductors
LLY,LLY,Eli Lilly and Company Common Stock,NYSE, ,N,N,1057104728235,Health Care,Biotechnology: Pharmaceutical Preparations
WMT,WMT,Walmart Inc. - Common Stock,NASDAQ,Q,N,N,963166320130,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JPM,JP Morgan Chase & Co. Common Stock,NYSE, ,N,N,887293410957,Finance,Major Banks
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,827187398158,Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,695251071717,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,588293300000,Technology,Semiconductors
XOM,XOM,Exxon Mobil Corporation Common Stock,NYSE, ,N,N,588002204401,Energy,Integrated oil Companies
JNJ,JNJ,Johnson & Johnson Common Stock,NYSE, ,N,N,566129287240,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AZN,AstraZeneca PLC Ordinary Shares,NYSE, ,N,N,554260440098,Health Care,Biotechnology: Pharmaceutical Preparations
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,541645743180,Technology,Computer Software: Prepackaged Software
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,471277342894,Telecommunications,Computer Communications Equipment
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,461885893140,Technology,Industrial Machinery/Components
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,451151566909,Technology,Semiconductors
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,442967094027,Consumer Discretionary,Business Services
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Q,N,N,437571666331,Consumer Discretionary,Department/Specialty Retail Stores
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,435513882602,Industrials,Construction/Ag Equipment/Trucks
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,421727658578,Technology,Semiconductors
BAC,BAC,Bank of America Corporation Common Stock,NYSE, ,N,N,403370212603,Finance,Major Banks
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,393058398888,Health Care,Biotechnology: Pharmaceutical Preparations
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),NYSE, ,N,N,370205066291,Health Care,Medical Specialities
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,366973005667,Technology,Consumer Electronics/Appliances
CVX,CVX,Chevron Corporation Common Stock,NYSE, ,N,N,358706667511,Energy,Integrated oil Companies
PG,PG,Procter & Gamble Company (The) Common Stock,NYSE, ,N,N,355088058155,Consumer Discretionary,Package Goods/Cosmetics
MS,MS,Morgan Stanley Common Stock,NYSE, ,N,N,348311806138,Finance,Investment Bankers/Brokers/Service
KO,KO,Coca-Cola Company (The) Common Stock,NYSE, ,N,N,345537392966,Consumer Staples,Beverages (Production/Distribution)
HD,HD,"Home Depot, Inc. (The) Common Stock",NYSE, ,N,N,336118062335,Consumer Discretionary,RETAIL: Building Materials
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Q,N,N,331474060124,Consumer Discretionary,Consumer Electronics/Video Chains
HSBC,HSBC,"HSBC Holdings, plc. Common Stock",NYSE, ,N,N,324440280955,Finance,Savings Institutions
GS,GS,"Goldman Sachs Group, Inc. (The) Common Stock",NYSE, ,N,N,321755743862,Finance,Investment Bankers/Brokers/Service
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Q,N,N,319441820935,Technology,Computer Software: Prepackaged Software
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Q,N,N,310018295589,Technology,Electronic Components
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,NASDAQ,Q,N,N,294928157545,Technology,Electronic Components
NVS,NVS,Novartis AG Common Stock,NYSE, ,N,N,287997332911,Health Care,Biotechnology: Pharmaceutical Preparations
PM,PM,Philip Morris International Inc Common Stock,NYSE, ,N,N,286868341195,Health Care,Medicinal Chemicals and Botanical Products
MRK,MRK,"Merck & Company, Inc. Common Stock (new)",NYSE, ,N,N,284449677876,Health Care,Biotechnology: Pharmaceutical Preparations
TM,TM,Toyota Motor Corporation Common Stock,NYSE, ,N,N,281450881550,Industrials,Auto Manufacturing
RY,RY,Royal Bank Of Canada Common Stock,NYSE, ,N,N,279525905734,Finance,Commercial Banks
TXN,TXN,Texas Instruments Incorporated - Common Stock,NASDAQ,Q,N,N,278224467137,Technology,Semiconductors
GEV,GEV,GE Vernova Inc. Common Stock,NYSE, ,N,N,263977087088,,
DELL,DELL,Dell Technologies Inc. Class C Common Stock ,NYSE, ,N,N,261887477003,Technology,Computer Manufacturing
WFC,WFC,Wells Fargo & Company Common Stock,NYSE, ,N,N,260269116465,Finance,Major Banks
BABA,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYSE, ,N,N,258974685917,Consumer Discretionary,Business Services
IBM,IBM,International Business Machines Corporation Common Stock,NYSE, ,N,N,254530332677,Technology,Computer Manufacturing
RTX,RTX,RTX Corporation Common Stock,NYSE, ,N,N,251520063848,Industrials,Aerospace
C,C,"Citigroup, Inc. Common Stock",NYSE, ,N,N,243880448795,Finance,Major Banks
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ,Q,N,N,243780516000,Technology,Semiconductors
MUFG,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",NYSE, ,N,N,240914531676,Finance,Commercial Banks
LIN,LIN,Linde plc - Ordinary Shares,NASDAQ,Q,N,N,239705203124,Basic Materials,Major Chemicals
SHEL,SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,NYSE, ,N,N,238995159424,Energy,Oil & Gas Production
BHP,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYSE, ,N,N,234925128956,Energy,Coal Mining
WDC,WDC,Western Digital Corporation - Common Stock,NASDAQ,Q,N,N,234756105781,Technology,Electronic Components
AXP,AXP,American Express Company Common Stock,NYSE, ,N,N,232495912188,Finance,Finance: Consumer Services
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),NASDAQ,Q,N,N,231256328609,Technology,Electronic Components
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",NASDAQ,Q,N,N,228118500000,Technology,Computer peripheral equipment
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,NASDAQ,Q,N,N,225629780000,Technology,Radio And Television Broadcasting And Communications Equipment
ANET,ANET,"Arista Networks, Inc. Common Stock",NYSE, ,N,N,211558627650,Telecommunications,Computer Communications Equipment
MCD,MCD,McDonald's Corporation Common Stock,NYSE, ,N,N,204575951982,Consumer Discretionary,Restaurants
SAP,SAP,SAP  SE ADS,NYSE, ,N,N,203206885015,Technology,Computer Software: Prepackaged Software
ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Q,N,N,202628208640,Technology,Semiconductors
