Ticker,Name,AUM (USD M),Price,Liquidity (Avg Vol)
KURE,KraneShares MSCI All China Health Care Index ETF,71.23,16.6,34724
CQQQ,Invesco China Technology ETF,3417.85,53.94,1280412
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,38.96,45.33,14975
MCHS,Matthews China Innovators Active ETF,24.92,46.73,12920
TEMX,Touchstone Sands Capital Emerging Markets ex-China Growth ETF,13.43,37.49,500
CAS,Simplify China A Shares PLUS Income ETF,13.67,27.43,3040
NBCE,Neuberger China Equity ETF,19.86,41.73,604
VEXC,Vanguard Emerging Markets Ex-China ETF,249.03,93.89,31308
CNQQ,Rayliant-ChinaAMC Transformative China Tech ETF,37.93,25.09,16303
XCNY,State Street SPDR S&P Emerging Markets ex-China ETF,9.92,32.88,477
SMHC,VanEck China Semiconductor ETF,6.81,59.32,374055
PEMX,Putnam Emerging Markets Ex-China ETF,33.79,86.46,2943
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,1644.59,35.12,4537679
CNYA,iShares MSCI China A ETF,246.66,36.53,108458
KEMX,KraneShares MSCI Emerging Markets ex China Index ETF,133.67,50.23,12537
KCAI,KraneShares China Alpha Index ETF,3.17,31.49,4956
STXE,Strive Emerging Markets Ex-China ETF,150.02,49.55,10782
MAGC,Roundhill ETF Trust - Roundhill China Magnificent Seven ETF,,18.27,7124
MCH,Matthews China Active ETF,23.29,28.1,2966
EMM,Global X Emerging Markets ex-China ETF,60.92,43.17,11124
MEMX,Matthews Emerging Markets Ex China Active ETF,50.3,47.32,2791
TCHI,iShares MSCI China Multisector Tech ETF,50.12,24.51,15217
KBA,KraneShares Bosera MSCI China A 50 Connect Index ETF,156.44,33.16,67770
AVXC,Avantis Emerging Markets Ex-China Equity ETF,425.94,81.46,40064
JCHI,JPMorgan Active China ETF,14.56,52.94,864
EMXC,iShares MSCI Emerging Markets ex China ETF,26057.4,96.8,2823235
DRGN,Themes China Generative Artificial Intelligence ETF,26.93,35.72,15450
DEXC,Dimensional Emerging Markets ex China Core Equity ETF,337.61,78.49,21796
KWEB,KraneShares CSI China Internet ETF,4907.47,25.51,26278032
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,498.91,37.92,24316
BCHI,GMO Beyond China ETF,18.76,38.06,1204
XCEM,Columbia EM Core ex-China ETF,2062.97,49.86,197403
FLCH,Franklin FTSE China ETF,248.66,20.74,116483
GXC,State Street SPDR S&P China ETF,434.92,87.04,32827
MCHI,iShares MSCI China ETF,5885.86,51.78,3031300
CHIQ,Global X MSCI China Consumer Discretionary ETF,112.92,16.73,38343
FXI,iShares China Large-Cap ETF,4523.7,32.49,28137074
CGRO,CoreValues Alpha Greater China Growth ETF,2.03,21.06,1519
ECNS,iShares MSCI China Small-Cap ETF,63.86,28.73,17474
PGJ,Invesco Golden Dragon China ETF,88.41,23.07,26672
FCA,First Trust China AlphaDEX Fund,34.46,26.62,72122
KGRN,KraneShares MSCI China Clean Technology ETF,52.91,23.65,18977
REXC,Sprott Rare Earths Ex-China ETF,55.92,18.19,133900
