Ticker,Name,AUM (USD M),Price,Liquidity (Avg Vol),,,,,,,,,,,,,
ABLS,Abacus FCF Small Cap Leaders ETF,1.26,23.12,809,,,,,,,,,,,,,
ACSG,American Century Small Cap Growth Insights ETF,17.12,49.17,4617,,,,,,,,,,,,,
ACSV,American Century Small Cap Value Insights ETF,13.99,49.72,1806,,,,,,,,,,,,,
AFSC,abrdn Focused U.S. Small Cap Active ETF,11.14,39.08,280,,,,,,,,,,,,,
AFSM,First Trust Active Factor Small Cap ETF,98.49,40.4,15712,,,,,,,,,,,,,
AIMS,Acuitas Small Cap Active ETF,83.69,29.2,2741,,,,,,,,,,,,,
ALIL,Argent Focused Small Cap ETF,25.61,32.65,2287,,,,,,,,,,,,,
ASCI,abrdn International Small Cap Active ETF,82.42,36,2675,,,,,,,,,,,,,
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,38.26,46.9,14175,,,,,,,,,,,,,
AVDS,Avantis International Small Cap Equity ETF,305.92,75.01,21741,,,,,,,,,,,,,
AVDV,Avantis International Small Cap Value ETF,19877.86,103.8,747380,,,,,,,,,,,,,
AVEE,Avantis Emerging Markets Small Cap Equity ETF,121.11,67.91,10051,,,,,,,,,,,,,
AVSC,Avantis US Small Cap Equity ETF,2787.01,73.1,126193,,,,,,,,,,,,,
AVUV,Avantis US Small Cap Value ETF,27077.64,124.94,1239024,,,,,,,,,,,,,
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,732.58,91.04,10280,,,,,,,,,,,,,
BKSE,BNY Mellon US Small Cap Core Equity ETF,82.88,134.05,1848,,,,,,,,,,,,,
BUFS,,161.58,24.99,32017,,,,,,,,,,,,,
CAFG,Pacer US Small Cap Cash Cows Growth Leaders ETF,24.37,33.4,3290,,,,,,,,,,,,,
CALF,Pacer US Small Cap Cash Cows 100 ETF,3511.03,50.66,671727,,,,,,,,,,,,,
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,257.53,66.1,6325,,,,,,,,,,,,,
DFAS,Dimensional U.S. Small Cap ETF,14406.34,81.86,459977,,,,,,,,,,,,,
