Ticker,Name,AUM (USD M),Price,Liquidity (Avg Vol)
WDEF,WisdomTree Europe Defense Fund,101,29.5,41790
ARMY,Tema International Defense Innovation ETF,,25.36,3691
XDEF,Xtrackers Europe Defense Technologies ETF,4.61,22.47,2190
SHLD,Global X Defense Tech ETF,7991.18,63.96,1951691
KDEF,PLUS Korea Defense Industry Index ETF,156.76,42.75,151568
WDGF,WisdomTree Global Defense Fund,12.58,32.13,5977
EUAD,Select STOXX Europe Aerospace & Defense ETF,1244.73,44.35,455203
DUTY,U.S. Defense ETF,1.38,26.77,3016
NATO,Themes Transatlantic Defense ETF,101.82,42.2,33296
TSSD,Truth Social American Security & Defense ETF,,28.88,4332
WDAF,WisdomTree Asia Defense Fund,24.6,31.54,16854
PPA,Invesco Aerospace & Defense ETF,8374.88,181.08,246237
ITA,iShares U.S. Aerospace & Defense ETF,14330.83,248.19,857293
MISL,First Trust Indxx Aerospace & Defense ETF,826.37,46.85,466406
XAR,State Street SPDR S&P Aerospace & Defense ETF,6474.36,287.56,222127
GCAD,Gabelli Commercial Aerospace & Defense ETF,34.34,56.74,7468
ARKX,ARK Space & Defense Innovation ETF,1110.36,33.87,1302811
WAR,U.S. Global Technology and Aerospace & Defense ETF,42.38,32.74,28808
