Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
AVEM,AVEM,Avantis Emerging Markets Equity ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
AVSE,AVSE,Avantis Responsible Emerging Markets Equity ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,ESG/Sustainable,Broad Market,Emerging Markets,Broad Market; ESG/Sustainable; Emerging Markets; Equity
AVXC,AVXC,Avantis Emerging Markets ex-China Equity ETF,NASDAQ,G,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets; China,Broad Market; China; Emerging Markets; Equity; Plain
BBEM,BBEM,JPMorgan BetaBuilders Emerging Markets Equity ETF,BATS, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
BCEM,BCEM,Baron Emerging Markets Select ETF,NYSE, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
BGEG,BGEG,Baillie Gifford Emerging Markets ETF,NASDAQ,G,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
BKEM,BKEM,BNY Mellon Emerging Markets Equity ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
BREE,BREE,MFS Blended Research Emerging Markets Equity ETF,NYSE, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
DEHP,DEHP,Dimensional Emerging Markets High Profitability ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
DEXC,DEXC,Dimensional Emerging Markets ex China Core Equity ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets; China,Broad Market; China; Emerging Markets; Equity; Plain
DFEM,DFEM,Dimensional Emerging Markets Core Equity 2 ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
DFSE,DFSE,Dimensional Emerging Markets Sustainability Core 1 ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
DGS,DGS,WisdomTree Emerging Market SmallCap Fund,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
ECOW,ECOW,Pacer Emerging Markets Cash Cows 100 ETF,NASDAQ,G,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EFFE,EFFE,Harbor Osmosis Emerging Markets Resource Efficient ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
ELD,ELD,WisdomTree Emerging Markets Local Debt Fund,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMC,EMC,Global X Emerging Markets Great Consumer ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets; Global,Broad Market; Emerging Markets; Equity; Global; Plain
EMCR,EMCR,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,ESG/Sustainable,Broad Market,Emerging Markets,Broad Market; ESG/Sustainable; Emerging Markets; Equity
EMDM,EMDM,First Trust Bloomberg Emerging Market Democracies ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMEM,EMEM,Sophus Capital Emerging Market ETF,NASDAQ,G,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets; United States,Broad Market; Emerging Markets; Equity; Plain; United States
EMEQ,EMEQ,Nomura Focused Emerging Markets Equity ETF,NASDAQ,G,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMES,EMES,Harbor Emerging Markets Select ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMFI,EMFI,Pictet Emerging Markets Debt ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMGF,EMGF,iShares Emerging Markets Equity Factor ETF,BATS, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMKT,EMKT,Lazard Emerging Markets Opportunities ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMM,EMM,Global X Emerging Markets ex-China ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets; Global; China,Broad Market; China; Emerging Markets; Equity; Global; Plain
EMMF,EMMF,WisdomTree Emerging Markets Multifactor Fund,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMOP,EMOP,AB Emerging Markets Opportunities ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Plain,Broad Market,Emerging Markets,Broad Market; Emerging Markets; Equity; Plain
EMSF,EMSF,Matthews Emerging Markets Sustainable Future Active ETF,NYSE ARCA, ,Y,N,,,ETF,Equity,Active; ESG/Sustainable,Broad Market,Emerging Markets,Active; Broad Market; ESG/Sustainable; Emerging Markets; Equity
