Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
GOLD1.NS,KotakMutualFund-Gold,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals,0,0.0,,,,,Yahoo ETF Top Holdings
SILVER.NS,BIRLASLAMC-SILVER,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals,0,0.0,,,,,Yahoo ETF Top Holdings
ABSL10BANK.NS,BIRLASLAMC - ABSL10BANK,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANK10ADD.NS,DSPAMC - BANK10ADD,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKADD.NS,DSPAMC-DSPBANK,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBEES.NS,NIPINDETFBANKBEES,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBETA.NS,UTIAMC-BANKBETA,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBETF.NS,BFAM-BANKBETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKETF.NS,MIRAEAMC-BANKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKIETF.NS,ICICIPRAMC-IPRU5008,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKPSU.NS,MIRAEAMC - BANKPSU,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
MOBANK10.NS,MOTILALAMC - MOBANK10,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
PSUBANKADD.NS,DSPAMC-DSPPSBKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
PSUBNKBEES.NS,NIPINDETFPSUBANKBEES,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
PSUBNKIETF.NS,ICICIPRAMC-PSUBANKICI,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
PVTBANIETF.NS,ICICIPRAMC-ICICIBANKP,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
PVTBANKADD.NS,DSPAMC-DSPPVBKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKNIFTY1.NS,KOTAKMAMC-KOTAKBKETF,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBANKNIFTY.NS,EDELAMC - EBANKNIFTY,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
SETFNIFBK.NS,SBI-ETFNiftyBank,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ABGSEC.NS,BIRLASLAMC - ABGSEC,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ABSLBANETF.NS,BIRLASLAMC-ABSLBANETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ABSLLIQUID.NS,BIRLASLAMC-ABSLLIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ABSLNN50ET.NS,BIRLASLAMC-ABSLNN50ET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ABSLPSE.NS,BIRLASLAMC-ABSLPSE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ALPHA.NS,KOTAKMAMC-KOTAKALPHA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ALPHAETF.NS,MIRAEAMC-ALPHAETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ALPL30IETF.NS,ICICIPRAMC-ICICIALPLV,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AONEGOLD.NS,AONEAMC - AONEGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AONELIQUID.NS,AONEAMC - AONELIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AONESILVER.NS,AONEAMC - AONESILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AONETMMQ50.NS,AONEAMC - AONETMMQ50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AONETOTAL.NS,AONEAMC - AONETOTAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AUTOBEES.NS,NIPPONAMC-NETFAUTO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
AUTOIETF.NS,ICICIPRAMC-ICICIAUTO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BBETF0432.NS,EDELAMC-BBETF0432,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BBNPNBETF.NS,BARODABNP - BBNPNBETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BBNPPGOLD.NS,BARODABNP-BBNPPGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BFSI.NS,MIRAEAMC-MAFSETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BNKETFAXIS.NS,AXISAMC-BNKETFAXIS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSE500IETF.NS,ICICIPRAMC-ICICI500,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLGOLDETF.NS,ABSLGoldETF-GO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLSENETFG.NS,BIRLASLAMC-BSLSENETFG,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CASHIETF.NS,ICICIPRAMC - CASHIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
