Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
GOLD1.NS,XNSE:GOLD1,KotakMutualFund-Gold,NSE,ETF,Y,N,,,ETF,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals,0,0.0,,,,,Yahoo ETF Top Holdings
SILVER.NS,XNSE:SILVER,BIRLASLAMC-SILVER,NSE,ETF,Y,N,,,ETF,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals,0,0.0,,,,,Yahoo ETF Top Holdings
ABSL10BANK.NS,XNSE:ABSL10BANK,BIRLASLAMC - ABSL10BANK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANK10ADD.NS,XNSE:BANK10ADD,DSPAMC - BANK10ADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKADD.NS,XNSE:BANKADD,DSPAMC-DSPBANK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBEES.NS,XNSE:BANKBEES,NIPINDETFBANKBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBETA.NS,XNSE:BANKBETA,UTIAMC-BANKBETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKBETF.NS,XNSE:BANKBETF,BFAM-BANKBETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKETF.NS,XNSE:BANKETF,MIRAEAMC-BANKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BANKIETF.NS,XNSE:BANKIETF,ICICIPRAMC-IPRU5008,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
