Holding Ticker,ETFs Holding This Stock
0001.HK,EWH (6.2209%); ICOW (2.005%)
000150.KS,FPA (1.8544%)
0002.HK,EWH (4.5094%); HDMV (1.9977%); IDLV (0.8519%); TPIF (0.7105%)
000270.KS,RFEM (2.5516%); BCHI (2.4091%)
0003.HK,HDMV (1.7352%)
0006.HK,EWH (3.0711%)
000660.KS,EWY (27.1714%); FLKR (23.6532%); FTHF (18.9251%); EEMO (16.7394%); DRAM (15.8942%); DEHP (14.3858%); KMCA (14.3445%); NXTE (12.9964%); FRDM (12.2751%); STXE (10.496%); EMCS (10.154%); EMEQ (9.9892%); ECON (9.7384%); NTSE (9.4563%); AVSE (9.4371%); EMXC (9.4188%); AVXC (9.3982%); NUEM (9.2345%); FFEM (9.024%); AIS (8.815%); EMES (8.7354%); DEXC (8.7196%); DIEM (8.6969%); AVEM (8.643%); AAXJ (8.5111%); UMMA (8.3876%); EMDM (8.368%); TEMX (8.3629%); BREE (8.2778%); REMG (8.2663%); DFEV (8.1177%); AIQ (8.0892%); BAI (8.0067%); ESGE (7.8579%); FLAX (7.7189%); EEMX (7.6731%); JHEM (7.6542%); AGEM (7.6532%); EEM (7.6305%); XAIX (7.6153%); TEK (7.5645%); VPL (7.5159%); FAI (7.5114%); BBEM (7.4226%); EMMF (7.4154%); OAEM (7.3905%); DBEM (7.3073%); LDEM (7.2666%); BKEM (7.234%); EQLT (7.1859%); GSEE (7.1832%); CGNG (7.1795%); PATN (7.1699%); MEMA (7.0958%); JADE (7.0577%); JEMA (7.025%); KEMX (6.9486%); EMXF (6.9258%); PJIO (6.8319%); CHPS (6.7359%); IEMG (6.7009%); FEMR (6.6386%); BCEM (6.5875%); XSOE (6.5296%); WCME (6.5285%); FDEM (6.397%); DFAE (6.3263%); EMGF (6.2867%); GEM (6.273%); OAIM (6.2387%); TLTE (6.2012%); PIEL (6.1847%); DFEM (5.8638%); PEMX (5.7536%); EMCR (5.724%); DFSE (5.7004%); TEKY (5.6545%); KNCT (5.4719%); CGGO (5.424%); DTCR (5.4128%); CHPX (5.3373%); IGPT (5.3299%); MEMX (5.3064%); AIA (5.2982%); EXUS (5.2016%); EMEM (5.1534%); CHAT (5.1163%); MTRA (5.1015%); MINV (4.9749%); SEEM (4.9327%); TTEQ (4.9209%); IMFL (4.8817%); MKOR (4.7635%); XCEM (4.6808%); ASIA (4.6099%); MEM (4.4625%); QLVE (4.4044%); SPWO (4.3425%); EEMA (4.1226%); EMC (4.1015%); EFFE (4.0953%); AIVC (4.062%); EMM (4.0434%); BIDD (3.9841%); KEMQ (3.8998%); PTIN (3.835%); FFGX (3.6031%); CGXU (3.553%); ARTY (3.5416%); CGGE (3.4057%); FPA (3.3603%); IXN (3.2708%); HFXI (3.2285%); SCHF (3.1934%); BRIE (3.0156%); VEA (2.9944%); CVIE (2.9884%); VSGX (2.9098%); SROI (2.8438%); SPDW (2.7845%); PIZ (2.78%); TIER (2.5812%); CGIC (2.5515%); ACWX (2.5503%); CWI (2.5453%); DGRE (2.5344%); GXUS (2.5025%); SFTX (2.4782%); FRGN (2.4728%); TDI (2.4334%); DBAW (2.4183%); VEU (2.3866%); CGIE (2.3697%); IXUS (2.2123%); VXUS (2.1709%); ROAM (2.1317%); EEMV (2.0914%); IQDF (1.9519%); MFEM (1.9326%); IQDY (1.588%); QEMM (1.3014%); FDT (1.2936%); DOL (1.2906%); DFAX (1.1537%); PXF (1.1324%); FNDF (1.0922%); JPIN (0.5921%)
000762.SZ,ION (3.2809%)
000977.SZ,DRGN (5.6616%)
001309.SZ,ASHS (1.3179%)
0016.HK,EWH (4.1867%); IFGL (2.6037%); GQRE (2.4436%); VNQI (2.1052%); HAUZ (1.9531%)
002008.SZ,ASHS (1.1172%)
002236.SZ,DRGN (4.899%)
002240.SZ,ION (3.5051%)
002281.SZ,ASHS (1.1281%)
002353.SZ,MCHS (4.8853%)
002371.SZ,LIT (7.892%); SMHC (5.8463%); KBA (3.2875%); EMDV (3.1874%); JCHI (2.8261%); ASIA (2.6364%); MINV (2.5951%); GTEK (2.3644%); CNQQ (2.2665%); CQQQ (1.6688%); ASHR (1.3483%); CNYA (1.2179%)
002384.SZ,SMHC (4.6759%)
002460.SZ,ILIT (4.3784%); LIMI (3.8714%)
002463.SZ,KCAI (3.9635%)
002466.SZ,LIMI (5.501%); ION (3.7967%)
002475.SZ,NBCE (3.1787%)
002594.SZ,KARS (3.6387%)
002648.SZ,KCAI (3.2315%)
002709.SZ,LIMI (7.004%); ILIT (4.3505%)
002747.SZ,BOTT (4.7285%)
002851.SZ,MCHS (3.6321%)
002979.SZ,KOID (2.435%)
003230.KS,BCIL (3.859%)
003570.KS,KDEF (4.088%)
00358,EPEM (2.5692%)
004170.KS,FDTS (0.9875%); FNDC (0.2514%); PDN (0.2344%)
005380.KS,HUMN (3.7807%); MFEM (2.1556%); FLKR (2.1263%); EWY (1.7369%); EMMF (1.3869%); AVXC (0.5538%)
005930.KS,EWY (23.191%); MKOR (20.4504%); AIA (17.1082%); FLKR (15.5455%); DRAM (14.3716%); TEMX (13.594%); STXE (13.2324%); FRDM (13.0666%); BCHI (13.0365%); NTSE (12.2323%); EMDM (11.7542%); EMCS (11.6501%); FTHF (11.5126%); MEMA (11.476%); PEMX (11.372%); ASIA (11.3281%); FFEM (10.941%); OAEM (10.9357%); MEMX (10.7913%); EEMO (10.3108%); DGRE (10.2304%); EMXC (10.0514%); EMEM (9.5805%); EMEQ (9.5597%); XCEM (9.5021%); JEMA (9.3012%); UMMA (9.137%); AAXJ (9.0699%); EPEM (8.8809%); KMCA (8.5437%); EEMX (8.4436%); JADE (8.3116%); ESGE (8.2918%); XAIX (8.2322%); FDEM (8.2013%); EEM (8.1436%); ADVE (8.1175%); FLAX (8.0869%); XSOE (7.9559%); VPL (7.8696%); DBEM (7.8068%); PIEQ (7.7535%); KEMX (7.7475%); KNCT (7.7356%); EMSF (7.7121%); REMG (7.6992%); EMM (7.696%); BBEM (7.6949%); EMGF (7.693%); BCEM (7.6608%); QLVE (7.6491%); DIEM (7.5982%); BKEM (7.5145%); GEM (7.456%); GSEE (7.4545%); PATN (7.2472%); IEMG (7.153%); DINT (7.144%); SEEM (7.0936%); IMFL (6.8469%); MEM (6.7082%); PJIO (6.632%); MINV (6.6132%); TLTE (6.4491%); FEMR (6.4271%); EMCR (6.2842%); BREE (6.2726%); AMEM (6.2197%); ECON (5.9332%); JHEM (5.8347%); DFAE (5.8108%); EMMF (5.8078%); TEK (5.5699%); EVLU (5.4857%); EEMA (5.4784%); JDVI (5.4752%); PXF (5.3895%); CARZ (5.2023%); AIQ (5.055%); DFEM (5.0151%); SPWO (5.0006%); WCME (4.9437%); PIEL (4.8583%); DEXC (4.8125%); DWLD (4.6986%); FEOE (4.6552%); PTIN (4.4409%); FNDF (4.4125%); FFGX (4.3706%); WTAI (4.3693%); RGEF (4.3639%); JIVE (4.3549%); HFXI (4.2588%); GKAT (4.2221%); FRWD (4.138%); MFSI (4.0332%); JIG (3.8264%); IXN (3.7875%); EPIN (3.6061%); DOL (3.5654%); CVIE (3.5561%); FEGE (3.4927%); CHAT (3.4396%); SCHF (3.2683%); BIDD (3.1391%); VEA (3.1354%); VSGX (3.047%); TDI (2.9663%); JDIV (2.8423%); CGNG (2.8296%); CGXU (2.7593%); ACWX (2.7212%); GEME (2.7111%); IOO (2.6864%); SFTX (2.6775%); FRGN (2.6709%); GXUS (2.6007%); DBAW (2.581%); DFSE (2.5723%); CGGO (2.5492%); CGIC (2.5471%); VEU (2.4997%); MTRA (2.4128%); IXUS (2.3609%); IQDF (2.3024%); VXUS (2.2732%); LEGR (2.1313%); FPA (2.0458%); IQDY (1.9758%); QEMM (1.7371%); EEMV (1.6695%); DFAX (1.5889%); MFEM (1.5277%); TOUS (1.2871%); ROAM (1.2702%); DFEV (1.2579%); JSTC (0.9871%); VIDI (0.9307%); FDT (0.787%); JPIN (0.4845%)
005935,EMES (12.1479%); AGEM (11.7057%); GEME (6.535%); EEMO (4.4548%); AGQI (3.8453%); KAT (3.7807%); MKOR (2.7267%); BREE (2.6775%); BRIE (2.5748%); EMEQ (2.3762%); QLVE (2.0814%); FLKR (1.7151%); EEMV (1.6148%); STXE (1.4762%); DGRE (1.0996%); EMXC (1.0915%); AAXJ (0.987%); EEMX (0.9253%); FLAX (0.8938%); EEM (0.8868%); BBEM (0.8583%); BKEM (0.826%); GSEE (0.8197%); GEM (0.8111%); IEMG (0.777%); TLTE (0.7163%)
006400.KS,CTEC (6.3183%); IBAT (4.1342%); LIT (4.07%); SMOG (4.0383%); IDRV (3.7357%); KARS (3.3609%); KMCA (2.9038%)
007660.KS,KMCA (3.3719%)
007810.KS,FDTS (0.5361%)
00857,FCA (3.6703%)
009150.KS,KMCA (15.2987%); FPA (6.8594%); MINV (5.4382%); MKOR (4.755%); ROAM (3.6774%); EWY (3.6251%); FLKR (3.6055%); MEM (3.1705%); NUEM (3.1414%); EEMV (3.0473%); PEMX (2.5292%); MFEM (2.3444%); FDT (2.1114%); EEMO (1.8306%); KEMX (1.7948%); LDEM (1.6957%); REMG (1.4892%); FEMR (1.4208%); EMXF (1.3867%); XCEM (1.3273%); QEMM (1.0386%); AVSE (0.7941%); EMGF (0.729%); DEXC (0.6532%); DFEM (0.6276%); TPIF (0.5368%)
00939,FXI (8.9377%); DEM (4.0765%); MCHI (3.6525%); FLCH (3.2897%); ADIV (3.12%); GXC (3.0668%); JCHI (3.0153%); DVYE (2.9023%); EVLU (2.5132%); PXH (2.4522%); FNDE (2.3927%); AIA (2.0767%); BKF (2.0723%); BREE (1.9516%); LDEM (1.8616%); DFEV (1.7786%); NUEM (1.7461%); FFEM (1.5489%); JPEM (1.5447%); ECON (1.5372%); EMXF (1.5265%); QEMM (1.2176%); NTSE (1.0921%); GMF (1.0298%); ESGE (1.012%); SCHE (0.8812%); EMGF (0.8665%); AVSE (0.8544%); AVEM (0.8422%); JHEM (0.807%); SPEM (0.8064%); VWO (0.7456%); GSEE (0.7273%); BKEM (0.7263%); DFAE (0.6644%); TLTE (0.655%); DFEM (0.6432%); DFSE (0.6236%)
0100.HK,LOUP (3.506%)
010120.KS,POW (4.0152%); KMCA (2.3737%)
01072,FCA (3.0935%)
010820.KS,KDEF (3.5884%)
011070.KS,FPA (2.5659%); CGV (1.9974%); VIDI (1.6818%); FDT (1.3168%); AVES (1.0408%); AVEE (1.0243%); EEMS (0.5188%)
011200.KS,BOAT (4.9529%)
01211,KTEC (7.7556%); KGRN (7.4721%); CHIQ (6.5217%); SMOG (4.5042%); BATT (4.2917%); ERTH (3.9243%); FDRV (3.8761%); FXI (3.1271%)
012450.KS,KDEF (18.9827%); WDAF (6.8226%)
01398,FXI (6.0751%); ADIV (3.1888%); DEM (2.4755%); FLCH (2.361%); DVYE (2.2571%); MCHI (2.2472%); RFEM (1.952%); GXC (1.9197%); PXH (1.7374%); FNDE (1.4607%); BKF (1.2724%); DFEV (1.085%); UEVM (1.0562%); QEMM (0.9632%)
0148.HK,ECNS (6.1348%); FPA (4.6683%); MCH (4.663%); FDT (1.7948%); VIDI (1.7707%); AVEE (0.6087%); EEMS (0.5284%)
0175.HK,CHIQ (3.6437%)
01772,LITP (9.8762%)
017800.KS,FGD (1.8681%)
0189.HK,ECNS (2.0659%)
02318,PCCE (4.0626%); FXI (3.8652%); MCH (2.7201%); MCHI (1.7899%); FLCH (1.5259%); GXC (1.2664%)
02338,EPEM (2.4597%); FEM (1.2829%)
02359,KURE (3.3797%); MDEV (2.4369%)
0257.HK,ECNS (1.388%)
02628,FCA (2.8203%); MCH (2.5482%)
028260.KS,EMEQ (4.4946%); NUKZ (3.8495%); URA (3.7569%); EFFE (3.2966%); MKOR (2.9018%); EWY (1.1908%)
0288.HK,SDG (3.1912%); DIM (0.9231%); DEEF (0.4545%)
02899,RING (3.2537%); FTRI (3.2389%); JADE (1.153%)
0293.HK,FYLD (1.0228%)
0316.HK,SEA (4.9297%); BOAT (4.7198%)
032830.KS,FPA (1.9508%); EYLD (1.3635%); EWY (1.0627%); FNDC (0.3197%)
034020.KS,TNUK (6.7756%); FLKR (1.2304%); EWY (1.1066%)
034730.KS,GEME (4.8408%); MKOR (3.6545%); ADVE (2.2154%); FPA (2.1277%); FDT (0.8187%); JPIN (0.4797%)
035420.KS,SOCL (8.5322%)
036930.KQ,GWX (0.2737%)
03750,FPXI (8.3472%); CTEC (6.2253%); KGRN (5.4241%); ETEC (4.9685%); FDRV (4.7666%); IDRV (4.3236%); IBAT (3.5653%); MTRA (3.0071%); ERTH (2.2634%)
0386.HK,OBOR (1.7972%)
0388.HK,EWH (14.999%); PCCE (6.9708%); FDIQ (4.4614%)
03968,EMOP (2.6519%); EMKT (2.2168%); UEVM (1.0593%)
03986,FPXI (4.2821%)
03988,FXI (3.9458%); GSIB (3.5984%); DVYE (2.2284%); MCHI (1.7963%); FLCH (1.5528%); GXC (1.5299%); EEMV (1.2989%); UEVM (1.164%); JPEM (0.9329%)
0425.HK,ECNS (1.6089%)
042700.KS,KMCA (3.1159%)
047040.KS,FNDC (0.2984%); PDN (0.2179%)
047810.KS,WDAF (7.1249%); KDEF (4.7754%)
0522.HK,MCHS (3.973%); IMOM (2.3111%); PDN (0.4115%); FNDC (0.2524%)
055550.KS,FLKR (1.2958%); EWY (1.1866%)
0586.HK,ECNS (1.3057%)
06099,MCH (2.6183%)
064350.KS,KDEF (18.3874%); WDAF (6.488%); WCME (2.755%)
066570.KS,AVES (1.0764%); VIDI (0.8934%)
0669.HK,EWH (5.575%); IDVY (1.2903%)
0700.HK,MCHI (14.2126%); FLCH (12.3743%); MCH (12.0881%); PCCE (11.1627%); JCHI (10.8426%); KWEB (10.4586%); GXC (9.9013%); FDNI (9.7157%); KTEC (9.2349%); FXI (9.2212%); GAMR (9.1488%); SOCL (9.1194%); CGRO (8.8413%); CQQQ (8.4363%); BKF (8.0442%); ODDS (7.6472%); CXSE (7.1954%); CNQQ (7.0943%); ESPO (6.9469%); EMQQ (6.9422%); LDEM (4.5733%); IXP (4.4985%); AIA (4.4551%); FFEM (4.4213%); EMCS (4.4006%); EMXF (4.3765%); PCGG (4.2824%); EMES (3.6483%); DNL (3.5934%); EMCR (3.5241%); PATN (3.5074%); TCHI (3.47%); EMC (3.4472%); BGGG (3.3587%); EEMA (3.3359%); JEMA (3.3119%); GMF (3.2739%); NTSE (3.2737%); BIDD (3.2582%); JADE (3.1873%); SCHE (3.1651%); DEHP (3.1153%); RFEM (3.0826%); AAXJ (3.032%); NUEM (3.0131%); EMKT (2.9686%); EQLT (2.8895%); EPEM (2.8608%); EMMF (2.8514%); FDEM (2.8485%); EEMX (2.8457%); VWO (2.8228%); EMEQ (2.8155%); FLAX (2.7764%); EEM (2.7267%); SPEM (2.7224%); SEEM (2.6862%); DBEM (2.6227%); RNEM (2.5936%); XSOE (2.5799%); EMGF (2.5707%); BKEM (2.5521%); GSEE (2.5424%); BBEM (2.538%); GEM (2.5111%); REMG (2.4697%); ESGE (2.4309%); MEM (2.416%); IEMG (2.3949%); BCEM (2.3453%); QLVE (2.2975%); DFSE (2.2759%); DFAE (2.2573%); ASIA (2.2375%); JHEM (2.2107%); PXH (2.0795%); FEMR (1.9693%); CGNG (1.9582%); FNDE (1.8082%); FFGX (1.7528%); DFEM (1.6855%); AVEM (1.5332%); AVSE (1.3504%); TLTE (1.249%); DIEM (1.1246%); GINN (1.0992%); TIER (1.097%); ACWX (0.9131%); CWI (0.881%); DBAW (0.8735%); GXUS (0.8734%); VEU (0.8417%); IXUS (0.7898%); VXUS (0.7651%); DFAX (0.4483%)
071050.KS,MEM (2.1595%)
0788.HK,SRVR (1.9888%)
079550.KS,KDEF (6.3792%); WDAF (4.4616%)
080220.KQ,FDTS (0.9307%)
0823.HK,EWH (3.6318%); RWX (2.6678%); FIDI (2.3696%)
084370.KQ,EMSF (4.5253%); MEMS (3.999%)
086790.KS,ADVE (2.9005%); MKOR (2.6541%)
095610.KQ,FDTS (0.5905%)
097230.KS,KDEF (3.8619%)
0992.HK,TCHI (4.5145%); EFFE (4.0233%); EQLT (3.6272%); FID (3.0944%); WDIV (2.2364%); EMKT (2.0529%); NUEM (1.7382%); JADE (1.2747%); MFEM (1.2428%); DFSE (0.8287%)
1010.SR,FLSA (3.2365%); KSA (3.1725%)
1015.KL,EWM (3.4795%)
1023.KL,EWM (12.7534%); ASEA (2.7108%)
1024.HK,SOCL (6.9894%); KTEC (4.2212%); KWEB (4.0839%); CQQQ (3.8013%); TCHI (2.8159%)
103140.KS,KDEF (4.0898%)
1044.HK,UEVM (1.0727%)
105560.KS,MKOR (2.941%); FLKR (1.7343%); EWY (1.5761%); EYLD (1.341%)
1060.SR,KSA (2.6481%); FLSA (2.5296%)
1066.KL,EWM (3.3731%); UEVM (1.118%)
1070.HK,ECNS (1.1243%)
108490.KS,HUMN (3.4854%)
1093.HK,OZEM (5.3184%); KURE (3.7111%)
1099.HK,UEVM (1.0488%)
1113.HK,EWH (3.1205%)
1120.SR,FLSA (14.4795%); KSA (14.2006%); XC (2.2672%); STXE (1.3836%); XSOE (1.0902%)
1150.SR,KSA (2.9196%); FLSA (2.8358%)
1155.KL,EWM (13.6095%); ASEA (3.5597%)
1164.HK,URNM (4.2631%); URNJ (4.2589%)
1177.HK,KURE (3.4142%)
1180.SR,FLSA (8.5084%); KSA (8.1355%)
1209.HK,PCCE (3.6967%); FDEM (1.4283%)
1211.SR,FLSA (6.3828%); KSA (4.4682%)
1216.TW,SDG (3.2413%)
1295.KL,EWM (16.2681%); ASEA (3.0665%)
1299.HK,EWH (21.0598%); PCCE (7.3929%); BBAX (4.5384%); DINT (4.48%); EPP (4.3867%); BKCI (4.3439%); OSEA (3.5978%); AIA (1.9883%); TDI (1.6441%)
1303.TW,KEMX (0.9909%)
1308.HK,SEA (4.851%); BOAT (4.7539%)
131290.KQ,FDTS (0.7268%)
1347.HK,CQQQ (4.9833%); KTEC (4.7567%); TCHI (4.143%); KEMQ (3.8393%); NBCE (2.9754%); ROAM (1.1258%)
1357.HK,ECNS (1.1245%)
145020.KS,MEMS (3.1227%)
1503.TW,PBD (1.224%)
1513.TW,EMSC (1.6995%); PBD (1.1636%)
1519.HK,IPOS (3.5093%)
1590.TW,EMES (2.1421%)
1605.T,CCNR (1.1598%)
1609.TW,PBD (1.118%)
1658.HK,UEVM (1.0952%)
1672.HK,OZEM (4.1982%)
1789.HK,PCCE (3.0618%)
1801.HK,KURE (8.875%); THNR (5.0004%)
1802.T,IVAL (2.065%)
1810.HK,KTEC (7.5641%); DRGN (4.6831%); CGRO (4.5082%); FXI (4.4059%); KARS (3.1057%); TCHI (2.6597%); CNQQ (2.3641%); MCHI (1.9933%); EVLU (1.764%); FLCH (1.7239%); CXSE (1.5228%); GXC (1.4273%)
1816.HK,KGRN (4.1895%)
1878.T,FIDI (2.3587%)
