Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
ACOM,ACOM,Harbor Active Commodity ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Active,Base Metals & Commodities,United States,Active; Base Metals & Commodities; Commodity; United States,0,0,,,,,Yahoo ETF Top Holdings
BCD,BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
BCI,BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
CCOM,CCOM,Simplify Chinese Commodities Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,China,Base Metals & Commodities; China; Commodity; Plain,0,0,,,,,Yahoo ETF Top Holdings
CERY,CERY,State Street SPDR Bloomberg Enhanced Roll Yield Commodity Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States,1,0,GVMXX 94.48%,,,,Yahoo ETF Top Holdings
CMCI,CMCI,VanEck CMCI Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,1,0,CMCAX 23.91%,,,,Yahoo ETF Top Holdings
CMDT,CMDT,PIMCO Commodity Strategy Active Exchange-Traded Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Active,Base Metals & Commodities,United States,Active; Base Metals & Commodities; Commodity; United States,1,0,MINT 5.91%,,,,Yahoo ETF Top Holdings
COM,COM,Direxion Auspice Broad Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
COMD,COMD,Global X Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,Global,Base Metals & Commodities; Commodity; Global; Plain,1,0,CLIP 88.25%,,,,Yahoo ETF Top Holdings
CPER,CPER,United States Copper Index Fund ETV,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
DBC,DBC,Invesco DB Commodity Index Tracking Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,3,0,AGPXX 37.02%; BRNZ26 7.56%; TBLL 6.59%,,,,Yahoo ETF Top Holdings
DCMT,DCMT,DoubleLine Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,1,0,MGMXX 3.74%,,,,Yahoo ETF Top Holdings
EMET,EMET,VanEck Copper and Electrification Metals ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
FTGC,FTGC,First Trust Global Tactical Commodity Strategy Fund,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,Global,Base Metals & Commodities; Commodity; Global; Plain,1,0,MISXX 24.67%,,,,Yahoo ETF Top Holdings
GCC,GCC,WisdomTree EnhancedContinuous Commodity Index Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,1,0,USFR 19.12%,,,,Yahoo ETF Top Holdings
HARD,HARD,Simplify Commodities Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,2,0,SBIL 36.93%; BRNX26 6.04%,,,,Yahoo ETF Top Holdings
HGER,HGER,Harbor Commodity All-Weather Strategy ETF,NYSE, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
KCOP,KCOP,Kurv Copper & Mining Enhanced Income ETF,BATS, ,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States,1,0,FIGXX 1.20%,,,,Yahoo ETF Top Holdings
NBCM,NBCM,Neuberger Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
PDBA,PDBA,Invesco Agriculture Commodity Strategy No K-1 ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,1,0,IUGXX 83.56%,,,,Yahoo ETF Top Holdings
PDBC,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States,1,0,IUGXX 84.11%,,,,Yahoo ETF Top Holdings
PIT,PIT,VanEck Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
SCOP,SCOP,Sprott Physical Copper Trust Units,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
SDCI,SDCI,USCF SummerHaven Dynamic Commodity Strategy No K-1 Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
USCI,USCI,United States Commodity Index Fund ETV,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States,0,0,,,,,Yahoo ETF Top Holdings
ZSC,ZSC,USCF Sustainable Commodity Strategy Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,ESG/Sustainable,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; ESG/Sustainable; United States,0,0,,,,,Yahoo ETF Top Holdings
EVMT,EVMT,Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Electric Vehicles & Batteries; Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Electric Vehicles & Batteries; Plain; United States,1,0,IUGXX 87.01%,,,,Yahoo ETF Top Holdings
AGMI,AGMI,Themes Silver Miners ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Precious Metals,United States,Commodity; Plain; Precious Metals; United States,10,56.729,NEM 9.69%; FRES.L 9.64%; PE&OLES.MX 9.54%; WPM.TO 6.98%; DSV 6.30%; AG.TO 4.60%; AYA.TO 4.36%; EXK 4.15%; PAAS.TO 3.98%; SVM.TO 3.79%,Basic Materials 56.73%,Precious Metals 13.84%; Silver 12.75%; Gold 10.96%; Other Precious Metals & Mining 9.64%; Other Industrial Metals & Mining 9.54%,Basic Materials 56.73% | Precious Metals 13.84%; Silver 12.75%; Gold 10.96%; Other Precious Metals & Mining 9.64%; Other Industrial Metals & Mining 9.54%,Yahoo ETF Top Holdings
AUAU,AUAU,Global X Gold Miners ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Precious Metals,Global,Commodity; Global; Plain; Precious Metals,0,0,,,,,Yahoo ETF Top Holdings
