Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
GOLD1.NS,XNSE:GOLD1,KotakMutualFund-Gold,NSE,ETF,Y,N,,,ETF,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals
SILVER.NS,XNSE:SILVER,BIRLASLAMC-SILVER,NSE,ETF,Y,N,,,ETF,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals
ABSL10BANK.NS,XNSE:ABSL10BANK,BIRLASLAMC - ABSL10BANK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANK10ADD.NS,XNSE:BANK10ADD,DSPAMC - BANK10ADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKADD.NS,XNSE:BANKADD,DSPAMC-DSPBANK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBEES.NS,XNSE:BANKBEES,NIPINDETFBANKBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBETA.NS,XNSE:BANKBETA,UTIAMC-BANKBETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBETF.NS,XNSE:BANKBETF,BFAM-BANKBETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKETF.NS,XNSE:BANKETF,MIRAEAMC-BANKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKIETF.NS,XNSE:BANKIETF,ICICIPRAMC-IPRU5008,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKPSU.NS,XNSE:BANKPSU,MIRAEAMC - BANKPSU,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
MOBANK10.NS,XNSE:MOBANK10,MOTILALAMC - MOBANK10,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBANKADD.NS,XNSE:PSUBANKADD,DSPAMC-DSPPSBKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBNKBEES.NS,XNSE:PSUBNKBEES,NIPINDETFPSUBANKBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBNKIETF.NS,XNSE:PSUBNKIETF,ICICIPRAMC-PSUBANKICI,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PVTBANIETF.NS,XNSE:PVTBANIETF,ICICIPRAMC-ICICIBANKP,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PVTBANKADD.NS,XNSE:PVTBANKADD,DSPAMC-DSPPVBKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKNIFTY1.NS,XNSE:BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
EBANKNIFTY.NS,XNSE:EBANKNIFTY,EDELAMC - EBANKNIFTY,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
SETFNIFBK.NS,XNSE:SETFNIFBK,SBI-ETFNiftyBank,NSE,ETF,Y,N,,,ETF,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
ABGSEC.NS,XNSE:ABGSEC,BIRLASLAMC - ABGSEC,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLBANETF.NS,XNSE:ABSLBANETF,BIRLASLAMC-ABSLBANETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLLIQUID.NS,XNSE:ABSLLIQUID,BIRLASLAMC-ABSLLIQUID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLNN50ET.NS,XNSE:ABSLNN50ET,BIRLASLAMC-ABSLNN50ET,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLPSE.NS,XNSE:ABSLPSE,BIRLASLAMC-ABSLPSE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPHA.NS,XNSE:ALPHA,KOTAKMAMC-KOTAKALPHA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPHAETF.NS,XNSE:ALPHAETF,MIRAEAMC-ALPHAETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPL30IETF.NS,XNSE:ALPL30IETF,ICICIPRAMC-ICICIALPLV,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
