Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags
GOLD1.NS,KotakMutualFund-Gold,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals
SILVER.NS,BIRLASLAMC-SILVER,Commodity,Plain,Precious Metals,India,Commodity; India; Plain; Precious Metals
ABSL10BANK.NS,BIRLASLAMC - ABSL10BANK,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANK10ADD.NS,DSPAMC - BANK10ADD,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKADD.NS,DSPAMC-DSPBANK,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBEES.NS,NIPINDETFBANKBEES,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBETA.NS,UTIAMC-BANKBETA,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKBETF.NS,BFAM-BANKBETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKETF.NS,MIRAEAMC-BANKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKIETF.NS,ICICIPRAMC-IPRU5008,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKPSU.NS,MIRAEAMC - BANKPSU,Equity,Plain,Banking,India,Banking; Equity; India; Plain
MOBANK10.NS,MOTILALAMC - MOBANK10,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBANKADD.NS,DSPAMC-DSPPSBKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBNKBEES.NS,NIPINDETFPSUBANKBEES,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PSUBNKIETF.NS,ICICIPRAMC-PSUBANKICI,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PVTBANIETF.NS,ICICIPRAMC-ICICIBANKP,Equity,Plain,Banking,India,Banking; Equity; India; Plain
PVTBANKADD.NS,DSPAMC-DSPPVBKETF,Equity,Plain,Banking,India,Banking; Equity; India; Plain
BANKNIFTY1.NS,KOTAKMAMC-KOTAKBKETF,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
EBANKNIFTY.NS,EDELAMC - EBANKNIFTY,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
SETFNIFBK.NS,SBI-ETFNiftyBank,Equity,Plain,Banking; Broad Market & Core Indices,India,Banking; Broad Market & Core Indices; Equity; India; Plain
ABGSEC.NS,BIRLASLAMC - ABGSEC,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLBANETF.NS,BIRLASLAMC-ABSLBANETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLLIQUID.NS,BIRLASLAMC-ABSLLIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLNN50ET.NS,BIRLASLAMC-ABSLNN50ET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ABSLPSE.NS,BIRLASLAMC-ABSLPSE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPHA.NS,KOTAKMAMC-KOTAKALPHA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPHAETF.NS,MIRAEAMC-ALPHAETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ALPL30IETF.NS,ICICIPRAMC-ICICIALPLV,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AONEGOLD.NS,AONEAMC - AONEGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AONELIQUID.NS,AONEAMC - AONELIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AONESILVER.NS,AONEAMC - AONESILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AONETMMQ50.NS,AONEAMC - AONETMMQ50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AONETOTAL.NS,AONEAMC - AONETOTAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AUTOBEES.NS,NIPPONAMC-NETFAUTO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AUTOIETF.NS,ICICIPRAMC-ICICIAUTO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISBNKETF.NS,AXISAMC-AXISBNKETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISCETF.NS,AXISAMC-AXISCETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISGOLD.NS,AxisMF-AxisGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISHCETF.NS,AXISAMC-AXISHCETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISILVER.NS,AXISAMC-AXISILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISTECETF.NS,AXISAMC-AXISTECETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXSENSEX.NS,AXISAMC-AXSENSEX,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBETF0432.NS,EDELAMC-BBETF0432,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBNPNBETF.NS,BARODABNP - BBNPNBETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBNPPGOLD.NS,BARODABNP-BBNPPGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BFSI.NS,MIRAEAMC-MAFSETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BSE500IETF.NS,ICICIPRAMC-ICICI500,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BSLGOLDETF.NS,ABSLGoldETF-GO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BSLSENETFG.NS,BIRLASLAMC-BSLSENETFG,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CASHIETF.NS,ICICIPRAMC - CASHIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CHOICEGOLD.NS,ChoiceAMC - CHOICEGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
COMMOIETF.NS,ICICIPRAMC-ICICICOMMO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONS.NS,KOTAKMAMC-KOTAKCONS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMBEES.NS,NIPINDETFCONSUMPTION,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMER.NS,MIRAEAMC - CONSUMER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMIETF.NS,ICICIPRAMC-ICICICONSU,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
