Stock Ticker,Company Name,Exchange,Market Cap,Price,CQTM,QTUM,QTUP,WQTM,ETF_Count,Total_Weight_Across_ETFs,
,,,,,$27.7100,$152.4600,$19.0500,$34.7300,,,
QNT,Quantinuum Inc Class A,United States (NGM),$19.60B,$75.61,7.06%,1.57%,17.81%,7.16%,4,33.6,
IONQ,IonQ Inc Class A,United States (NYQ),$16.83B,$45.08,18.07%,,16.07%,4.75%,3,38.89,
QBTS,D-Wave Quantum Inc,United States (NYQ),$7.65B,$20.64,18.78%,,4.79%,5.53%,3,29.1,
HQ,Horizon Quantum Holdings Ltd Class A,Singapore (NCM),$1.23B,$23.76,7.14%,2.38%,7.67%,,3,17.19,
ARQQ,Arqit Quantum Inc,United Kingdom (NCM),$348.92M,$20.05,4.92%,2.41%,7.40%,,3,14.74,
QUBT,Quantum Computing Inc,United States (NCM),$1.97B,$8.75,4.22%,,4.64%,2.79%,3,11.64,
FGXXX,First American Government Obligs X,NAS,N/A,$1.00,4.55%,,14.40%,,2,18.95,
RGTI,Rigetti Computing Inc,United States (NCM),$5.62B,$16.92,,,4.78%,5.14%,2,9.93,
IBM,International Business Machines Corp,United States (NYQ),$283.89B,$302.05,4.62%,,,3.55%,2,8.18,
INTC,Intel Corp,United States (NMS),$554.07B,$110.24,,,,3.05%,2,7.71,
XNDU.TO,Xanadu Quantum Technologies Ltd Ordinary Shares - Class B (Sub Voting),Canada (TOR),C$4.74B,C$15.87,,,5.20%,,1,5.2,
BTQ.NE,BTQ Technologies Corp,Canada (NEO),C$797.63M,C$5.54,4.89%,,,,1,4.89,
QNC.V,Quantum eMotion Corp,Canada (VAN),C$875.28M,C$3.99,4.51%,,,,1,4.51,
INFQ,Infleqtion Inc Ordinary Shares - Class A,United States (NYQ),$2.51B,$11.51,,,,2.62%,1,2.62,
DELL,Dell Technologies Inc Ordinary Shares - Class C,United States (NYQ),$279.11B,$431.97,,,,2.59%,1,2.59,
MSFT,Microsoft Corp,United States (NMS),$2.85T,$383.34,,,,2.52%,1,2.52,
AMAT,Applied Materials Inc,United States (NMS),$452.95B,$570.50,,1.55%,,,1,1.55,
ALAB,Astera Labs Inc,United States (NMS),$67.39B,$393.16,,1.55%,,,1,1.55,
KLAC,KLA Corp,United States (NMS),$288.92B,$221.18,,1.50%,,,1,1.5,
MKSI,MKS Inc,United States (NMS),$23.60B,$349.39,,1.50%,,,1,1.5,
ONTO,Onto Innovation Inc,United States (NYQ),$14.50B,$291.45,,1.49%,,,1,1.49,
TER,Teradyne Inc,United States (NMS),$55.04B,$351.57,,1.48%,,,1,1.48,
LRCX,Lam Research Corp,United States (NMS),$416.63B,$333.15,,1.43%,,,1,1.43,
