Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDC,ProFrac Holding Corp. Class A Common Stock,$7.7708,0.2708,3.61%,1405898987,United States,2022,158488,Energy,Oilfield Services/Equipment
ALP,Alpha Compute Corp Common Stock,$0.248,-0.008,-3.13%,5811778,Canada,,1017355,Energy,Oil & Gas Production
ANNA,AleAnna Inc. Class A Common Stock,$3.5718,-0.1582,-4.24%,239076290,United States,,157141,Energy,Oil & Gas Production
ANNAW,AleAnna Inc. Warrant,$0.405,0.015,3.85%,27108432,United States,,10191,Energy,Oil & Gas Production
APA,APA Corporation Common Stock,$42.03,0.01,0.02%,14853419400,United States,,1642924,Energy,Oil & Gas Production
APC,ARKO Petroleum Corp. Class A Common Stock,$19.02,0.14,0.74%,904785641,United States,2026,9787,Energy,Oil Refining/Marketing
AREC,American Resources Corporation Class A Common Stock,$2.35,0.08,3.52%,251275675,United States,,443648,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$26.38,0.08,0.30%,3394019170,United States,1999,42679,Energy,Coal Mining
BANL,CBL International Limited Class B Ordinary Shares,$0.4787,-0.0223,-4.45%,13164407,Malaysia,2023,62440,Energy,Oil Refining/Marketing
BLDP,Ballard Power Systems Inc. Common Shares,$3.98,0.69,20.97%,1199873879,Canada,,4548875,Energy,Industrial Machinery/Components
CHRD,Chord Energy Corporation Common Stock,$149.02,-0.23,-0.15%,8447362771,United States,,78127,Energy,Oil & Gas Production
CIIT,Tianci International Inc. Common Stock,$1.34,-0.05,-3.60%,4849335,Hong Kong,,5043,Energy,Oil & Gas Production
CLMT,Calumet Inc. Common Stock,$34.825,0.675,1.98%,3031187432,United States,2006,170302,Energy,Integrated oil Companies
DLXY,Delixy Holdings Limited Class A Ordinary Shares,$0.6797,0.0192,2.91%,11113095,Singapore,2025,85004,Energy,Oil Refining/Marketing
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$27.36,0.13,0.48%,1320269112,United States,,27968,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$3.733,0.113,3.12%,115920252,United States,,10293,Energy,Oil & Gas Production
EPSN,Epsilon Energy Ltd. Common Share,$6.235,-0.065,-1.03%,188600127,United States,,13047,Energy,Oil & Gas Production
EXE,Expand Energy Corporation Common Stock,$99.71,-1.06,-1.05%,23853508534,United States,,293390,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Common Stock,$210.77,-2.92,-1.37%,59292073332,United States,2012,1259542,Energy,Oil & Gas Production
FCEL,FuelCell Energy Inc. Common Stock,$13.51,0.49,3.76%,644103341,United States,,3766809,Energy,Industrial Machinery/Components
FIP,FTAI Infrastructure Inc. Common Stock ,$5.39,0.09,1.70%,636901561,United States,,123509,Energy,Oil Refining/Marketing
GLND,Greenland Energy Company Common Stock,$2.97,0.12,4.21%,129656039,United States,,510072,Energy,Oil & Gas Production
GLNDW,Greenland Energy Company Warrant,$0.9299,0.0402,4.52%,40595000,United States,,45931,Energy,Oil & Gas Production
HNRG,Hallador Energy Company Common Stock,$16.76,1.2,7.71%,789905370,United States,,230181,Energy,Coal Mining
HPK,HighPeak Energy Inc. Common Stock,$6.805,-0.115,-1.66%,859866898,United States,,61707,Energy,Oil & Gas Production
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,$3.14,0.03,0.97%,9476024,Ireland,,2830,Energy,Industrial Machinery/Components
KGEI,Kolibri Global Energy Inc. Common stock,$5.75,0.01,0.17%,203977260,United States,,15157,Energy,Oil & Gas Production
KLXE,KLX Energy Services Holdings Inc. Common Stock,$3.96,-0.07,-1.74%,77888258,United States,,64066,Energy,Oilfield Services/Equipment
LFUS,Littelfuse Inc. Common Stock,$424.555,0.285,0.07%,10682700885,United States,,37221,Energy,Electrical Products
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$5.02,0,0.00%,10040000,United States,,122,Energy,Oil & Gas Production
METC,Ramaco Resources Inc. Class A Common Stock,$14.8425,0.3525,2.43%,974813010,United States,2017,195713,Energy,Coal Mining
METCB,Ramaco Resources Inc. Class B Common Stock,$10.01,-0.155,-1.53%,657428211,United States,,3459,Energy,Coal Mining
