Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Holdings Inc. Common Stock,$14.81,-3.53,-19.25%,1195140431,United States,1994,1953769,Utilities,Telecommunications Equipment
AEP,American Electric Power Company Inc. Common Stock,$137.27,2.61,1.94%,74614958900,United States,,769405,Utilities,Electric Utilities: Central
ARTNA,Artesian Resources Corporation Class A Common Stock,$31.395,0.105,0.34%,323945603,United States,,1590,Utilities,Water Supply
AUDC,AudioCodes Ltd. Common Stock,$8.50,-1.64,-16.17%,220040384,Israel,1999,288051,Utilities,Telecommunications Equipment
CDZI,CADIZ Inc. Common Stock,$4.495,0.095,2.16%,376237281,United States,,149671,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$20.0168,0,0.00%,1675431902,United States,,62,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$321.485,0.435,0.14%,1.01E+11,United States,,464849,Utilities,Electric Utilities: Central
CLFD,Clearfield Inc. Common Stock,$29.16,-0.21,-0.72%,399066585,United States,,14050,Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$2.345,-0.075,-3.10%,516426767,United States,2007,245414,Utilities,Natural Gas Distribution
CLRO,ClearOne Inc. Common Stock,$3.30,0.03,0.92%,8828860,United States,,210,Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$32.4949,0.3749,1.17%,519924574,Cayman Islands,,4099,Utilities,Water Supply
CWST,Casella Waste Systems Inc. Class A Common Stock,$87.12,0.72,0.83%,5541698060,United States,1997,32134,Utilities,Environmental Services
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,$88.51,-0.29,-0.33%,12342193751,Israel,2023,95888,Utilities,Electric Utilities: Central
EVRG,Evergy Inc. Common Stock,$82.055,-0.025,-0.03%,18895965846,United States,,144038,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$46.18,-0.43,-0.92%,47250225702,United States,,891306,Utilities,Power Generation
FIEE,FiEE Inc Common Stock,$6.94,0,0.00%,57800470,United States,,74,Utilities,Telecommunications Equipment
FKWL,Franklin Wireless Corp. Common Stock,$3.74,0.12,3.32%,44073207,United States,,114,Utilities,Telecommunications Equipment
GWRS,Global Water Resources Inc. Common Stock,$7.10,0.04,0.57%,204221801,United States,2016,2972,Utilities,Water Supply
HTO,H2O America Common Stock,$57.79,0.47,0.82%,2417947874,United States,,37943,Utilities,Water Supply
LNT,Alliant Energy Corporation Common Stock,$73.125,-0.555,-0.75%,18886508331,United States,,297317,Utilities,Power Generation
