Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,Q,Q,N,"56,89,04,11,83,540.00",,,Technology,Semiconductors
AVGO,AVGO,Broadcom Inc. - Common Stock,Q,Q,N,"20,57,45,00,59,357.00",,,Technology,Semiconductors
MU,MU,"Micron Technology, Inc. - Common Stock",Q,Q,N,"8,93,34,58,05,840.00",,,Technology,Semiconductors
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,"7,28,50,34,47,486.00",,,Technology,Semiconductors
INTC,INTC,Intel Corporation - Common Stock,Q,Q,N,"5,81,55,79,57,400.00",,,Technology,Semiconductors
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,"3,53,79,92,14,807.00",,,Technology,Semiconductors
TXN,TXN,Texas Instruments Incorporated - Common Stock,Q,Q,N,"2,81,21,41,21,955.00",,,Technology,Semiconductors
ARM,ARM,Arm Holdings plc - American Depositary Shares,Q,Q,N,"2,35,81,93,89,262.00",,,Technology,Semiconductors
ADI,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,"2,08,40,94,72,582.00",,,Technology,Semiconductors
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",Q,Q,N,"1,58,56,55,13,566.00",,,Technology,Semiconductors
MPWR,MPWR,"Monolithic Power Systems, Inc. - Common Stock",Q,Q,N,"79,37,46,73,650.00",,,Technology,Semiconductors
ASX,ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",N, ,N,"78,61,95,48,367.00",,,Technology,Semiconductors
NXPI,NXPI,NXP Semiconductors N.V. - Common Stock,Q,Q,N,"73,93,11,06,064.00",,,Technology,Semiconductors
STM,STM,STMicroelectronics N.V. Common Stock,N, ,N,"57,21,88,93,626.00",,,Technology,Semiconductors
MCHP,MCHP,Microchip Technology Incorporated - Common Stock,Q,Q,N,"51,85,70,10,940.00",,,Technology,Semiconductors
ON,ON,ON Semiconductor Corporation - Common Stock,Q,Q,N,"46,14,07,22,192.00",,,Technology,Semiconductors
UMC,UMC,United Microelectronics Corporation (NEW) Common Stock,N, ,N,"43,21,51,40,732.00",,,Technology,Semiconductors
GFS,GFS,GlobalFoundries Inc. - Ordinary Share,Q,Q,N,"40,98,29,12,991.00",,,Technology,Semiconductors
ALAB,ALAB,"Astera Labs, Inc. - Common Stock",Q,Q,N,"38,59,93,53,783.00",,,Technology,Semiconductors
CRDO,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,Q,Q,N,"34,07,52,81,916.00",,,Technology,Semiconductors
Q,Q,"Qnity Electronics, Inc. Common Stock",N, ,N,"33,87,31,77,085.00",,,Technology,Semiconductors
TSEM,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Q,Q,N,"31,16,84,54,905.00",,,Technology,Semiconductors
MTSI,MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",Q,Q,N,"28,87,71,87,501.00",,,Technology,Semiconductors
FSLR,FSLR,"First Solar, Inc. - Common Stock",Q,Q,N,"25,12,47,45,337.00",,,Technology,Semiconductors
SITM,SITM,SiTime Corporation - Common Stock,Q,G,N,"21,74,50,46,986.00",,,Technology,Semiconductors
AMKR,AMKR,"Amkor Technology, Inc. - Common Stock",Q,Q,N,"18,25,33,32,226.00",,,Technology,Semiconductors
LSCC,LSCC,Lattice Semiconductor Corporation - Common Stock,Q,Q,N,"16,95,19,82,147.00",,,Technology,Semiconductors
