Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,Q,Q,N,"49,65,59,80,00,000",,,Technology,Semiconductors
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,Q,Q,N,"43,57,88,28,80,000",,,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,Q,Q,N,"43,39,46,65,60,000",,,Technology,Computer Software: Programming Data Processing
AAPL,AAPL,Apple Inc. - Common Stock,Q,Q,N,"42,75,92,99,52,280",,,Technology,Computer Manufacturing
MSFT,MSFT,Microsoft Corporation - Common Stock,Q,Q,N,"29,02,58,65,76,241",,,Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",Q,Q,N,"25,66,10,84,55,958",,,Consumer Discretionary,Catalog/Specialty Distribution
TSM,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,N, ,N,"21,98,71,50,23,953",,,Technology,Semiconductors
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,Q,Q,N,"21,04,56,04,99,916",,,,
AVGO,AVGO,Broadcom Inc. - Common Stock,Q,Q,N,"18,17,72,86,66,250",,,Technology,Semiconductors
TSLA,TSLA,"Tesla, Inc.  - Common Stock",Q,Q,N,"15,26,43,88,52,891",,,Industrials,Auto Manufacturing
META,META,"Meta Platforms, Inc. - Class A Common Stock",Q,Q,N,"14,39,23,52,44,902",,,Technology,Computer Software: Programming Data Processing
MU,MU,"Micron Technology, Inc. - Common Stock",Q,Q,N,"11,06,99,50,21,802",,,Technology,Semiconductors
LLY,LLY,Eli Lilly and Company Common Stock,N, ,N,"10,66,99,30,12,998",,,Health Care,Biotechnology: Pharmaceutical Preparations
WMT,WMT,Walmart Inc. - Common Stock,Q,Q,N,"9,63,24,59,00,921",,,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JPM,JP Morgan Chase & Co. Common Stock,N, ,N,"8,59,37,29,01,981",,,Finance,Major Banks
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,"8,34,16,63,68,893",,,Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,Q,Q,N,"7,18,24,50,89,611",,,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,Q,Q,N,"6,26,08,88,20,000",,,Technology,Semiconductors
GOOGM,GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,Q,Q,N,"6,11,25,22,00,000",,,Technology,Computer Software: Programming Data Processing
GOOGN,GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,Q,Q,N,"6,10,76,75,60,000",,,Technology,Computer Software: Programming Data Processing
V,V,Visa Inc.,N, ,N,"6,10,75,75,24,657",,,Consumer Discretionary,Business Services
XOM,XOM,Exxon Mobil Corporation Common Stock,N, ,N,"6,09,34,86,82,286",,,Energy,Integrated oil Companies
JNJ,JNJ,Johnson & Johnson Common Stock,N, ,N,"5,79,82,63,51,805",,,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AZN,AstraZeneca PLC Ordinary Shares,N, ,N,"5,54,38,44,98,168",,,Health Care,Biotechnology: Pharmaceutical Preparations
ORCL,ORCL,Oracle Corporation Common Stock,N, ,N,"5,29,56,63,49,980",,,Technology,Computer Software: Prepackaged Software
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",Q,Q,N,"4,77,30,77,37,932",,,Telecommunications,Computer Communications Equipment
LRCX,LRCX,Lam Research Corporation - Common Stock,Q,Q,N,"4,58,72,19,48,510",,,Technology,Industrial Machinery/Components
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,"4,50,37,34,86,668",,,Technology,Semiconductors
COST,COST,Costco Wholesale Corporation - Common Stock,Q,Q,N,"4,35,65,14,03,109",,,Consumer Discretionary,Department/Specialty Retail Stores
MA,MA,Mastercard Incorporated Common Stock,N, ,N,"4,32,93,84,17,273",,,Consumer Discretionary,Business Services
CAT,CAT,"Caterpillar, Inc. Common Stock",N, ,N,"4,19,44,22,56,765",,,Industrials,Construction/Ag Equipment/Trucks
ARM,ARM,Arm Holdings plc - American Depositary Shares,Q,Q,N,"4,05,20,28,80,514",,,Technology,Semiconductors
ABBV,ABBV,AbbVie Inc. Common Stock,N, ,N,"4,02,35,17,29,126",,,Health Care,Biotechnology: Pharmaceutical Preparations
BAC,BAC,Bank of America Corporation Common Stock,N, ,N,"3,97,55,10,08,269",,,Finance,Major Banks
CVX,CVX,Chevron Corporation Common Stock,N, ,N,"3,72,86,69,27,385",,,Energy,Integrated oil Companies
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),N, ,N,"3,70,99,51,51,922",,,Health Care,Medical Specialities
KO,KO,Coca-Cola Company (The) Common Stock,N, ,N,"3,55,60,91,10,698",,,Consumer Staples,Beverages (Production/Distribution)
GE,GE,GE Aerospace Common Stock,N, ,N,"3,49,83,09,74,896",,,Technology,Consumer Electronics/Appliances
PG,PG,Procter & Gamble Company (The) Common Stock,N, ,N,"3,48,38,16,93,099",,,Consumer Discretionary,Package Goods/Cosmetics
NFLX,NFLX,"Netflix, Inc. - Common Stock",Q,Q,N,"3,38,29,55,53,740",,,Consumer Discretionary,Consumer Electronics/Video Chains
MS,MS,Morgan Stanley Common Stock,N, ,N,"3,37,60,20,42,231",,,Finance,Investment Bankers/Brokers/Service
HD,HD,"Home Depot, Inc. (The) Common Stock",N, ,N,"3,27,44,31,47,202",,,Consumer Discretionary,RETAIL: Building Materials
HSBC,HSBC,"HSBC Holdings, plc. Common Stock",N, ,N,"3,18,32,58,95,565",,,Finance,Savings Institutions
GS,GS,"Goldman Sachs Group, Inc. (The) Common Stock",N, ,N,"3,13,51,91,36,668",,,Finance,Investment Bankers/Brokers/Service
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,Q,Q,N,"3,06,83,19,59,936",,,Technology,Computer Software: Prepackaged Software
MRK,MRK,"Merck & Company, Inc. Common Stock (new)",N, ,N,"2,94,03,25,96,606",,,Health Care,Biotechnology: Pharmaceutical Preparations
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,Q,Q,N,"2,93,23,25,29,816",,,Technology,Electronic Components
NVS,NVS,Novartis AG Common Stock,N, ,N,"2,92,08,07,77,505",,,Health Care,Biotechnology: Pharmaceutical Preparations
PM,PM,Philip Morris International Inc Common Stock,N, ,N,"2,87,24,23,95,318",,,Health Care,Medicinal Chemicals and Botanical Products
RY,RY,Royal Bank Of Canada Common Stock,N, ,N,"2,77,31,61,59,848",,,Finance,Commercial Banks
TM,TM,Toyota Motor Corporation Common Stock,N, ,N,"2,76,33,33,05,613",,,Industrials,Auto Manufacturing
TXN,TXN,Texas Instruments Incorporated - Common Stock,Q,Q,N,"2,74,04,71,41,226",,,Technology,Semiconductors
BABA,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N, ,N,"2,63,29,20,97,551",,,Consumer Discretionary,Business Services
DELL,DELL,Dell Technologies Inc. Class C Common Stock ,N, ,N,"2,56,37,20,78,000",,,Technology,Computer Manufacturing
WFC,WFC,Wells Fargo & Company Common Stock,N, ,N,"2,56,22,96,66,333",,,Finance,Major Banks
IBM,IBM,International Business Machines Corporation Common Stock,N, ,N,"2,55,87,43,68,627",,,Technology,Computer Manufacturing
GEV,GEV,GE Vernova Inc. Common Stock,N, ,N,"2,52,77,41,50,497",,,,
SHEL,SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,N, ,N,"2,48,90,36,51,748",,,Energy,Oil & Gas Production
RTX,RTX,RTX Corporation Common Stock,N, ,N,"2,47,15,68,09,541",,,Industrials,Aerospace
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",Q,Q,N,"2,44,68,15,60,000",,,Technology,Semiconductors
LIN,LIN,Linde plc - Ordinary Shares,Q,Q,N,"2,42,20,32,40,634",,,Basic Materials,Major Chemicals
MUFG,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",N, ,N,"2,39,25,30,52,147",,,Finance,Commercial Banks
C,C,"Citigroup, Inc. Common Stock",N, ,N,"2,38,49,08,25,618",,,Finance,Major Banks
BHP,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N, ,N,"2,30,63,34,47,322",,,Energy,Coal Mining
CCZ,CCZ,Comcast Holdings ZONES,N, ,N,"2,28,72,49,31,462",,,Telecommunications,Cable & Other Pay Television Services
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",Q,Q,N,"2,27,89,03,00,000",,,Technology,Computer peripheral equipment
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,Q,Q,N,"2,23,15,28,80,000",,,Technology,Radio And Television Broadcasting And Communications Equipment
AXP,AXP,American Express Company Common Stock,N, ,N,"2,22,05,63,17,610",,,Finance,Finance: Consumer Services
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),Q,Q,N,"2,08,76,61,60,712",,,Technology,Electronic Components
ANET,ANET,"Arista Networks, Inc. Common Stock",N, ,N,"2,05,55,22,31,281",,,Telecommunications,Computer Communications Equipment
TMUS,TMUS,"T-Mobile US, Inc. - Common Stock",Q,Q,N,"2,04,64,49,11,985",,,Telecommunications,Telecommunications Equipment
ADI,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,"2,03,50,00,94,442",,,Technology,Semiconductors
MCD,MCD,McDonald's Corporation Common Stock,N, ,N,"2,02,35,91,73,702",,,Consumer Discretionary,Restaurants
SAP,SAP,SAP  SE ADS,N, ,N,"2,01,69,58,24,810",,,Technology,Computer Software: Prepackaged Software
VZ,VZ,Verizon Communications Inc. Common Stock,N, ,N,"2,00,88,61,39,160",,,Telecommunications,Telecommunications Equipment
PEP,PEP,"PepsiCo, Inc. - Common Stock",Q,Q,N,"1,97,18,36,64,805",,,Consumer Staples,Beverages (Production/Distribution)
NVO,NVO,Novo Nordisk A/S Common Stock,N, ,N,"1,95,92,42,00,000",,,Health Care,Biotechnology: Pharmaceutical Preparations
WDC,WDC,Western Digital Corporation - Common Stock,Q,Q,N,"1,94,03,01,88,593",,,Technology,Electronic Components
TD,TD,Toronto Dominion Bank (The) Common Stock,N, ,N,"1,93,87,84,38,600",,,Finance,Commercial Banks
TTE,TTE,TotalEnergies SE Ordinary Shares,N, ,N,"1,92,04,74,75,988",,,Energy,Oil & Gas Production
AMGN,AMGN,Amgen Inc. - Common Stock,Q,Q,N,"1,91,70,43,78,925",,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SAN,SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",N, ,N,"1,89,43,64,05,621",,,Finance,Commercial Banks
APH,APH,Amphenol Corporation Common Stock,N, ,N,"1,89,21,00,57,641",,,Technology,Electrical Products
TJX,TJX,"TJX Companies, Inc. (The) Common Stock",N, ,N,"1,86,04,32,75,751",,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
NEE,NEE,"NextEra Energy, Inc. Common Stock",N, ,N,"1,79,31,85,11,801",,,Technology,EDP Services
TMO,TMO,Thermo Fisher Scientific Inc Common Stock,N, ,N,"1,74,41,68,18,383",,,Industrials,Industrial Machinery/Components
CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Q,Q,N,"1,73,81,68,59,096",,,Technology,Computer Software: Prepackaged Software
DIS,DIS,Walt Disney Company (The) Common Stock,N, ,N,"1,73,72,06,02,857",,,Consumer Discretionary,Services-Misc. Amusement & Recreation
BA,BA,Boeing Company (The) Common Stock,N, ,N,"1,72,67,76,25,606",,,Industrials,Aerospace
APP,APP,Applovin Corporation - Class A Common Stock,Q,Q,N,"1,66,88,49,13,800",,,Technology,Computer Software: Programming Data Processing
T,T,AT&T Inc.,N, ,N,"1,63,84,18,29,729",,,Telecommunications,Telecommunications Equipment
UNP,UNP,Union Pacific Corporation Common Stock,N, ,N,"1,61,90,55,93,185",,,Industrials,Railroads
BLK,BLK,"BlackRock, Inc. Common Stock",N, ,N,"1,60,20,14,76,648",,,Finance,Investment Bankers/Brokers/Service
SCHW,SCHW,Charles Schwab Corporation (The) Common Stock,N, ,N,"1,58,43,52,44,688",,,Finance,Investment Bankers/Brokers/Service
SMFG,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),N, ,N,"1,57,96,74,48,617",,,Finance,Commercial Banks
