Ticker,Company-Name,Region,Sector,Industry
,"Solaris Energy Infrastructure, Inc.",US,Energy,Oil & Gas Equipment & Services
,Centrus Energy Corp.,US,Energy,Uranium
,"NCS Multistage Holdings, Inc.",US,Energy,Oil & Gas Equipment & Services
,"Forum Energy Technologies, Inc.",US,Energy,Oil & Gas Equipment & Services
,Weatherford International plc,US,Energy,Oil & Gas Equipment & Services
,"Flotek Industries, Inc.",US,Energy,Oil & Gas Equipment & Services
,National Energy Services Reunited Corp.,US,Energy,Oil & Gas Equipment & Services
,HMH Holding Inc. Class A Common Stock,US,Energy,Oil & Gas Equipment & Services
,Summit Midstream Corporation,US,Energy,Oil & Gas Midstream
,"Oceaneering International, Inc.",US,Energy,Oil & Gas Equipment & Services
,Energy Fuels Inc.,US,Energy,Uranium
,Tidewater Inc.,US,Energy,Oil & Gas Equipment & Services
,Noble Corporation plc,US,Energy,Oil & Gas Drilling
,Teekay Tankers Ltd.,US,Energy,Oil & Gas Midstream
,Transportadora de Gas del Sur S.A.,US,Energy,Oil & Gas Integrated
,Enerflex Ltd.,US,Energy,Oil & Gas Equipment & Services
,GeoPark Limited,US,Energy,Oil & Gas E&P
,Cameco Corporation,US,Energy,Uranium
,Crescent Energy Company,US,Energy,Oil & Gas E&P
,Liberty Energy Inc.,US,Energy,Oil & Gas Equipment & Services
,Valaris Limited,US,Energy,Oil & Gas Drilling
,"Ranger Energy Services, Inc.",US,Energy,Oil & Gas Equipment & Services
,"Patterson-UTI Energy, Inc.",US,Energy,Oil & Gas Drilling
,"Kodiak Gas Services, Inc.",US,Energy,Oil & Gas Equipment & Services
,Seadrill Limited,US,Energy,Oil & Gas Drilling
,"Natural Gas Services Group, Inc.",US,Energy,Oil & Gas Equipment & Services
,Frontline plc,US,Energy,Oil & Gas Midstream
,Talos Energy Inc.,US,Energy,Oil & Gas E&P
,"Archrock, Inc.",US,Energy,Oil & Gas Equipment & Services
,Chord Energy Corporation,US,Energy,Oil & Gas E&P
,"Northern Oil and Gas, Inc.",US,Energy,Oil & Gas E&P
,Teekay Corporation Ltd.,US,Energy,Oil & Gas Midstream
,TotalEnergies SE,US,Energy,Oil & Gas Integrated
,EagleRock Land LLC,US,Energy,Oil & Gas Equipment & Services
,Atlas Energy Solutions Inc.,US,Energy,Oil & Gas Equipment & Services
,TechnipFMC plc,US,Energy,Oil & Gas Equipment & Services
,Texas Pacific Land Corporation,US,Energy,Oil & Gas E&P
,SM Energy Company,US,Energy,Oil & Gas E&P
,Cmb.Tech NV,US,Energy,Oil & Gas Midstream
