Ticker,Company-Name,Region,Sector,Industry
SEI,"Solaris Energy Infrastructure, Inc.",US,Energy,Oil & Gas Equipment & Services
LEU,Centrus Energy Corp.,US,Energy,Uranium
NCSM,"NCS Multistage Holdings, Inc.",US,Energy,Oil & Gas Equipment & Services
FET,"Forum Energy Technologies, Inc.",US,Energy,Oil & Gas Equipment & Services
WFRD,Weatherford International plc,US,Energy,Oil & Gas Equipment & Services
FTK,"Flotek Industries, Inc.",US,Energy,Oil & Gas Equipment & Services
NESR,National Energy Services Reunited Corp.,US,Energy,Oil & Gas Equipment & Services
HMH,HMH Holding Inc. Class A Common Stock,US,Energy,Oil & Gas Equipment & Services
SMC,Summit Midstream Corporation,US,Energy,Oil & Gas Midstream
OII,"Oceaneering International, Inc.",US,Energy,Oil & Gas Equipment & Services
UUUU,Energy Fuels Inc.,US,Energy,Uranium
TDW,Tidewater Inc.,US,Energy,Oil & Gas Equipment & Services
NE,Noble Corporation plc,US,Energy,Oil & Gas Drilling
TNK,Teekay Tankers Ltd.,US,Energy,Oil & Gas Midstream
TGS,Transportadora de Gas del Sur S.A.,US,Energy,Oil & Gas Integrated
EFXT,Enerflex Ltd.,US,Energy,Oil & Gas Equipment & Services
GPRK,GeoPark Limited,US,Energy,Oil & Gas E&P
CCJ,Cameco Corporation,US,Energy,Uranium
CRGY,Crescent Energy Company,US,Energy,Oil & Gas E&P
LBRT,Liberty Energy Inc.,US,Energy,Oil & Gas Equipment & Services
VAL,Valaris Limited,US,Energy,Oil & Gas Drilling
RNGR,"Ranger Energy Services, Inc.",US,Energy,Oil & Gas Equipment & Services
PTEN,"Patterson-UTI Energy, Inc.",US,Energy,Oil & Gas Drilling
KGS,"Kodiak Gas Services, Inc.",US,Energy,Oil & Gas Equipment & Services
SDRL,Seadrill Limited,US,Energy,Oil & Gas Drilling
NGS,"Natural Gas Services Group, Inc.",US,Energy,Oil & Gas Equipment & Services
FRO,Frontline plc,US,Energy,Oil & Gas Midstream
TALO,Talos Energy Inc.,US,Energy,Oil & Gas E&P
AROC,"Archrock, Inc.",US,Energy,Oil & Gas Equipment & Services
CHRD,Chord Energy Corporation,US,Energy,Oil & Gas E&P
NOG,"Northern Oil and Gas, Inc.",US,Energy,Oil & Gas E&P
TK,Teekay Corporation Ltd.,US,Energy,Oil & Gas Midstream
TTE,TotalEnergies SE,US,Energy,Oil & Gas Integrated
EROK,EagleRock Land LLC,US,Energy,Oil & Gas Equipment & Services
AESI,Atlas Energy Solutions Inc.,US,Energy,Oil & Gas Equipment & Services
FTI,TechnipFMC plc,US,Energy,Oil & Gas Equipment & Services
TPL,Texas Pacific Land Corporation,US,Energy,Oil & Gas E&P
SM,SM Energy Company,US,Energy,Oil & Gas E&P
CMBT,Cmb.Tech NV,US,Energy,Oil & Gas Midstream
NOA,North American Construction Group Ltd.,US,Energy,Oil & Gas Equipment & Services
PUMP,ProPetro Holding Corp.,US,Energy,Oil & Gas Equipment & Services
VET,Vermilion Energy Inc.,US,Energy,Oil & Gas E&P
INVX,"Innovex International, Inc.",US,Energy,Oil & Gas Equipment & Services
LPG,Dorian LPG Ltd.,US,Energy,Oil & Gas Midstream
DHT,"DHT Holdings, Inc.",US,Energy,Oil & Gas Midstream
