Company Name,Company Ticker,AIPO (33.0026),BOTZ (40.1),CHPX (98.8),CNXT (57.77),DIPR (33.6589),EWT (103.08772),EWY (199.30327),FLKR (64.14064),FTXL (258.84),HYDR (72.48),ICLN (23.10251),MARS (44.3629),MEME (Error),MKOR (65.099),NASA (41.5778),PPA (174.5),PSI (160.01),SHLD (65.48),TAN (70.51)
NVIDIA Corp,NVDA,3.54%,8.21%,7.28%,,,,,,6.53%,,,,,,,,3.91%,,
SK Hynix Inc,000660.KS,,,6.63%,,,,22.69%,23.23%,,,,,,5.01%,,,,,
Broadcom Inc,AVGO,4.03%,,8.10%,,,,,,7.57%,,,,,,,,4.85%,,
Bloom Energy Corp Class A,BE,4.95%,,,,,,,,,18.71%,13.73%,,,,,,,,
Advanced Micro Devices Inc,AMD,,,4.57%,,,,,,5.13%,,,,,,,,6.27%,,
KB Financial Group Inc,105560.KS,,,,,,,1.99%,2.14%,,,,,,3.04%,,,,,
Micron Technology Inc,MU,,,6.73%,,,,,,7.27%,,,,,,,,4.68%,,
Hanwha Aerospace Co Ltd,012450.KS,,,,,,,1.64%,1.79%,,,,,,,,,,5.36%,
Samsung Electronics Co Ltd,005930.KS,,,,,,,22.34%,17.62%,,,,,,18.55%,,,,,
Samsung Electro-Mechanics Co Ltd,009150.KS,,,,,,,1.79%,1.72%,,,,,,4.85%,,,,,
SK Square,402340.KS,,,,,,,2.78%,2.83%,,,,,,5.52%,,,,,
General Dynamics Corp,GD,,,,,,,,,,,,,,,,4.52%,,7.60%,
Lockheed Martin Corp,LMT,,,,,,,,,,,,,,,,6.39%,,8.20%,
Plug Power Inc,PLUG,,,,,,,,,,10.38%,3.28%,,,,,,,,
RTX Corp,RTX,,,,,,,,,,,,,,,,7.13%,,7.58%,
Planet Labs PBC Class A,PL,,,,,,,,,,,,5.72%,,,6.64%,,,,
Nextpower Inc Class A,NXT,,,,,,,,,,,7.28%,,,,,,,,9.49%
Hyundai Motor Co,005380.KS,,,,,,,2.40%,2.68%,,,,,,,,,,,
Intuitive Machines Inc Ordinary Shares - Class A,LUNR,,,,,,,,,,,,4.22%,,,5.20%,,,,
L3Harris Technologies Inc,LHX,,,,,,,,,,,,,,,,3.76%,,4.76%,
AST SpaceMobile Inc Ordinary Shares - Class A,ASTS,,,,,,,,,,,,8.05%,,,5.00%,,,,
Enphase Energy Inc,ENPH,,,,,,,,,,,3.24%,,,,,,,,5.36%
Firefly Aerospace Inc,FLY,,,,,,,,,,,,3.44%,,,5.06%,,,,
Doosan Enerbility Co Ltd,034020.KS,,,,,,,1.95%,2.10%,,,,,,,,,,,
First Solar Inc,FSLR,,,,,,,,,,,7.15%,,,,,,,,9.81%
Intel Corp,INTC,,,8.19%,,,,,,12.01%,,,,,,,,,,
Texas Instruments Inc,TXN,,,,,,,,,3.84%,,,,,,,,4.98%,,
Shinhan Financial Group Co Ltd,055550.KS,,,,,,,1.48%,1.59%,,,,,,,,,,,
Northrop Grumman Corp,NOC,,,,,,,,,,,,,,,,4.45%,,4.34%,
Shenzhen Inovance Technology Co Ltd Class A,300124.SZ,,4.16%,,2.21%,,,,,,,,,,,,,,,
Samsung SDI Co Ltd,006400.KS,,,,,,,1.54%,,,,,,,2.67%,,,,,
Samsung Electronics Co Ltd Participating Preferred,005935,,,,,,,,2.15%,,,,,,4.77%,,,,,
Rocket Lab Corp,RKLB,,,,,,,,,,,,12.66%,,,8.12%,,,,
Eaton Corp PLC,ETN,8.04%,,,,,,,,,,,,,,,,,,
Constellation Energy Corp,CEG,3.51%,,,,,,,,,,,,,,,,,,
Chroma Ate Inc,2360.TW,,,,,,1.50%,,,,,,,,,,,,,
China Yangtze Power Co Ltd Class A,600900.SS,,,,,,,,,,,5.89%,,,,,,,,
Chaozhou Three-Circle (Group) Co Ltd Class A,300408.SZ,,,,1.69%,,,,,,,,,,,,,,,
Ceres Power Holdings PLC,CWR.L,,,,,,,,,,5.08%,,,,,,,,,
Delta Electronics Inc,2308.TW,,,,,,5.90%,,,,,,,,,,,,,
Daifuku Co Ltd,6383.T,,3.48%,,,,,,,,,,,,,,,,,
Contemporary Amperex Technology Co Ltd Class A,300750.SZ,,,,18.91%,,,,,,,,,,,,,,,
Accton Technology Corp,2345.TW,,,,,,2.43%,,,,,,,,,,,,,
Alphabet Inc Class A,GOOGL,,2.41%,,,,,,,,,,,,,,,,,
Applied Materials Inc,AMAT,,,,,,,,,,,,,,,,,3.95%,,
BAE Systems PLC,BA.L,,,,,,,,,,,,,,,,,,4.95%,
Ballard Power Systems Inc,BLDP.TO,,,,,,,,,,5.99%,,,,,,,,,
BlackSky Technology Inc Class A,BKSY,,,,,,,,,,,,,,,3.97%,,,,
Arista Networks Inc,ANET,,,4.16%,,,,,,,,,,,,,,,,
Boeing Co,BA,,,,,,,,,,,,,,,,9.11%,,,
Cameco Corp,CCO.TO,4.33%,,,,,,,,,,,,,,,,,,
Asia Vital Components Co Ltd,3017.TW,,,,,,1.95%,,,,,,,,,,,,,
5N Plus Inc,VNP.TO,,,,,,,,,,,,,,,3.98%,,,,
ASML Holding NV ADR,ASML,,,9.36%,,,,,,,,,,,,,,,,
ASE Technology Holding Co Ltd,3711.TW,,,,,,2.65%,,,,,,,,,,,,,
ABB Ltd,ABBN.SW,,8.88%,,,,,,,,,,,,,,,,,
ARM Holdings PLC ADR,ARM,,,4.58%,,,,,,,,,,,,,,,,
Howmet Aerospace Inc,HWM,,,,,,,,,,,,,,,,4.18%,,,
Horizon Robotics Class B,9660.HK,,2.45%,,,,,,,,,,,,,,,,,
Honeywell International Inc,HON,,,,,,,,,,,,,,,,4.38%,,,
Hon Hai Precision Industry Co Ltd,2317.TW,,,,,,3.63%,,,,,,,,,,,,,
Hana Financial Group Inc,086790.KS,,,,,,,,,,,,,,3.11%,,,,,
HD Hyundai Electric,267260.KS,,,,,,,,,,,,,,3.01%,,,,,
HA Sustainable Infrastructure Capital Inc,HASI,,,,,,,,,,,,,,,,,,,4.50%
Globalstar Inc,GSAT,,,,,,,,,,,,5.44%,,,,,,,
FuelCell Energy Inc,FCEL,,,,,,,,,,5.22%,,,,,,,,,
GE Vernova Inc,GEV,8.41%,,,,,,,,,,,,,,,,,,
GE Aerospace,GE,,,,,,,,,,,,,,,,7.85%,,,
GCL Technology Holdings Ltd,3800.HK,,,,,,,,,,,,,,,,,,,4.15%
Eoptolink Technology Inc Ltd Class A,300502.SZ,,,,7.91%,,,,,,,,,,,,,,,
Equatorial SA,EQTL3.SA,,,,,,,,,,,2.87%,,,,,,,,
Fanuc Corp,6954.T,,8.34%,,,,,,,,,,,,,,,,,
Filtronic PLC,FTC.L,,,,,,,,,,,,,,,5.40%,,,,
Doosan Fuel Cell Ordinary Shares,336260.KS,,,,,,,,,,13.42%,,,,,,,,,
East Money Information Co Ltd Class A,300059.SZ,,,,4.33%,,,,,,,,,,,,,,,
EDP-Energias De Portugal SA,EDP.LS,,,,,,,,,,,2.33%,,,,,,,,
Doral Group Renewable Eneryy Resources Ltd Ordinary Shares,DORL.TA,,,,,,,,,,,,,,,,,,,4.37%
Enlight Renewable Energy Ltd,ENLT.TA,,,,,,,,,,,,,,,,,,,7.94%
Elite Material Co Ltd,2383.TW,,,,,,2.87%,,,,,,,,,,,,,
EchoStar Corp Class A,SATS,,,,,,,,,,,,9.73%,,,,,,,
Lam Research Corp,LRCX,,,,,,,,,,,,,,,,,3.99%,,
MediaTek Inc,2454.TW,,,,,,5.38%,,,,,,,,,,,,,
MaxLinear Inc,MXL,,,,,,,,,,,,,,,,,8.00%,,
MasTec Inc,MTZ,2.33%,,,,,,,,,,,,,,,,,,
Marvell Technology Inc,MRVL,,,,,,,,,5.86%,,,,,,,,,,
Leonardo SpA Az nom Post raggruppamento,LDO.MI,,,,,,,,,,,,,,,,,,4.24%,
Keyence Corp,6861.T,,8.82%,,,,,,,,,,,,,,,,,
ITM Power PLC,ITM.L,,,,,,,,,,6.68%,,,,,,,,,
Intuitive Surgical Inc,ISRG,,6.95%,,,,,,,,,,,,,,,,,
Quanta Services Inc,PWR,8.47%,,,,,,,,,,,,,,,,,,
Qualcomm Inc,QCOM,,,,,,,,,7.31%,,,,,,,,,,
Palantir Technologies Inc Ordinary Shares - Class A,PLTR,,,,,,,,,,,,,,,,,,6.25%,
Parker Hannifin Corp,PH,,,,,,,,,,,,,,,,3.74%,,,
PSK Inc,319660.KS,,,,,,,,,,,,,,2.63%,,,,,
NEL ASA,NEL.OL,,,,,,,,,,3.75%,,,,,,,,,
OHB SE,OHB.DE,,,,,,,,,,,,3.79%,,,,,,,
ON Semiconductor Corp,ON,,,,,,,,,4.39%,,,,,,,,,,
NXP Semiconductors NV,NXPI,,,,,,,,,3.75%,,,,,,,,,,
KLA Corp,KLAC,,,,,,,,,,,,,,,,,4.40%,,
Rheinmetall AG,RHM.DE,,,,,,,,,,,,,,,,,,6.05%,
SKY Perfect JSAT Corp,9412.T,,,,,,,,,,,,3.79%,,,,,,,
SMC Corp,6273.T,,4.71%,,,,,,,,,,,,,,,,,
Shenzhen Mindray Bio-Medical Electronics Co Ltd Class A,300760.SZ,,,,1.70%,,,,,,,,,,,,,,,
SolarEdge Technologies Inc,SEDG,,,,,,,,,,,,,,,,,,,4.50%
SFC Energy AG,F3C.DE,,,,,,,,,,4.03%,,,,,,,,,
Solaria Energia y Medio Ambiente SA,SLR.MC,,,,,,,,,,,,,,,,,,,4.06%
Sungrow Power Supply Co Ltd Class A,300274.SZ,,,,3.38%,,,,,,,,,,,,,,,
Suzhou TFC Optical Communications Co Ltd Class A,300394.SZ,,,,2.28%,,,,,,,,,,,,,,,
Sunrun Inc,RUN,,,,,,,,,,,,,,,,,,,4.67%
Suzlon Energy Ltd,SUZLON.BO,,,,,,,,,,,2.36%,,,,,,,,
Taiwan Semiconductor Manufacturing Co Ltd,2330.TW,,,,,,20.64%,,,,,,,,,,,,,
Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,,,9.43%,,,,,,,,,,,,,,,,
Tower Semiconductor Ltd,TSEM.TA,,,,,,,,,,,,,,,,,3.62%,,
Unimicron Technology Corp,3037.TW,,,,,,2.69%,,,,,,,,,,,,,
