,,,,,$33.0000,$40.1000,$98.8000,$57.7700,$33.6600,$103.0900,$199.3000,$64.1400,$258.8400,$72.4800,$23.1000,$44.3600,Error,$65.1000,$41.5800,$174.5000,$160.0100,$65.4800,$70.5100
Company Name,Stock Ticker,Exchange,Market Cap,Price,AIPO,BOTZ,CHPX,CNXT,DIPR,EWT,EWY,FLKR,FTXL,HYDR,ICLN,MARS,MEME,MKOR,NASA,PPA,PSI,SHLD,TAN
NVIDIA Corp,NVDA,United States (NMS),$5.17T,$213.39,3.54%,8.21%,7.28%,,,,,,6.53%,,,,,,,,3.91%,,
SK Hynix Inc,000660.KS,South Korea (KSC),₩1624.86T,₩2289000.00,,,6.63%,,,,22.69%,23.23%,,,,,,5.01%,,,,,
Broadcom Inc,AVGO,United States (NMS),$2.02T,$427.24,4.03%,,8.10%,,,,,,7.57%,,,,,,,,4.85%,,
Bloom Energy Corp Class A,BE,United States (NYQ),$86.47B,$304.06,4.95%,,,,,,,,,18.71%,13.73%,,,,,,,,
Advanced Micro Devices Inc,AMD,United States (NMS),$848.28B,$520.23,,,4.57%,,,,,,5.13%,,,,,,,,6.27%,,
KB Financial Group Inc,105560.KS,South Korea (KSC),₩53.10T,₩149700.00,,,,,,,1.99%,2.14%,,,,,,3.04%,,,,,
Micron Technology Inc,MU,United States (NMS),$1.06T,$939.20,,,6.73%,,,,,,7.27%,,,,,,,,4.68%,,
Hanwha Aerospace Co Ltd,012450.KS,South Korea (KSC),₩61.74T,₩1200000.00,,,,,,,1.64%,1.79%,,,,,,,,,,5.36%,
Samsung Electronics Co Ltd,005930.KS,South Korea (KSC),₩1966.69T,₩299500.00,,,,,,,22.34%,17.62%,,,,,,18.55%,,,,,
Samsung Electro-Mechanics Co Ltd,009150.KS,South Korea (KSC),₩139.69T,₩1849000.00,,,,,,,1.79%,1.72%,,,,,,4.85%,,,,,
SK Square,402340.KS,South Korea (KSC),₩163.05T,₩1237000.00,,,,,,,2.78%,2.83%,,,,,,5.52%,,,,,
General Dynamics Corp,GD,United States (NYQ),$94.50B,$349.44,,,,,,,,,,,,,,,,4.52%,,7.60%,
Lockheed Martin Corp,LMT,United States (NYQ),$123.20B,$534.35,,,,,,,,,,,,,,,,6.39%,,8.20%,
Plug Power Inc,PLUG,United States (NCM),$5.99B,$4.29,,,,,,,,,,10.38%,3.28%,,,,,,,,
RTX Corp,RTX,United States (NYQ),$241.15B,$179.07,,,,,,,,,,,,,,,,7.13%,,7.58%,
Planet Labs PBC Class A,PL,United States (NYQ),$17.77B,$49.85,,,,,,,,,,,,5.72%,,,6.64%,,,,
Nextpower Inc Class A,NXT,United States (NMS),$20.84B,$136.94,,,,,,,,,,,7.28%,,,,,,,,9.49%
Hyundai Motor Co,005380.KS,South Korea (KSC),₩177.26T,₩677000.00,,,,,,,2.40%,2.68%,,,,,,,,,,,
Intuitive Machines Inc Ordinary Shares - Class A,LUNR,United States (NGM),$7.05B,$43.94,,,,,,,,,,,,4.22%,,,5.20%,,,,
L3Harris Technologies Inc,LHX,United States (NYQ),$58.27B,$312.78,,,,,,,,,,,,,,,,3.76%,,4.76%,
