,,,,,$32.7000,$26.8600,$32.5600,Error,$55.7800,$115.8700,$52.3600,$31.4400,$27.2600
Company Name,Stock Ticker,Exchange,Market Cap,Price,ARKX,DIPR,MARS,NASA,ORBX,ROKT,UFO,WAR,WARP
Rocket Lab Corp,RKLB,United States (NMS),$68.27B,$109.26,8.74%,10.09%,14.18%,,22.66%,5.28%,6.91%,,9.36%
Intuitive Machines Inc Ordinary Shares - Class A,LUNR,United States (NGM),$4.73B,$29.49,,4.32%,4.94%,,6.17%,7.83%,4.73%,,6.28%
Planet Labs PBC Class A,PL,United States (NYQ),$11.66B,$32.70,,4.92%,5.77%,,11.97%,8.35%,6.75%,,9.44%
Iridium Communications Inc,IRDM,United States (NMS),$5.04B,$47.62,4.05%,,,,5.69%,5.80%,4.72%,,5.41%
AST SpaceMobile Inc Ordinary Shares - Class A,ASTS,United States (NMS),$35.69B,$91.98,,5.45%,8.80%,,7.91%,,4.29%,,6.05%
Viasat Inc,VSAT,United States (NMS),$8.91B,$65.21,,4.12%,4.30%,,4.36%,,5.71%,,7.07%
Redwire Corp,RDW,United States (NYQ),$3.16B,$15.87,,5.16%,4.08%,,4.09%,6.94%,,,5.86%
EchoStar Corp Class A,SATS,United States (NMS),$34.83B,$120.17,,4.04%,7.22%,,,,,,5.41%
MDA Space Ltd,MDA.TO,Canada (TOR),C$7.71B,C$55.60,,3.74%,,,3.88%,,4.75%,,
Globalstar Inc,GSAT,United States (NMS),$10.43B,$80.97,,,3.91%,,,,4.28%,,
Firefly Aerospace Inc,FLY,United States (NGM),$6.15B,$37.44,,,,,5.86%,,,,5.96%
AeroVironment Inc,AVAV,United States (NMS),$8.97B,$177.25,4.92%,,,,,,,4.12%,
Advanced Micro Devices Inc,AMD,United States (NMS),$769.53B,$472.06,7.87%,,,,,,,7.32%,
SES SA DR,SESGL,Unknown,N/A,N/A,,,,,3.67%,,4.22%,,
Amazon.com Inc,AMZN,United States (NMS),$2.55T,$237.22,3.99%,,,,,,,,
Astera Labs Inc,ALAB,United States (NMS),$60.27B,$351.62,,,,,,,,9.90%,
Archer Aviation Inc Class A,ACHR,United States (NYQ),$3.84B,$5.03,4.08%,,,,,,,,
Amprius Technologies Inc,AMPX,United States (NYQ),$2.34B,$16.55,,,,,,,,6.24%,
Droneshield Ltd,DRO.AX,Australia (ASX),A$2.58B,A$2.79,,,,,,,,4.96%,
ESCO Technologies Inc,ESE,United States (NYQ),$8.06B,$311.19,,,,,,3.04%,,,
Deere & Co,DE,United States (NYQ),$152.75B,$565.88,4.74%,,,,,,,,
Ducommun Inc,DCO,United States (NYQ),$2.43B,$161.02,,,,,,3.14%,,,
Astroscale Holdings Inc,186A.T,Japan (JPX),¥250.49B,¥1810.00,,,,,,,,,5.65%
Mercury Systems Inc,MRCY,United States (NMS),$6.86B,$114.26,,4.03%,,,,,,,
Marvell Technology Inc,MRVL,United States (NMS),$231.03B,$264.10,,,,,,,,7.31%,
Lockheed Martin Corp,LMT,United States (NYQ),$125.34B,$543.62,,8.93%,,,,,,,
L3Harris Technologies Inc,LHX,United States (NYQ),$57.69B,$309.69,7.11%,,,,,,,,
Kratos Defense & Security Solutions Inc,KTOS,United States (NMS),$10.43B,$55.61,6.13%,,,,,,,,
NVIDIA Corp,NVDA,United States (NMS),$4.90T,$202.38,,,,,,,,3.14%,
Micron Technology Inc,MU,United States (NMS),$1.03T,$913.49,,,,,,,,10.85%,
Mildef Group AB Ordinary Shares,MILDEF.ST,Sweden (STO),SEK 9.36B,SEK 198.75,,,,,,,,6.18%,
OHB SE,OHB.DE,Germany (GER),€7.64B,€399.00,,,4.20%,,,,,,
Palantir Technologies Inc Ordinary Shares - Class A,PLTR,United States (NMS),$310.64B,$129.58,,,,,,,,3.33%,
Moog Inc Class A,MOG-A,United States (NYQ),$12.50B,$394.67,,,,,,3.19%,,,
SKY Perfect JSAT Corp,9412.T,Japan (JPX),¥918.34B,¥3240.00,,,3.85%,,,,,,
Sirius XM Holdings Inc,SIRI,United States (NMS),$9.05B,$26.88,,,,,,,4.37%,,
TTM Technologies Inc,TTMI,United States (NMS),$18.60B,$179.09,,,,,,3.14%,,,
Teradyne Inc,TER,United States (NMS),$57.34B,$366.26,6.19%,,,,,,,,
Voyager Technologies Inc Class A,VOYG,United States (NYQ),$2.70B,$45.63,,,,,,3.82%,,,
