,,,,,$31.3300
Company Name,Stock Ticker,Exchange,Market Cap,Price,NASA
5N Plus Inc,VNP.TO,Canada (TOR),C$3.54B,C$39.39,4.18%
AST SpaceMobile Inc Ordinary Shares - Class A,ASTS,United States (NMS),$35.48B,$91.42,5.99%
BlackSky Technology Inc Class A,BKSY,United States (NYQ),$1.24B,$33.52,4.36%
Filtronic PLC,FTC.L,United Kingdom (LSE),£714.81M,£325.00,4.58%
Firefly Aerospace Inc,FLY,United States (NGM),$6.09B,$37.10,6.39%
Intuitive Machines Inc Ordinary Shares - Class A,LUNR,United States (NGM),$4.72B,$29.42,6.31%
Planet Labs PBC Class A,PL,United States (NYQ),$11.48B,$32.20,6.91%
Rocket Lab Corp,RKLB,United States (NMS),$68.00B,$108.83,11.89%
Viasat Inc,VSAT,United States (NMS),$8.87B,$64.97,4.12%
