,,,,,,$95.1700,$100.6100,$270.0000,$167.8300,$16.0700,$114.7800,$619.4700,$62.6400,$105.2800,$595.9300,$605.6300
Company Name,Stock Ticker,Exchange,Market Cap,Price,Count,CHPS,CHPX,FTXL,PSI,SEMY,SHOC,SMH,SMHX,SOXQ,SOXX,XSD
,,,,,,10,10,10,10,0,10,10,10,10,10,10
Advanced Micro Devices Inc,AMD,United States (NMS),$834.17B,$511.57,10,6.45%,5.22%,6.14%,7.86%,,8.04%,7.61%,7.75%,6.49%,9.49%,3.74%
Broadcom Inc,AVGO,United States (NMS),$1.82T,$382.07,9,3.72%,6.80%,6.67%,4.47%,,13.05%,7.20%,12.07%,8.79%,6.90%,
Micron Technology Inc,MU,United States (NMS),$1.11T,$981.61,9,6.82%,9.92%,11.23%,7.56%,,7.19%,7.78%,,11.84%,11.62%,3.45%
Intel Corp,INTC,United States (NMS),$626.09B,$124.57,8,5.49%,7.81%,11.99%,,,7.85%,7.22%,,6.32%,6.20%,3.56%
NVIDIA Corp,NVDA,United States (NMS),$4.97T,$205.19,8,,6.05%,5.68%,3.56%,,17.55%,15.23%,13.96%,8.99%,5.88%,
Texas Instruments Inc,TXN,United States (NMS),$274.05B,$301.12,7,4.21%,,3.44%,4.67%,,4.27%,4.65%,,3.62%,3.56%,
Qualcomm Inc,QCOM,United States (NMS),$223.15B,$211.72,6,4.97%,,8.41%,,,,5.10%,5.76%,4.44%,4.35%,
Marvell Technology Inc,MRVL,United States (NMS),$244.68B,$279.70,5,,,5.98%,,,,,6.27%,6.31%,6.19%,3.37%
Lam Research Corp,LRCX,United States (NMS),$458.72B,$366.81,5,3.64%,,,4.24%,,4.13%,4.39%,,3.42%,,
KLA Corp,KLAC,United States (NMS),$332.50B,$254.54,4,,,,4.17%,,4.04%,3.96%,,3.16%,,
Applied Materials Inc,AMAT,United States (NMS),$450.37B,$567.25,3,,,,3.88%,,3.80%,,,,4.45%,
ASML Holding NV ADR,ASML,Netherlands (NMS),$718.25B,$1863.55,2,,8.24%,,,,6.44%,,,,,
Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,Taiwan (NYQ),$2.20T,$423.93,2,,7.84%,,,,,9.38%,,,,
SK Hynix Inc,000660.KS,South Korea (KSC),₩1526.19T,₩2150000.00,2,6.80%,9.30%,,,,,,,,,
Astera Labs Inc,ALAB,United States (NMS),$62.93B,$367.15,2,,,,,,,,7.61%,,,4.09%
ARM Holdings PLC ADR,ARM,United Kingdom (NMS),$406.74B,$380.81,2,,6.08%,,,,,,8.14%,,,
ON Semiconductor Corp,ON,United States (NMS),$45.41B,$116.79,2,,,4.32%,,,,,,,,3.02%
NXP Semiconductors NV,NXPI,Netherlands (NMS),$76.97B,$304.86,2,,,3.37%,,,,,,,3.49%,
MediaTek Inc,2454.TW,Taiwan (TAI),NT$6.67T,NT$4180.00,2,3.68%,4.14%,,,,,,,,,
MaxLinear Inc,MXL,United States (NMS),$7.56B,$84.46,2,,,,9.04%,,,,,,,6.24%
Lattice Semiconductor Corp,LSCC,United States (NMS),$19.80B,$144.53,1,,,,,,,,3.92%,,,
Credo Technology Group Holding Ltd,CRDO,Cayman Islands (NMS),$46.26B,$250.81,1,,,,,,,,,,,3.03%
Navitas Semiconductor Corp Class A,NVTS,United States (NGM),$5.62B,$23.39,1,,,,,,,,,,,3.62%
Monolithic Power Systems Inc,MPWR,United States (NMS),$77.49B,$1577.32,1,,,,,,,,4.05%,,,
SiTime Corp Ordinary Shares,SITM,United States (NGM),$19.27B,$729.89,1,,,,,,,,,,,3.01%
Rambus Inc,RMBS,United States (NMS),$15.85B,$146.56,1,,,,,,,,4.09%,,,
Taiwan Semiconductor Manufacturing Co Ltd,2330.TW,Taiwan (TAI),NT$59.90T,NT$2310.00,1,3.62%,,,,,,,,,,
Tower Semiconductor Ltd,TSEM.TA,Israel (TLV),ILA 86.24B,ILA 76440.00,1,,,,3.60%,,,,,,,
