Ticker,Final_Decision,Final_Decision_Rank,Final_Decision_Reason,External_Message,Analyst_Message,EPS_Message,Event_Message,Action_Status,Score,Action_Rank,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Trend_Score,Relative_Strength_Score,Breakout_Score,Freshness_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Weekly_Trend,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Exchange_Profile,Benchmark_Ticker,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_20,Volume_Avg_50,Relative_Volume_20,Avg_Dollar_Volume_50D,Min_Avg_Dollar_Volume_50D,Liquidity_Status,Close_Location_Pct,Extension_Risk,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
MUFG,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 0, Buy 1, Hold 0, Sell 0, StrongSell 1; Mean target 20.12 (-4.9% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 3, down 6; Earnings/event: next 2026-08-04 (28 days)","Ratings: StrongBuy 0, Buy 1, Hold 0, Sell 0, StrongSell 1; Mean target 20.12 (-4.9% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 3, down 6",Earnings/event: next 2026-08-04 (28 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,2+ bearish hourly candles,PRE,21.4,21.17,21.4,,1.0864427155274692,21.170000076293945,30,25,20,12,15,10,15,Uptrend,20.610000610351562,18.149666659037273,8.16464359636948,20.144624940305235,19.437358562718792,18.02845735660716,17.470054285476557,7.477914878991876,US,SPY,21.109843425004637,33.48045734276626,53.51704231222661,10.171288145966685,23.309169196799573,0.02817857423430649,0.026002054751335844,0.024971623355814668,15.310042393898904,5.009921808166529,0.42694569693371154,21.209999084472656,21.209999084472656,21.209999084472656,21.209999084472656,-0.18858561954391284,0.18858561954391254,False,False,False,0.4335711342947824,2.0480450294390553,4090100,3285005.0,3119644.0,1.2450818187491344,60251963.016376495,5000000,OK,84.6156667693707,False,8.0,3.0,5.0,False,2.7171249362366146,0.04675081813931836,2,False
OGN,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 0, Buy 0, Hold 4, Sell 0, StrongSell 1; Mean target 11.25 (-17.0% vs current); Recent changes: 1 upgrades, 1 downgrades; EPS revisions: up 3, down 2; Earnings/event: next 2026-08-04 (28 days)","Ratings: StrongBuy 0, Buy 0, Hold 4, Sell 0, StrongSell 1; Mean target 11.25 (-17.0% vs current); Recent changes: 1 upgrades, 1 downgrades","EPS revisions: up 3, down 2",Earnings/event: next 2026-08-04 (28 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,lower high and lower low,PRE,13.55,13.56,13.55,,-0.07374940492059778,13.5600004196167,30,25,20,12,15,10,15,Uptrend,13.550000190734863,9.653333377838134,21.849623216690063,13.433022072347509,12.591173964247881,10.638476217886863,10.4796915062701,21.146460912712726,US,SPY,113.20754929172816,89.12134275214179,33.59606826842616,10.171288145966685,78.9500546061751,0.018049195893450727,0.017959022928309473,0.013258481361900956,40.44604513989758,0.4444475527162872,0.9679829596937362,13.600000381469727,13.600000381469727,13.600000381469727,13.600000381469727,-0.29411735831660346,0.2941173583166078,True,True,False,0.056714262281145365,0.41824675904212477,4285700,2482820.0,7953040.0,1.7261420481549206,103991297.1668911,5000000,OK,75.00059604701619,False,3.0,0.0,3.0,False,0.07380242613335142,-0.07374631268436405,1,False
LINC,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 1, Buy 4, Hold 0, Sell 0, StrongSell 0; Mean target 57.40 (+6.1% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 2, down 0; Earnings/event: next 2026-08-10 (34 days)","Ratings: StrongBuy 1, Buy 4, Hold 0, Sell 0, StrongSell 0; Mean target 57.40 (+6.1% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 2, down 0",Earnings/event: next 2026-08-10 (34 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,,PRE,54.9172,54.11,54.9172,,1.4917748670178588,54.11000061035156,30,25,20,12,10,7,15,Uptrend,52.33000183105469,36.98933359781901,31.2438649605115,49.371905885344624,46.74513734627213,38.515758888819924,35.63681890161439,27.149425289227057,US,SPY,29.635837169279068,124.05797708101414,138.89625395880108,10.171288145966685,113.88668893504746,0.07202374414370266,0.06365172506549696,0.04656341547829524,25.641422810534586,8.45861148993865,11.72826815895922,54.9900016784668,54.9900016784668,54.9900016784668,54.9900016784668,-1.6002928555280072,1.6002928555280054,False,False,False,2.439999989100865,4.5093327695030165,618400,528420.0,529714.0,1.170281215699633,25230691.11480713,5000000,OK,67.64703407420704,False,13.0,6.0,7.0,False,3.4014880890765653,-0.602352941176465,1,False
PNTG,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 1, Buy 6, Hold 0, Sell 0, StrongSell 0; Mean target 40.83 (+2.3% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 34, down 6; Earnings/event: next 2026-08-05 (29 days)","Ratings: StrongBuy 1, Buy 6, Hold 0, Sell 0, StrongSell 0; Mean target 40.83 (+2.3% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 34, down 6",Earnings/event: next 2026-08-05 (29 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,,PRE,40.78,39.91,40.78,,2.179905176432384,39.90999984741211,30,25,20,12,10,10,15,Uptrend,38.52000045776367,31.719999694824217,9.873107283122984,35.44440465673817,33.93415502034497,31.581774116123608,30.80392389651883,6.929832054320939,US,SPY,34.55832789188074,41.77620031348275,54.09266577308487,10.171288145966685,31.604912167516062,0.05312266836743149,0.04565464644714646,0.043082991458297,28.63933625217163,11.138958554710943,19.348090569404054,40.0,40.0,40.0,40.0,-0.225000381469731,0.2250003814697266,False,False,False,1.520641599382673,3.8101769110411965,493300,337280.0,294022.0,1.462583017077799,10080691.807132721,5000000,OK,95.23808562686193,False,12.0,6.0,6.0,False,3.6085134297247468,0.0736196319018445,1,False
BMO,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 2, Buy 3, Hold 6, Sell 0, StrongSell 3; Mean target 155.44 (-11.7% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 36, down 16; Earnings/event: next 2026-08-25 (49 days)","Ratings: StrongBuy 2, Buy 3, Hold 6, Sell 0, StrongSell 3; Mean target 155.44 (-11.7% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 36, down 16",Earnings/event: next 2026-08-25 (49 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,,PRE,176.1,176.1,,,-3.4659372039058667e-06,176.10000610351562,30,25,20,12,5,10,15,Uptrend,174.1300048828125,146.71466573079428,9.4346566031404,171.31333008371317,163.31149068281223,148.08397628646676,142.8273283948716,10.172916017185551,US,SPY,29.266689882099726,35.68072672235103,57.03585434455718,10.171288145966685,25.509438576384348,0.2343999563895344,0.21927890406757353,0.2027984677684586,10.53414005995772,0.571102207391605,3.0909721068418827,178.6999969482422,178.6999969482422,178.6999969482422,178.6999969482422,-1.4549473358299037,1.4549473358299,True,False,False,2.9607162475585938,1.6812698154128496,1066300,758155.0,833284.0,1.4064406354901042,133999792.34921265,5000000,OK,86.72991951171889,False,2.0,3.0,-1.0,False,1.1313393243335135,0.2917789741888388,0,False
HXL,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 1, Buy 4, Hold 10, Sell 0, StrongSell 1; Mean target 95.21 (-6.0% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 9, down 9; Earnings/event: next 2026-07-29 (22 days)","Ratings: StrongBuy 1, Buy 4, Hold 10, Sell 0, StrongSell 1; Mean target 95.21 (-6.0% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 9, down 9",Earnings/event: next 2026-07-29 (22 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,,PRE,102.05,101.3,102.05,,0.7403720884973541,101.30000305175781,30,25,20,12,5,10,15,Uptrend,99.30999755859375,86.28766632080078,10.04208470235639,96.68256304472386,93.13263788861694,85.4939674213969,82.51297288041803,9.379674045378405,US,SPY,27.88789827371101,37.07713255768168,76.05144497733522,10.171288145966685,26.905844411714995,0.1348365444327926,0.12610966504973686,0.11665471726879036,10.036833103539466,4.952348295626252,3.759096488360658,102.47000122070312,102.47000122070312,102.47000122070312,102.47000122070312,-1.1417957987775673,1.1417957987775695,False,False,False,3.0264293125697543,2.987590544319572,1519300,1012985.0,1039146.0,1.4998247752928227,96841053.59336853,5000000,OK,59.51562574248016,False,5.0,5.0,0.0,False,2.003831982766835,0.2357332285630065,0,False
AXGN,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 2, Buy 7, Hold 0, Sell 0, StrongSell 0; Mean target 50.78 (+10.5% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 7, down 37; Earnings/event: next 2026-08-04 (28 days)","Ratings: StrongBuy 2, Buy 7, Hold 0, Sell 0, StrongSell 0; Mean target 50.78 (+10.5% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 7, down 37",Earnings/event: next 2026-08-04 (28 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,pullback on above-average volume,PRE,45.97,45.97,,,-2.6554341836515505e-06,45.970001220703125,30,25,14,12,15,7,15,Uptrend,45.88999938964844,36.29466654459635,22.688962710138938,44.00678387750952,41.74291433214694,35.45816932176637,32.95817196980225,23.14237380373958,US,SPY,33.478522223436926,40.452190234165066,315.6419482513572,10.171288145966685,30.28090208819838,0.06118890350875768,0.05734846058191373,0.04563841239962598,17.616652456611593,2.3147137958232866,2.5200737383360927,46.95000076293945,46.95000076293945,46.95000076293945,46.95000076293945,-2.0873259346353423,2.0873259346353463,False,False,False,2.6035714830671037,5.663631529108063,1631900,1621085.0,1218402.0,1.0066714576965428,52061838.358192444,5000000,OK,67.86885943024667,False,13.0,5.0,8.0,False,0.1743339117863174,0.42918454935620964,0,False
NTCT,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 0, Buy 2, Hold 1, Sell 0, StrongSell 0; Mean target 41.71 (-0.9% vs current); Recent changes: 0 upgrades, 0 downgrades; EPS revisions: up 10, down 0; Earnings/event: next 2026-08-06 (30 days)","Ratings: StrongBuy 0, Buy 2, Hold 1, Sell 0, StrongSell 0; Mean target 41.71 (-0.9% vs current); Recent changes: 0 upgrades, 0 downgrades","EPS revisions: up 10, down 0",Earnings/event: next 2026-08-06 (30 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,lower high and lower low,PRE,42.11,42.11,42.11,,-1.4494218825156224e-06,42.11000061035156,30,25,8,12,15,10,15,Uptrend,40.93000030517578,32.90199966430664,15.137234501669262,41.213854528961484,39.22116272733269,34.03002497261204,32.433256830971835,16.953057201136467,US,SPY,30.492717734748396,55.61715240737924,68.84522738019552,10.171288145966685,45.44586426141255,0.05605100490926456,0.053249810814988405,0.044694484139463836,20.03624670903996,1.2503016490883923,6.150750073178335,43.79999923706055,43.79999923706055,43.79999923706055,43.79999923706055,-3.858444420425977,3.85844442042598,True,True,False,1.410714830671038,3.35007079131757,766500,721980.0,654358.0,1.0616637579988366,26065130.994026184,5000000,OK,70.3517761330504,False,12.0,4.0,8.0,False,2.8829716500797797,0.2380385622470893,1,False
DCO,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 1, Buy 4, Hold 0, Sell 0, StrongSell 0; Mean target 173.80 (-8.1% vs current); Recent changes: 2 upgrades, 0 downgrades; EPS revisions: up 4, down 19; Earnings/event: next 2026-08-06 (30 days)","Ratings: StrongBuy 1, Buy 4, Hold 0, Sell 0, StrongSell 0; Mean target 173.80 (-8.1% vs current); Recent changes: 2 upgrades, 0 downgrades","EPS revisions: up 4, down 19",Earnings/event: next 2026-08-06 (30 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,last 3H selling,PRE,188.45,189.18,188.45,,-0.38587202877861104,189.17999267578125,30,25,8,12,10,7,15,Uptrend,186.60000610351562,130.8870002746582,19.576278964789196,171.24555933019627,157.4105054126219,133.71137241745691,125.79288383626984,18.536690121053013,US,SPY,48.913721121249544,98.86470948992287,128.34036953527917,10.171288145966685,88.69342134395619,0.2518102242819303,0.2088242492227462,0.17210323872496214,30.980736298246114,6.4842895284307644,15.269314101977649,196.6300048828125,196.6300048828125,196.6300048828125,196.6300048828125,-3.788848101525144,3.78884810152515,True,False,False,7.713576180594308,4.077374182910516,311900,303030.0,254148.0,1.0292710292710292,40037424.85321045,5000000,OK,77.23709014264297,False,13.0,7.0,6.0,False,1.3826294147248674,-1.8489583333333393,1,False
MSM,MOMENTUM_ACTIVE,1,all confirmation gates passed,"Ratings: StrongBuy 0, Buy 2, Hold 6, Sell 1, StrongSell 0; Mean target 125.67 (+3.7% vs current); Recent changes: 1 upgrades, 0 downgrades; EPS revisions: up 6, down 4; Earnings/event: next 2026-10-22 (107 days)","Ratings: StrongBuy 0, Buy 2, Hold 6, Sell 1, StrongSell 0; Mean target 125.67 (+3.7% vs current); Recent changes: 1 upgrades, 0 downgrades","EPS revisions: up 6, down 4",Earnings/event: next 2026-10-22 (107 days),Actionable Momentum Candidate,100,1,Momentum Candidate,Clean,lower high and lower low | pullback on above-average volume,PRE,122.4,121.14,122.4,,1.0401193798084574,121.13999938964844,30,25,8,12,2,10,15,Uptrend,122.77999877929688,97.4,9.27735610145788,117.36102476258277,111.232144882312,100.36005438445473,97.65221900085228,10.227900770870102,US,SPY,34.12311758077913,44.042808070829075,35.18580355377723,10.171288145966685,33.87151992486239,0.16124480175923708,0.14987853503298867,0.13589950364357695,18.62927606737408,2.5046531365959135,2.2192196489834837,127.51000213623047,127.51000213623047,127.51000213623047,127.51000213623047,-4.995688683132782,4.99568868313278,True,True,False,3.9671429225376675,3.2748414582513736,1067000,911990.0,797340.0,1.1699689689579928,89206474.75080872,5000000,OK,53.709204187343786,False,12.0,7.0,5.0,True,-1.3357219465333414,0.3278688524590123,0,False
