Stock_Code,Provider,Source_URL,ETF_Ticker,ETF_Name,ETF_Exchange_Provider,Listing_Exchange_Local,Holding_Weight_Pct_Direct,Top10_Evidence,Top10_Proof_Threshold_Pct,Validation_URL,Validation_HTTP_Status,Validation_Latency_Ms,Validation_HTML_SHA256,Validation_As_Of_Date,Validation_Freshness_Age_Days,Validation_Freshness_Max_Days,Validation_Freshness_Pass,Validation_Top10_Match,Validation_Rank,Validation_Weight_Pct,Validation_Status
AMD,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AMD/etfs/,SMH,VanEck Semiconductor UCITS ETF Accum A USD,LSE,NASDAQ,11.43,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/LSE-SMH/holdings/,200,464.86819999699946,1bba76caa25f6a6c16eb4b344e9d0e4bde53b38790e43f68567bf975c5003cf4,2026-07-10,1,60,True,True,1,11.430209844062071,PASS
AVGO,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AVGO/etfs/,SMH,VanEck Semiconductor UCITS ETF Accum A USD,LSE,NASDAQ,9.96,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/LSE-SMH/holdings/,200,148.11850000114646,1bba76caa25f6a6c16eb4b344e9d0e4bde53b38790e43f68567bf975c5003cf4,2026-07-10,1,60,True,True,3,9.963136964337473,PASS
PANW,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-PANW/etfs/,IGV,iShares Expanded Tech-Software Sector ETF,CBOE,BATS,9.71,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/CBOE-IGV/holdings/,200,652.7873000013642,9d9f64102ae080c73473dda9d1bd96893b25f2c0dc187933a2e66b0512a7b528,2026-07-10,1,60,True,True,1,9.710739340194605,PASS
PANW,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-PANW/etfs/,HACK,BetaShares Global Cybersecurity ETF,ASX,NYSE ARCA,9.65,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/ASX-HACK/holdings/,200,458.51589999801945,a8cb02aa11556bac3445cabf52efbd511695f6c0483d8b784e9e85866889383c,2026-06-30,11,60,True,True,1,9.652617339856182,PASS
ANET,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NYSE-ANET/etfs/,IYZ,iShares U.S. Telecommunications ETF,CBOE,BATS,12.19,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/CBOE-IYZ/holdings/,200,667.870999997831,f2bbcc38a8ce038a3ea2cabffd27aaab014e6e6d4efc202c52722ba06b53ea40,2026-07-10,1,60,True,True,2,12.193210279520144,PASS
MU,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MU/etfs/,VLUE,iShares MSCI USA Value Factor ETF,CBOE,BATS,22.1,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/CBOE-VLUE/holdings/,200,624.4740000111051,769bc0d954ce6dd0b7f6b4069c8d498a071359ed938d91b191b58ed6178db078,2026-07-10,1,60,True,True,1,22.100532234651524,PASS
MU,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MU/etfs/,SPMO,Invesco S&P 500 Momentum ETF,AMEX,NYSE ARCA,10.58,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-SPMO/holdings/,200,923.2850999978837,22dfc970fdece947e2addf0c0782eee44b003c709b54300083eea77d76e97578,2026-07-10,1,60,True,True,1,10.580752606741072,PASS
MU,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MU/etfs/,SMH,VanEck Semiconductor UCITS ETF Accum A USD,LSE,NASDAQ,10.18,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/LSE-SMH/holdings/,200,108.45079999126028,1bba76caa25f6a6c16eb4b344e9d0e4bde53b38790e43f68567bf975c5003cf4,2026-07-10,1,60,True,True,2,10.177418959395796,PASS
CVX,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NYSE-CVX/etfs/,IYE,iShares U.S. Energy ETF,AMEX,NYSE ARCA,15.47,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-IYE/holdings/,200,647.8969000017969,8ec832142c19b0ae7a6d0f8716901a8a88868e5621fc9db990180c8a69c5698d,2026-07-10,1,60,True,True,2,15.466123066726876,PASS
CVX,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NYSE-CVX/etfs/,XLE,State Street Energy Select Sector SPDR ETF,AMEX,NYSE ARCA,14.67,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLE/holdings/,200,449.6917000069516,a47f25a4a08cb5cb23af918baa540374fe09906d806abeab30cab3fc84bcd078,2026-07-09,2,60,True,True,2,14.667772192669108,PASS
