Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
ACOM,ACOM,Harbor Active Commodity ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Active,Base Metals & Commodities,United States,Active; Base Metals & Commodities; Commodity; United States
BCD,BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
BCI,BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
CCOM,CCOM,Simplify Chinese Commodities Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,China,Base Metals & Commodities; China; Commodity; Plain
CERY,CERY,State Street SPDR Bloomberg Enhanced Roll Yield Commodity Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States
CMCI,CMCI,VanEck CMCI Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
CMDT,CMDT,PIMCO Commodity Strategy Active Exchange-Traded Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Active,Base Metals & Commodities,United States,Active; Base Metals & Commodities; Commodity; United States
COM,COM,Direxion Auspice Broad Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
COMD,COMD,Global X Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,Global,Base Metals & Commodities; Commodity; Global; Plain
CPER,CPER,United States Copper Index Fund ETV,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
DBC,DBC,Invesco DB Commodity Index Tracking Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
DCMT,DCMT,DoubleLine Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
EMET,EMET,VanEck Copper and Electrification Metals ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
FTGC,FTGC,First Trust Global Tactical Commodity Strategy Fund,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,Global,Base Metals & Commodities; Commodity; Global; Plain
GCC,GCC,WisdomTree EnhancedContinuous Commodity Index Fund,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
HARD,HARD,Simplify Commodities Strategy No K-1 ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
HGER,HGER,Harbor Commodity All-Weather Strategy ETF,NYSE, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
KCOP,KCOP,Kurv Copper & Mining Enhanced Income ETF,BATS, ,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States
NBCM,NBCM,Neuberger Commodity Strategy ETF,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
PDBA,PDBA,Invesco Agriculture Commodity Strategy No K-1 ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
PDBC,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,NASDAQ,G,Y,N,,,ETF,Commodity,Dividend/Income,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Dividend/Income; United States
PIT,PIT,VanEck Commodity Strategy ETF,BATS, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
SCOP,SCOP,Sprott Physical Copper Trust Units,NYSE ARCA, ,Y,N,,,ETF,Commodity,Plain,Base Metals & Commodities,United States,Base Metals & Commodities; Commodity; Plain; United States
