Ticker,D_Date,D_Final_Decision,D_Final_Decision_Reason,D_Action_Status,D_Score,D_Entry_Timing_Status,D_Classification_Reason,D_Close,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status,D1_Date,D1_Open,D1_Close,D1_Final_Decision,D1_Final_Decision_Reason,D1_Action_Status,D1_Score,D1_1H_Bars,D1_4H_Bars,D1_Intraday_Data_Status,D2_Date,D2_Open,D2_Close,D2_Final_Decision,D2_Final_Decision_Reason,D2_Action_Status,D2_Score,D2_1H_Bars,D2_4H_Bars,D2_Intraday_Data_Status,Continuation_By_D2,Validation_Result,Validation_Note,Status_String_Check,Reason_String_Check,Daily_Replay_Limitation,File,Primary_D1_Open_Confirm,D1_Close_Confirm,Secondary_D2_Confirm,Double_Confirm_D1_D2,Primary_Validation_Result,Secondary_Validation_Result
PL,2026-05-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,5D extension above 12.0% | relative volume below 1.0x,Actionable Momentum Candidate,91,Clean,,39.68999862670898,17,5,OK,2026-05-07,39.52000045776367,35.2400016784668,MOMENTUM_PRESENT_WAIT_CONFIRMATION,close location below 50.0%,Actionable Momentum Candidate,87,17,5,OK,2026-05-08,36.400001525878906,39.040000915527344,MOMENTUM_ACTIVE,all confirmation gates passed,Actionable Momentum Candidate,91,17,5,OK,False,PASS_WAIT,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ICHR,2026-05-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,last 3H selling | 2+ bearish hourly candles | last 1H bearish,Downgraded - Wait,69,Wait - Intraday Selling,last 3H selling | 2+ bearish hourly candles | last 1H bearish,72.51000213623047,17,5,OK,2026-05-07,72.72000122070312,71.2300033569336,MOMENTUM_PRESENT_WAIT_CONFIRMATION,pullback on above-average volume | 2+ bearish hourly candles | last 1H bearish,Downgraded - Wait,69,16,5,OK,2026-05-08,74.66999816894531,74.41999816894531,MOMENTUM_PRESENT_WAIT_CONFIRMATION,last 1H bearish,Downgraded - Wait,69,16,5,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
IPGP,2026-05-06,REJECT,below EMA20 with deep 20D-high pullback | 2+ bearish hourly candles | last 1H bearish,Avoid,48,Wait - Last Hour Bearish,below EMA20 with deep 20D-high pullback | 2+ bearish hourly candles | last 1H bearish,101.94000244140624,17,5,OK,2026-05-07,102.25,101.52999877929688,REJECT,below EMA20 with deep 20D-high pullback | pullback on above-average volume | last 1H bearish,Avoid,48,17,5,OK,2026-05-08,105.0,104.48999786376952,REJECT,below EMA20 with deep 20D-high pullback | last 3H selling | 2+ bearish hourly candles,Avoid,48,15,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
MPWR,2026-05-06,REJECT,distribution cluster,Avoid,40,Wait - Last Hour Bearish,distribution cluster,1652.3499755859375,17,5,OK,2026-05-07,1636.3299560546875,1575.9599609375,REJECT,distribution cluster,Rejected - Distribution Risk,25,17,5,OK,2026-05-08,1608.6400146484375,1600.8399658203125,REJECT,distribution cluster,Avoid,40,17,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
VICR,2026-05-06,REJECT,distribution cluster,Avoid,40,Clean,distribution cluster,280.3399963378906,17,5,OK,2026-05-07,277.25,261.3399963378906,REJECT,distribution cluster,Rejected - Distribution Risk,25,17,5,OK,2026-05-08,272.0,256.4700012207031,REJECT,distribution cluster,Avoid,40,16,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
CDNS,2026-05-06,REJECT,weekly mixed | not outperforming SPY,Avoid,35,Wait - Last Hour Bearish,weekly mixed | not outperforming SPY,354.8999938964844,17,5,OK,2026-05-07,358.0,356.8999938964844,REJECT,weekly mixed | not outperforming SPY,Avoid,35,17,5,OK,2026-05-08,356.0799865722656,362.7000122070313,REJECT,weekly mixed,Avoid,45,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
AIFF,2026-05-06,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,Wait - Daily Pullback Risk,below EMA200 | weekly mixed | not outperforming SPY,1.9299999475479128,16,5,OK,2026-05-07,1.950000047683716,1.899999976158142,REJECT,below EMA200 | weekly mixed,Avoid,20,16,5,OK,2026-05-08,1.909999966621399,1.8899999856948853,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,16,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
XTIA,2026-05-06,REJECT,below EMA200,Avoid,20,Wait - Last Hour Bearish,below EMA200,1.840000033378601,17,5,OK,2026-05-07,1.850000023841858,1.809999942779541,REJECT,below EMA200,Avoid,20,16,5,OK,2026-05-08,1.809999942779541,1.75,REJECT,below EMA200 | weekly mixed,Rejected - Distribution Risk,20,16,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
INOD,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,12,Clean,below EMA200 | weekly downtrend | not outperforming SPY,46.5099983215332,17,5,OK,2026-05-07,47.209999084472656,45.63999938964844,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,17,5,OK,2026-05-08,72.91999816894531,84.88999938964844,REJECT,weekly mixed,Avoid,42,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
TLS,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,12,Wait - Daily Pullback Risk,below EMA200 | weekly downtrend | not outperforming SPY,4.199999809265137,15,5,OK,2026-05-07,4.25,4.420000076293945,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,12,15,5,OK,2026-05-08,4.449999809265137,4.480000019073486,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,12,15,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ASST,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,8,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming SPY,16.280000686645508,17,5,OK,2026-05-07,15.979999542236328,15.460000038146973,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Rejected - Distribution Risk,8,17,5,OK,2026-05-08,15.40999984741211,15.920000076293944,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,17,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ZOOZ,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,4,Wait - Intraday Selling,below EMA200 | weekly downtrend | not outperforming SPY,6.480000019073486,15,5,OK,2026-05-07,6.360000133514404,5.860000133514404,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,13,5,OK,2026-05-08,6.0,5.840000152587891,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,12,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ZS,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,Clean,below EMA200 | weekly downtrend | not outperforming SPY,138.8300018310547,17,5,OK,2026-05-07,148.0,152.7899932861328,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,17,5,OK,2026-05-08,149.33999633789062,152.1300048828125,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
AEYE,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,Clean,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,7.659999847412109,15,5,OK,2026-05-07,7.679999828338623,8.09000015258789,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,14,5,OK,2026-05-08,8.039999961853027,7.860000133514404,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,12,4,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
