Universe,Ticker,Signals,Rank1_Actionable,Rank2_Watchlist,Rank3_Downgraded,Rank4_Rejected,Avg_Score,Avg_Fwd_21D_Return_Pct,Avg_Fwd_63D_Return_Pct,MarketCap,Sector,Industry
NASDAQ_Top1000_ByMarketCap,NVDA,45,27,16,2,0,90.31111111111112,6.806184173399097,20.69242807756802,4864926000000.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,AAPL,41,27,12,2,0,90.53658536585365,2.2535946402581812,3.8045890330792753,4392106938240.0,Technology,Computer Manufacturing
NASDAQ_Top1000_ByMarketCap,GOOGL,45,28,15,2,0,90.02222222222223,2.042004537810746,6.923088268646153,4248596560000.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,GOOG,41,32,8,1,0,92.97560975609755,2.7618824810139637,8.426941871793899,4239873040000.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,MSFT,37,25,12,0,0,89.45945945945945,1.55349700162724,4.697347163919092,2780760247095.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,AMZN,25,18,7,0,0,90.84,0.20119477973816785,4.118618537291219,2598594926455.0,Consumer Discretionary,Catalog/Specialty Distribution
NASDAQ_Top1000_ByMarketCap,SPCX,0,,,,,,,,2090881667973.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,AVGO,42,30,11,1,0,90.42857142857143,2.907345391544035,10.477279269809836,1833928226824.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,TSLA,27,18,8,1,0,88.25925925925925,5.031726565675485,18.235571158710272,1433871526642.0,Industrials,Auto Manufacturing
NASDAQ_Top1000_ByMarketCap,META,44,23,19,2,0,87.81818181818181,2.264094783704232,7.618361964361199,1431683435573.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,MU,29,22,7,0,0,91.24137931034483,4.1598629967287755,17.092444967003765,1179824086816.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,WMT,34,22,12,0,0,89.47058823529412,0.03108933926857082,4.009094896695941,952820817228.0,Consumer Discretionary,Department/Specialty Retail Stores
NASDAQ_Top1000_ByMarketCap,AMD,33,18,12,3,0,87.48484848484848,4.885907015354324,17.231060650491106,847626977168.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,ASML,39,28,11,0,0,91.43589743589743,2.8072264570879533,9.285289990084632,681528275755.0,Technology,Industrial Machinery/Components
NASDAQ_Top1000_ByMarketCap,INTC,23,12,6,5,0,88.04347826086956,3.742980491864603,19.505236538672303,675720570000.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,CSCO,33,18,15,0,0,86.63636363636364,0.5077096344229505,3.7658866148777097,477031837505.0,Telecommunications,Computer Communications Equipment
NASDAQ_Top1000_ByMarketCap,AMAT,40,24,13,3,0,88.85,4.420781403655097,14.018438095885523,466824326057.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,LRCX,38,29,8,1,0,92.28947368421052,4.014697157856578,12.770298099516811,461598261810.0,Technology,Industrial Machinery/Components
NASDAQ_Top1000_ByMarketCap,COST,46,27,18,1,0,88.58695652173913,1.0733204411104598,4.119638166192949,426768522665.0,Consumer Discretionary,Department/Specialty Retail Stores
NASDAQ_Top1000_ByMarketCap,ARM,2,1,1,0,0,82.0,-13.81466161565265,-14.226357904719576,380240144302.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,KLAC,44,26,18,0,0,88.52272727272727,2.9554678755550623,11.262364386279351,313937121219.0,Technology,Electronic Components
NASDAQ_Top1000_ByMarketCap,NFLX,37,27,9,1,0,91.78378378378379,2.9296458846876514,8.099492237672276,304062603867.0,Consumer Discretionary,Consumer Electronics/Video Chains
NASDAQ_Top1000_ByMarketCap,SNDK,0,,,,,,,,285662921836.0,Technology,Electronic Components
NASDAQ_Top1000_ByMarketCap,TXN,21,11,10,0,0,85.33333333333333,-0.7364877448696258,0.37145331867208276,276963988621.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,PLTR,22,13,8,1,0,89.27272727272727,9.500783636874635,30.035221802670694,274922299135.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,LIN,40,19,21,0,0,84.125,0.5744239970995865,1.902580830280946,241074497759.0,Basic Materials,Major Chemicals
NASDAQ_Top1000_ByMarketCap,MRVL,34,18,14,2,0,88.23529411764706,1.6477965128828138,7.390727284379385,237425181480.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,PANW,42,24,17,1,0,88.16666666666667,1.042363969620472,4.652244448508655,234752600000.0,Technology,Computer peripheral equipment
NASDAQ_Top1000_ByMarketCap,STX,37,25,10,2,0,89.64864864864865,4.6305428248996305,18.983552323137378,226090092634.0,Technology,Electronic Components
NASDAQ_Top1000_ByMarketCap,WDC,29,21,5,3,0,91.37931034482759,4.542513810819059,22.167913477657585,222295846746.0,Technology,Electronic Components
NASDAQ_Top1000_ByMarketCap,QCOM,26,18,8,0,0,92.11538461538461,1.0468573551649358,1.2790001265506485,207738130000.0,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ_Top1000_ByMarketCap,ADI,30,15,15,0,0,86.1,0.5552077925433007,3.1949210668972983,201001337926.0,Technology,Semiconductors
NASDAQ_Top1000_ByMarketCap,TMUS,38,25,13,0,0,88.86842105263158,0.1610332998670445,3.5455528743717255,197724212819.0,Telecommunications,Telecommunications Equipment
NASDAQ_Top1000_ByMarketCap,PEP,22,12,10,0,0,87.22727272727273,-0.6927036439835624,-0.31791246114661437,195844231856.0,Consumer Staples,Beverages (Production/Distribution)
NASDAQ_Top1000_ByMarketCap,AMGN,31,19,12,0,0,87.45161290322581,0.5610213502137129,-0.18492755784967904,190117636599.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,CRWD,31,20,11,0,0,90.0,4.409754230454844,8.162840759522703,172759142269.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,HONAV,0,,,,,,,,161016980000.0,Industrials,Aerospace
NASDAQ_Top1000_ByMarketCap,IBKR,34,22,12,0,0,89.61764705882354,3.7210884953811854,8.722396967170866,160746480592.0,Finance,Investment Bankers/Brokers/Service
NASDAQ_Top1000_ByMarketCap,GILD,28,13,15,0,0,84.82142857142857,0.8387485896413688,0.7234235556700238,155767356392.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ_Top1000_ByMarketCap,APP,23,15,6,2,0,88.82608695652173,8.398386662245894,34.4395579615118,155750182500.0,Technology,Computer Software: Programming Data Processing
NASDAQ_Top1000_ByMarketCap,HON,18,10,8,0,0,87.44444444444444,-0.7534579818204516,-2.6480418495264186,144514098585.0,Industrials,Aerospace
NASDAQ_Top1000_ByMarketCap,SHOP,36,22,12,2,0,88.08333333333333,0.012818722707966381,0.5245428605803345,144068269760.0,Technology,Computer Software: Prepackaged Software
NASDAQ_Top1000_ByMarketCap,ISRG,38,23,15,0,0,87.97368421052632,-0.5627589469054293,0.8467207837282998,143056996769.0,Health Care,Industrial Specialties
NASDAQ_Top1000_ByMarketCap,BKNG,35,20,15,0,0,87.77142857142857,-0.8433375128388093,2.369774846235312,140493209231.0,Consumer Discretionary,Transportation Services
NASDAQ_Top1000_ByMarketCap,VRTX,39,23,14,2,0,88.61538461538461,0.15939855618192544,1.993349209052983,120995387419.0,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ_Top1000_ByMarketCap,SBUX,22,8,12,2,0,84.5,1.0096478470866679,2.1182452534420566,117884869500.0,Consumer Discretionary,Restaurants
NASDAQ_Top1000_ByMarketCap,EQIX,30,13,16,1,0,85.06666666666666,-0.5837839210941271,-0.31666172897463657,108861938064.0,Real Estate,Real Estate Investment Trusts
NASDAQ_Top1000_ByMarketCap,PDD,28,18,8,2,0,88.57142857142857,5.200360510879561,14.026048186761907,108811542538.0,Technology,EDP Services
NASDAQ_Top1000_ByMarketCap,FTNT,30,20,7,3,0,90.86666666666666,1.6105306138004702,5.15365086677816,107677334025.0,Technology,Computer peripheral equipment
NASDAQ_Top1000_ByMarketCap,CDNS,37,25,11,1,0,90.91891891891892,1.1514433400266395,3.6709212181578246,104226729160.0,Technology,Computer Software: Prepackaged Software
