Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
IPM,IPM,Intelligent Protection Management Corp.  - Common Stock,NASDAQ,S,N,N,15586633.0,Technology,Computer Software: Programming Data Processing
VECO,VECO,Veeco Instruments Inc. - Common Stock,NASDAQ,Q,N,N,4386781734.0,Technology,Industrial Machinery/Components
MTCH,MTCH,"Match Group, Inc. - Common Stock",NASDAQ,Q,N,N,8353274296.0,Technology,Computer Software: Programming Data Processing
BAND,BAND,Bandwidth Inc. - Class A Common Stock,NASDAQ,Q,N,N,1686991906.0,Technology,Computer Software: Prepackaged Software
CARS,CARS,Cars.com Inc. Common Stock ,NYSE, ,N,N,584450552.0,Technology,EDP Services
SQNS,SQNS,Sequans Communications S.A. American Depositary Shares (each representing one hundred (100) Ordinary Shares),NYSE, ,N,N,47179645.0,Technology,Semiconductors
SMWB,SMWB,Similarweb Ltd. Ordinary Shares,NYSE, ,N,N,440050247.0,Technology,Computer Software: Programming Data Processing
PDC,PDC,Perpetuals.com Ltd - American Depositary Shares,NASDAQ,S,N,N,18089880.0,Technology,EDP Services
ALAR,ALAR,Alarum Technologies Ltd. - American Depositary Shares,NASDAQ,S,N,N,60831452.0,Technology,Computer Software: Prepackaged Software
ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,S,N,N,788224292.0,Technology,EDP Services
KLIC,KLIC,"Kulicke and Soffa Industries, Inc. - Common Stock",NASDAQ,Q,N,N,6644182064.0,Technology,Semiconductors
TRNR,TRNR,Interactive Strength Inc. - Common Stock,NASDAQ,S,N,N,1245419.0,Technology,Consumer Electronics/Appliances
SHOP,SHOP,Shopify Inc. - Class A Subordinate Voting Shares,NASDAQ,Q,N,N,144068000000.0,Technology,Computer Software: Prepackaged Software
PAYS,PAYS,"Paysign, Inc. - Common Stock",NASDAQ,S,N,N,440537491.0,Technology,EDP Services
NYAX,NYAX,Nayax Ltd. - Ordinary Shares,NASDAQ,Q,N,N,2528470318.0,Technology,Computer Software: Prepackaged Software
RDCM,RDCM,Radcom Ltd. - Ordinary Shares,NASDAQ,S,N,N,208964522.0,Technology,Computer peripheral equipment
YAAS,YAAS,Youxin Technology Ltd - Class A Ordinary shares,NASDAQ,S,N,N,18689402.0,Technology,Computer Software: Prepackaged Software
TENB,TENB,"Tenable Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,3063355410.0,Technology,Computer Software: Prepackaged Software
RNG,RNG,"RingCentral, Inc. Class A Common Stock",NYSE, ,N,N,3013039642.0,Technology,EDP Services
RELL,RELL,"Richardson Electronics, Ltd. - Common Stock",NASDAQ,Q,N,N,258676504.0,Technology,Electronic Components
