Ticker,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
ECPG,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,PRE,92.44,90.62,92.44,,2.008383577859263,90.62000274658203,100,30,25,14,11,10,15,Stage 2,90.62000274658203,68.91866696675619,22.250406209149265,83.6922768255602,80.62002132748131,69.69948729113143,65.78574074444553,19.420749266278058,28.175398384985527,66.27523439739822,132.41856590283038,5.96400473156411,60.31122966583411,0.12430898086467156,0.11201876475954037,0.08902850274606722,10.571642737836996,9.114990266895596,12.655395320992247,90.73999786376953,92.63999938964844,92.63999938964844,92.63999938964844,-0.13224059952883227,2.1804799831336354,False,False,False,2.8092863900320872,3.1000731680490343,665800,329354.0,7.0,5.0,2.0,False,3.7079487239710662,1.5824175824175724,1,False
XOMA,1,Actionable Momentum Candidate,Momentum Candidate,Clean,pullback on above-average volume,PRE,42.15,42.15,42.15,,-3.620115895941467e-06,42.150001525878906,100,30,25,20,11,10,15,Stage 2,42.150001525878906,32.60766677856445,7.567544630523604,41.85515170188668,40.18068854610547,35.28300393156417,34.00870206288588,16.5846052642185,38.06092557448333,65.3589717707162,53.55191385927422,5.96400473156411,59.394967039152085,0.057819726046344486,0.05634242513383527,0.04826051086536364,0.8480889929379343,0.620678300355193,0.8373260650876846,42.5,42.810001373291016,42.810001373291016,42.810001373291016,-0.8235258214614016,1.541695459565859,False,False,False,0.4300008501325335,1.020168053537377,439300,232930.0,2.0,1.0,1.0,False,-0.11848160226682891,0.035603842564135846,1,False
ROKU,1,Actionable Momentum Candidate,Momentum Candidate,Clean,pullback on above-average volume | last 3H selling,PRE,135.11,135.4,135.11,,-0.21417570868287328,135.39999389648438,92,30,21,8,11,7,15,Stage 2,135.39999389648438,109.77500025431316,10.139930647490614,131.81552527733828,124.53049894281655,111.11913722815555,107.15395902400368,13.170556074680317,52.08356256652047,22.700494579742035,61.90362112077024,5.96400473156411,16.736489848177925,0.18573642397058485,0.17086067981722688,0.1530639968793277,18.91004378498242,-1.9338113175185079,13.172847364791561,148.8800048828125,148.8800048828125,148.8800048828125,148.8800048828125,-9.05427897919443,9.054278979194425,False,True,False,5.559287479945591,4.1058255026183845,9730300,4653018.0,5.0,4.0,1.0,False,0.49728953476717574,-1.9607843137254943,1,False
MBWM,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,PRE,57.46,57.09,57.46,,0.6480992230218696,57.09000015258789,89,30,8,20,6,10,15,Stage 2,57.09000015258789,51.46800003051758,5.34273061315893,54.20982849642947,53.025264295835534,51.13167572220063,50.38081395522551,3.123642263640236,14.684615412909952,16.154625392083343,26.501216045666155,5.96400473156411,10.190620660519233,0.07831383272386647,0.07160009324005646,0.07198457044452856,3.3659919474464894,6.213953772256531,5.293247634212328,57.40999984741211,57.40999984741211,57.40999984741211,57.40999984741211,-0.5573936521071854,0.5573936521071834,False,False,False,1.6528573717389787,2.89517843286265,530900,134016.0,9.0,7.0,2.0,False,1.45725908681964,0.6480994920301297,2,False
VRTX,2,Watchlist Candidate,Watchlist Candidate,Clean,,PRE,492.912,491.34,492.912,,0.31994213250010617,491.3399963378906,72,20,4,8,15,10,15,Stage 2,491.3399963378906,454.415000406901,2.021962012558487,457.4256278877135,449.0186737598693,447.02914107249114,446.460115222582,-0.49249249499248027,8.286685527562533,6.996800043701912,10.210396183625715,5.96400473156411,1.032795312137802,0.6740010191085363,0.6014140908973228,0.6402852572595725,6.805583410130911,8.792593721797104,10.403556287972538,503.8900146484375,503.8900146484375,507.9200134277344,507.9200134277344,-2.49062651485622,3.2642968679167264,False,False,False,12.581427437918526,2.56063571695604,8692600,1435070.0,12.0,2.0,10.0,False,2.324129249934126,0.6009517611648807,1,False
BSRR,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,2+ bearish hourly candles | last 1H bearish,PRE,40.85,41.07,40.85,,-0.5356700668589065,41.06999969482422,100,30,21,20,15,7,15,Stage 2,41.06999969482422,35.93066698710124,9.709725873070397,39.604221578698656,38.274541302872585,35.62825980602188,34.689868526123284,7.178625727961618,22.487328332928303,24.45454452977036,43.90328793745715,5.96400473156411,18.49053979820625,0.0563382217108632,0.05184100297143833,0.048968141793741544,9.964791886988976,3.948371145439422,2.0372663225446397,41.2599983215332,41.2599983215332,41.2599983215332,41.2599983215332,-0.460491115943229,0.46049111594322556,False,True,False,1.7071435110909599,4.156667941991974,293500,63302.0,7.0,2.0,5.0,False,1.6081186425641603,1.8449249024879322,2,True
PLBC,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,last 1H bearish,PRE,58.84,58.84,,,-2.59326793372594e-07,58.84000015258789,100,30,25,20,15,10,15,Stage 2,58.84000015258789,50.2283332824707,8.22894818537041,55.54522781214477,53.631527927628255,50.29694523273358,49.210793332746235,5.911426864808811,20.598481345513054,29.148372210282925,36.10918523165925,5.96400473156411,23.184367478718816,0.08071441438265901,0.07243498420597361,0.06929141345896934,8.665600261856143,5.903525374773744,5.637341735437951,59.9900016784668,59.9900016784668,59.9900016784668,59.9900016784668,-1.916988654280527,1.916988654280527,False,True,False,1.8300004686628069,3.1101299522724766,226500,56924.0,8.0,3.0,5.0,False,2.8491541587135405,2.667769307403156,1,True
MTRX,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,pullback on above-average volume | 2+ bearish hourly candles | last 1H bearish,PRE,13.87,13.87,,,8.250967464817904e-07,13.869999885559082,82,30,8,4,15,10,15,Stage 2,13.869999885559082,12.285333410898845,1.102759762207417,13.545100811056244,13.064823602829545,12.633561180101136,12.608978274110656,2.5806245099199376,22.202638056326094,15.873012332036396,2.8169023045833574,5.96400473156411,9.909007600472286,0.01902632419013022,0.017745935881120375,0.018078420160192968,9.788007208972216,-0.7868359104370226,2.969559098743102,14.279999732971191,14.279999732971191,14.5600004196167,16.110000610351562,-2.871147444530109,13.904411172729297,False,False,False,0.5378571237836566,3.8778451926568,763500,269658.0,8.0,3.0,5.0,False,0.36179588884932556,1.6102592499075197,2,True
NEO,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,2+ bearish hourly candles | last 1H bearish,PRE,14.16,14.17,14.16,,-0.07057216824348789,14.170000076293945,82,17,8,20,15,7,15,Stage 2,14.170000076293945,10.367333348592123,0.45541082316105097,11.409089057989457,10.32792835147069,9.904868783753404,9.943720679945947,0.13552474298650363,82.6030883807815,14.090177047101825,97.3537662266593,5.96400473156411,8.126172315537715,0.019437852736137295,0.013299260077286958,0.01464747811288838,56.74343563645887,27.313566312624715,23.53966649003876,14.229999542236328,14.229999542236328,14.229999542236328,14.229999542236328,-0.42164067373506864,0.42164067373507125,False,False,False,0.6907142230442592,4.874482846332561,7125200,2701240.0,13.0,5.0,8.0,False,3.2046653221224464,-0.28169014084505895,2,True
QTTB,3,Downgraded - Wait,Watchlist Candidate,Wait - Extended Hours Weakness,extended-hours weakness -3.76% | last 3H selling,PRE,12.6747,13.17,12.6747,,-3.7608206030726454,13.170000076293945,89,30,25,4,15,0,15,Stage 2,13.170000076293945,6.053666663169861,56.42549514022488,11.638862641862685,9.588831699751818,6.789057584701654,6.505510112667502,34.74579749466529,84.4537860303406,322.11540254380407,744.2308050876081,5.96400473156411,316.15139781223996,0.01806609178825584,0.011781176098085617,0.007059312286937614,107.63842386777291,10.67227309642993,3.700789559744133,14.850000381469727,14.850000381469727,14.850000381469727,14.850000381469727,-11.31313307757309,11.313133077573086,False,False,False,1.3830714906964983,10.501681721217548,494000,857360.0,10.0,3.0,7.0,False,10.209207418421151,-7.308029837648089,0,False
