Ticker,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
FTNT,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,REGULAR,156.91,156.91,,,,156.94500732421875,100,30,25,20,15,10,15,Stage 2,151.35000610351562,96.26299896240235,17.67517450547387,143.868916313597,127.38647979292695,104.39509310373779,100.43315647102095,19.628458402392624,100.69694814450582,93.32964613725485,51.11208010967052,6.961383182983649,86.3682629542712,0.2125358956791781,0.16608076588297516,0.1323713542110406,80.98049525844395,7.947594733529528,7.276147676288813,157.05999755859375,157.05999755859375,157.05999755859375,157.05999755859375,-0.07321420868614537,0.07321420868614305,False,False,False,6.044287545340402,3.8512136501762337,525715,6360656.3,8.0,5.0,3.0,False,3.6967300925488056,1.9123424183238535,2,False
NTCT,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,42.02,42.02,,,,42.02000045776367,100,30,25,8,15,10,15,Stage 2,41.59000015258789,32.43433297475179,14.497016565840216,40.637947670873345,38.66226613726078,33.56773375277665,32.02355926367453,16.417983245348267,31.88951554542987,50.71736629352277,67.14399951443788,6.961383182983649,43.75598311053912,0.05690374345761134,0.05245717786962625,0.044328530388096796,20.73504528196246,4.13879069837797,1.4485811572734653,43.79999923706055,43.79999923706055,43.79999923706055,43.79999923706055,-4.063924224434146,4.063924224434147,False,False,False,1.3579929896763392,3.2317776651176464,33192,641109.84,11.0,5.0,6.0,False,1.0339031103586693,1.4730752421242999,1,False
OKTA,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,129.345,129.345,,,,129.35000610351562,100,30,25,8,15,7,15,Stage 2,124.27999877929688,88.47566731770833,5.611901169241729,116.07128007122073,103.6328330020264,92.44772194883447,91.53167452547352,6.841279028347214,76.63525901131678,46.34009163559754,31.814949275370765,6.961383182983649,39.37870845261389,0.1751665750445031,0.13293255787771446,0.1273416834783066,70.68097583031043,11.566330325796326,11.230548701667843,142.35000610351562,142.35000610351562,142.35000610351562,142.35000610351562,-9.132419699755069,9.132419699755067,False,False,False,6.259428296770368,4.839140318061602,400395,3916631.9,8.0,3.0,5.0,False,4.079503841340015,2.3662599742922064,1,False
PANW,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,320.44,320.44,,,,320.44000244140625,100,30,25,20,15,10,15,Stage 2,304.20001220703125,197.6009999593099,8.063328027197493,281.88082544157857,249.92707266505732,211.82559267749065,205.74260387941726,14.873502324786037,117.95673590619633,71.15692786672807,58.36710894582533,6.961383182983649,64.19554468374442,0.43394182517466273,0.3264957806971907,0.2873290261420631,82.3558766079648,11.885478097190605,14.598386394760965,321.25,321.25,321.25,321.25,-0.2521393178501974,0.25213931785019456,False,False,False,12.258577619280134,3.825545351979475,939869,7984203.38,14.0,4.0,10.0,False,5.338589606407518,4.174253069377842,1,False
FA,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,17.79,17.79,,,,17.790000915527344,100,22,21,20,15,7,15,Stage 2,17.81999969482422,13.598666604359945,3.422399759505601,16.393032660390425,15.233600027145364,14.188445395882596,14.270254285468589,4.787108290751241,59.55158317639759,16.122723693901907,8.277544644494839,6.961383182983649,9.161340510918258,0.024091328823886333,0.020488195450334427,0.01983422931633234,39.93312286709152,10.291393931367377,7.88357284689658,17.8700008392334,17.8700008392334,17.8700008392334,18.549999237060547,-0.44767722411303,4.097026160598556,True,False,False,0.7532145636422294,4.233920881841068,37198,1483859.96,8.0,4.0,4.0,False,-0.16834332104723737,-0.9393724739132359,1,False
CDNS,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,384.645,384.645,,,,384.5950012207031,99,30,21,8,15,10,15,Stage 2,377.2699890136719,323.27333272298176,3.982185382138881,380.8291298163679,363.70455414157925,335.8880656809874,330.52974577951426,7.805940021421098,41.51489007910853,21.033166352296682,26.64065268164586,6.961383182983649,14.071783169313033,0.5208209197079894,0.4952575051955605,0.4730018231343635,19.05108245642424,-1.1425578929128322,-0.09481251103404809,416.69000244140625,416.69000244140625,416.69000244140625,416.69000244140625,-7.702368915178437,7.7023689151784325,False,False,False,14.899438040597099,3.8740592033974277,118162,2526033.24,8.0,4.0,4.0,False,1.9415835927425906,0.5477127374387214,1,False
AVT,1,Actionable Momentum Candidate,Momentum Candidate,Clean,below EMA20 with deep 20D-high pullback,REGULAR,86.895,86.895,,,,86.8949966430664,98,30,25,8,10,10,15,Stage 2,86.37000274658203,67.38466618855794,21.734784136261286,88.40442135209673,83.72115792874064,71.16501284081512,67.73166375028201,20.469918195720837,45.479653957842636,76.54407657047409,64.9174395670199,6.961383182983649,69.58269338749044,0.1176737397158564,0.1153800766708365,0.08986269941733237,14.200483490625437,-6.008653854565004,-4.0788164744397175,95.26000213623047,95.26000213623047,95.26000213623047,95.26000213623047,-8.781235886601536,8.78123588660154,True,False,True,3.126799992152623,3.5983659738159606,22349,1454820.98,13.0,7.0,6.0,False,0.607842861861152,0.421815142801818,1,False
ACLS,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,174.73,174.73,,,,174.72999572753906,96,30,25,8,15,3,15,Stage 2,173.22999572753906,113.49366734822591,28.670332697188616,170.39324007022557,154.58282875359507,122.57651801365441,114.71865072887576,33.076716222613165,79.48638774143193,111.02655711053093,146.3761988703074,6.961383182983649,104.06517392754728,0.23662043652815726,0.21306186198776866,0.1512364478143434,39.80051040193078,-4.996739089223179,-2.992449220388693,193.77999877929688,193.77999877929688,193.77999877929688,193.77999877929688,-9.830737522841327,9.830737522841332,True,False,False,13.846071515764509,7.92426707166813,31900,690788.0,11.0,4.0,7.0,False,0.8659008468482776,-0.6256067067400006,1,False
AMD,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,529.76,529.76,,,,529.6400146484375,95,30,25,8,10,7,15,Stage 2,521.5800170898438,298.8796676635742,37.078757181805265,508.0359299660191,445.80618824801246,328.8841064342875,299.5924992305529,50.51853467481382,162.21100066575426,146.29837759699754,268.62475058972757,6.961383182983649,139.3369944140139,0.7172417703501421,0.6024533635712266,0.3889234425584175,80.85956431393299,-3.9863658683770287,3.532264805502261,562.989990234375,562.989990234375,562.989990234375,562.989990234375,-5.9237244292840385,5.923724429284039,False,False,False,35.30211312430246,6.6653032527640805,2449976,37504771.52,9.0,6.0,3.0,False,1.5453041325403039,0.5141845679964119,1,False
CRWD,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,735.2,735.2,,,,735.2000122070312,95,30,25,8,10,7,15,Stage 2,701.0900268554688,494.94183654785155,7.708950429714645,678.7794591753129,615.733545956674,525.8944503900613,507.3350911481658,15.742076993850706,98.92852397819824,54.09445091896221,45.52076529643616,6.961383182983649,47.13306773597856,0.9956123852666933,0.8145244596126281,0.7175511924251002,67.04479653691537,8.84756744486852,7.67428607950571,785.6599731445312,785.6599731445312,785.6599731445312,785.6599731445312,-6.422620810824641,6.422620810824648,False,False,False,31.956059047154017,4.34658032053395,577737,3195912.74,9.0,6.0,3.0,False,4.86527892923434,2.9706315504462566,1,False
