Ticker,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
UIS,2,Watchlist Candidate,Watchlist Candidate,Clean,last 3H selling,PRE,3.6,3.59,3.6,,0.27855392952014224,3.5899999141693115,79,22,25,0,10,7,15,Stage 2,3.5899999141693115,2.8270000060399374,1.1931753240679077,3.656602665522169,3.372395965688048,3.1279839599829584,3.22836677881899,3.203324326153889,70.95238462867668,29.136688889050877,-22.294372227351833,5.96400473156411,23.172684157486767,0.004924621685155242,0.004507293849575853,0.004339517642187011,43.026539069290415,1.4124280467537442,-5.526316862687519,4.980000019073486,4.980000019073486,4.980000019073486,4.980000019073486,-27.91164858595282,27.91164858595282,False,True,True,0.22571430887494767,6.287306804216891,2213300,942022.0,11.0,7.0,4.0,False,2.571426119123177,-1.3698630136986245,0,False
PPLI,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,last 1H bearish,PRE,44.98,44.77,44.98,,0.4690630781530647,44.77000045776367,81,30,8,8,10,10,15,Stage 2,44.77000045776367,40.14333330790202,8.78460774734846,42.66861028582535,42.19564137554532,40.14303953113045,39.58605268364589,5.631733769059011,12.261783497187718,12.149304887972878,23.0283078006839,5.96400473156411,6.185300156408768,0.06141373826459514,0.058468865501640675,0.055293200359821604,-0.5875799207859744,4.79868721554968,5.490108167883712,46.33000183105469,46.33000183105469,46.33000183105469,46.33000183105469,-3.367151546809044,3.3671515468090427,False,True,False,1.2777865273611886,2.854113277409191,1307700,1211602.0,9.0,6.0,3.0,False,5.764229910613716,0.46906410542773,1,True
STX,3,Downgraded - Wait,Watchlist Candidate,Wait - Daily Pullback Risk,below EMA20 with deep 20D-high pullback | lower high and lower low | pullback on above-average volume | daily distribution | daily distribution below EMA20,PRE,916.02,899.9,916.02,,1.7913073839989524,899.9000244140625,75,30,25,0,2,3,15,Stage 2,899.9000244140625,527.8449971516927,59.073944935319744,948.3327567628879,821.345872755829,577.639181263663,509.8584144068432,68.91599143290716,137.57227068130032,218.21077201490482,549.5597430522888,5.96400473156411,212.24676728334072,1.2344477104887803,1.100504608751598,0.6296252100225302,66.28933296599055,-15.91526673361222,3.664366203332725,1145.0,1145.0,1145.0,1145.0,-21.406111404885376,21.406111404885372,True,True,True,85.50143432617188,9.501214802371303,9299000,4372232.0,13.0,6.0,7.0,True,-12.235698947670937,-0.2156862745098076,1,False
LITE,4,Rejected - Distribution Risk,Avoid,Failed - Distribution Risk,distribution cluster,PRE,813.7,816.98,813.7,,-0.40147623530114585,816.97998046875,39,22,12,0,-13,3,15,Stage 2,816.97998046875,662.0859975179036,53.08040109205629,877.0153085425858,865.9879621909265,678.3374823046335,600.8526472359265,48.18899384524982,18.60917464393279,110.88252051986305,790.2473688065413,5.96400473156411,104.91851578829895,1.1207012324079864,1.230550340149041,0.7574596445262081,-4.804114749668109,-3.884708180147056,-8.16219204293257,1049.530029296875,1085.6800537109375,1085.6800537109375,1085.6800537109375,-22.15754121717891,24.74947129439747,True,True,True,75.91606794084821,9.292280074879026,9111900,5962076.0,6.0,11.0,-5.0,True,-5.219438236076346,-0.3356033511341949,2,True
KBDC,5,Avoid,Avoid,Clean,below EMA200 | weekly Stage 1/3 | not outperforming SPY,PRE,13.83,13.83,,,5.516554324458411e-07,13.829999923706055,19,0,0,4,5,10,0,Stage 1/3,13.829999923706055,14.339333375295004,0.5116940984122742,14.10180008165326,14.304272780833049,14.443945520049216,14.558559035009432,-0.37818310508392905,-0.3602319187507974,-5.3388073326525065,-11.798471590967152,5.96400473156411,-11.302812064216617,0.01897145380454349,0.01976834531932735,0.020819634187880003,-9.173190655183095,0.0723605579063813,-4.290656704102835,15.0,15.5600004196167,15.5600004196167,16.280000686645508,-7.800000508626304,15.049144100768928,False,False,True,0.32778583254132954,2.3701072621083,197800,273242.0,3.0,4.0,-1.0,False,1.3186835912539108,0.1446131597975464,0,False
AUID,5,Avoid,Avoid,Clean,below EMA200 | weekly Stage 4,PRE,1.12,1.1,1.12,,1.8181796113322157,1.100000023841858,16,0,8,0,15,3,-10,Stage 4,1.100000023841858,1.2892666578292846,-23.239660598556267,1.1375433484456696,1.1960151831935906,1.6186295722953221,1.9573984132960927,-20.349731875275225,-12.698410145429662,18.534488738575572,-77.36625527525621,5.96400473156411,12.570484007011462,0.001508937075374932,0.0016231758998765122,0.0023932269402259453,-10.494451934797755,0.0,-7.563027651344701,1.3799999952316284,1.4500000476837158,1.9429999589920044,6.139999866485596,-20.289853069367105,82.08468977587333,False,False,True,0.09121429920196533,8.292208838631698,119100,142464.0,5.0,2.0,3.0,False,0.9174302896359121,1.81818181818183,1,False
FTCI,5,Avoid,Avoid,Clean,below EMA200 | weekly Stage 4 | not outperforming SPY,PRE,4.87,4.79,4.87,,1.670146947475648,4.789999961853027,8,0,0,0,15,3,-10,Stage 4,4.789999961853027,7.054833221435547,-14.703986386544043,4.849298390739644,4.953905886950368,6.009568932329138,6.182281505178381,-12.70052753276315,10.87962434063745,-58.91938229385012,10.114944065903941,5.96400473156411,-64.88338702541424,0.006570734888023649,0.006516722936799791,0.010771503078187947,7.456074021338566,-6.8093368428796435,6.6815190652037115,5.980000019073486,5.980000019073486,10.880000114440918,12.75,-19.899666445232423,62.43137284821155,True,False,True,0.44135706765311106,9.214135097453543,199800,152546.0,8.0,1.0,7.0,False,5.043860130693112,1.6701461377870652,0,False
NVNI,5,Avoid,Avoid,Clean,below EMA200 | weekly Stage 4 | not outperforming SPY,PRE,0.9431,0.9516,0.9431,,-0.9348762320849469,0.9520000219345093,0,0,0,0,5,0,-10,Stage 4,0.9520000219345093,1.746733339627584,-38.8755396177478,0.9977393570770674,1.125218057032799,2.0832521778200075,2.8573336605059145,-28.246207336637298,-20.00000200351737,-67.9461275163696,-68.05369074358273,5.96400473156411,-73.91013224793372,0.00130591645247205,0.001561604771431721,0.003993386693717629,-30.224182835297555,0.21052988216161417,9.425289277782166,1.2649999856948853,1.4700000286102295,1.850000023841858,16.399999618530273,-24.743080418964592,94.19512168244901,True,False,True,0.10914285693849836,11.464585548718254,33700,620288.0,0.0,2.0,-2.0,False,-0.8333288319407939,-0.8932324506094935,0,False
MBLY,5,Avoid,Avoid,Wait - Last Hour Bearish,below EMA200 | weekly Stage 4 | not outperforming SPY,PRE,7.89,7.81,7.89,,1.0243285250522982,7.809999942779541,2,0,0,0,5,7,-10,Stage 4,7.809999942779541,9.203999948501586,-12.242562451869787,8.880608097702527,9.049992135571246,9.84297380236487,10.503612514640475,-7.302085732980301,14.516125310844341,-23.12992066856325,-56.41741121914807,5.96400473156411,-29.09392540012736,0.010713452924461384,0.012532261792923206,0.015255681222712043,-2.8656156748777084,-7.683216222653866,-18.475991597312913,11.260000228881836,11.260000228881836,11.260000228881836,20.18000030517578,-30.639433534406724,61.29831603235196,False,True,True,0.4721428326198033,6.045362817912774,5512700,6451382.0,5.0,5.0,0.0,False,-0.6361347313680876,0.0,2,True
CYCU,5,Avoid,Avoid,Wait - Last Hour Bearish,below EMA200 | weekly Stage 4 | not outperforming SPY,PRE,0.675,0.6501,0.675,,3.8461576552082155,0.6499999761581421,0,0,0,0,5,0,-10,Stage 4,0.6499999761581421,1.6970363100369772,-50.17152997047627,0.7201267947484693,0.9055103231935336,3.298565016938744,6.19043955162765,-35.88303734717536,-43.96551768433893,-78.75817031657468,-93.82166236889236,5.96400473156411,-84.72217504813878,0.0008916445834176172,0.0011850156016182654,0.00439260038256775,-49.669539750459116,1.2460991221498796,3.174600171093722,1.0230000019073486,1.7400000095367432,2.299999952316284,15.884085655212402,-36.46139052333927,95.90785399759638,False,False,True,0.07921428339821952,12.186813277504958,701600,1473910.0,1.0,3.0,-2.0,False,10.544213721982644,3.8461538461538547,1,True
