Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
AIFF,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,S,N,N,19620443.0,Technology,Computer Software: Prepackaged Software
ZOOZ,ZOOZ,ZOOZ Strategy Ltd. - Ordinary Shares,NASDAQ,S,N,N,49578916.0,Technology,Industrial Machinery/Components
FIG,FIG,"Figma, Inc. Class A Common Stock",NYSE, ,N,N,9965182167.0,Technology,Computer Software: Prepackaged Software
SNAL,SNAL,"Snail, Inc. - Class A Common Stock",NASDAQ,S,N,N,27733239.0,Technology,Computer Software: Prepackaged Software
MPWR,MPWR,"Monolithic Power Systems, Inc. - Common Stock",NASDAQ,Q,N,N,70565419000.0,Technology,Semiconductors
IBM,IBM,International Business Machines Corporation Common Stock,NYSE, ,N,N,245766000000.0,Technology,Computer Manufacturing
ICHR,ICHR,Ichor Holdings - Ordinary Shares,NASDAQ,Q,N,N,3157211649.0,Technology,Semiconductors
ZS,ZS,"Zscaler, Inc. - Common Stock",NASDAQ,Q,N,N,20759460272.0,Technology,EDP Services
DOMO,DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ,G,N,N,106329576.0,Technology,Computer Software: Prepackaged Software
HPAI,HPAI,Helport AI Limited - Ordinary Shares,NASDAQ,S,N,N,21458739.0,Technology,Computer Software: Prepackaged Software
PL,PL,Planet Labs PBC Class A Common Stock,NYSE, ,N,N,9530203545.0,Technology,Radio And Television Broadcasting And Communications Equipment
TLS,TLS,Telos Corporation - Common Stock,NASDAQ,G,N,N,331448945.0,Technology,EDP Services
CDNS,CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,Q,N,N,104227000000.0,Technology,Computer Software: Prepackaged Software
IPGP,IPGP,IPG Photonics Corporation - Common Stock,NASDAQ,Q,N,N,4578392858.0,Technology,Semiconductors
FNGR,FNGR,"FingerMotion, Inc. - common stock",NASDAQ,S,N,N,27264054.0,Technology,Computer Software: Prepackaged Software
ASST,ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,G,N,N,936846247.0,Technology,Computer Software: Prepackaged Software
INOD,INOD,Innodata Inc. - Common Stock,NASDAQ,G,N,N,2770154019.0,Technology,EDP Services
AEYE,AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,S,N,N,76459700.0,Technology,Computer Software: Prepackaged Software
VICR,VICR,Vicor Corporation - Common Stock,NASDAQ,Q,N,N,15197980629.0,Technology,Industrial Machinery/Components
XTIA,XTIA,"XTI Aerospace, Inc. Common Stock  - Common Stock",NASDAQ,S,N,N,65219852.0,Technology,EDP Services
