Ticker,As_Of_Date,Regression_Status,Changed_Fields
NVDA,2026-04-08,PASS,
NVDA,2026-04-30,PASS,
NVDA,2026-05-07,PASS,
NVDA,2026-06-09,PASS,
AAPL,2026-04-08,PASS,
AAPL,2026-04-30,PASS,
AAPL,2026-05-07,PASS,
AAPL,2026-06-09,PASS,
MSFT,2026-04-08,PASS,
MSFT,2026-04-30,PASS,
MSFT,2026-05-07,PASS,
MSFT,2026-06-09,PASS,
GOOGL,2026-04-08,PASS,
GOOGL,2026-04-30,PASS,
GOOGL,2026-05-07,PASS,
GOOGL,2026-06-09,PASS,
META,2026-04-08,PASS,
META,2026-04-30,PASS,
META,2026-05-07,PASS,
META,2026-06-09,PASS,
AMD,2026-04-08,PASS,
AMD,2026-04-30,PASS,
AMD,2026-05-07,PASS,
AMD,2026-06-09,PASS,
AVGO,2026-04-08,PASS,
AVGO,2026-04-30,PASS,
AVGO,2026-05-07,PASS,
AVGO,2026-06-09,PASS,
ORCL,2026-04-08,PASS,
ORCL,2026-04-30,PASS,
ORCL,2026-05-07,PASS,
ORCL,2026-06-09,PASS,
CRM,2026-04-08,PASS,
CRM,2026-04-30,PASS,
CRM,2026-05-07,PASS,
CRM,2026-06-09,PASS,
NOW,2026-04-08,PASS,
NOW,2026-04-30,PASS,
NOW,2026-05-07,PASS,
NOW,2026-06-09,PASS,
PANW,2026-04-08,PASS,
PANW,2026-04-30,PASS,
PANW,2026-05-07,PASS,
PANW,2026-06-09,PASS,
CRWD,2026-04-08,PASS,
CRWD,2026-04-30,PASS,
CRWD,2026-05-07,PASS,
CRWD,2026-06-09,PASS,
ANET,2026-04-08,PASS,
ANET,2026-04-30,PASS,
ANET,2026-05-07,PASS,
ANET,2026-06-09,PASS,
MU,2026-04-08,PASS,
MU,2026-04-30,PASS,
MU,2026-05-07,PASS,
MU,2026-06-09,PASS,
QCOM,2026-04-08,PASS,
QCOM,2026-04-30,PASS,
QCOM,2026-05-07,PASS,
QCOM,2026-06-09,PASS,
AMAT,2026-04-08,PASS,
AMAT,2026-04-30,PASS,
AMAT,2026-05-07,PASS,
AMAT,2026-06-09,PASS,
LRCX,2026-04-08,PASS,
LRCX,2026-04-30,PASS,
LRCX,2026-05-07,PASS,
LRCX,2026-06-09,PASS,
KLAC,2026-04-08,PASS,
KLAC,2026-04-30,PASS,
KLAC,2026-05-07,PASS,
KLAC,2026-06-09,PASS,
PLTR,2026-04-08,PASS,
PLTR,2026-04-30,PASS,
PLTR,2026-05-07,PASS,
PLTR,2026-06-09,PASS,
APP,2026-04-08,PASS,
APP,2026-04-30,PASS,
APP,2026-05-07,PASS,
APP,2026-06-09,PASS,
