Beta_Risk_Band,Sector,Signal_Count,Unique_Tickers,Mean_Forward_1D_Return_Pct,Median_Forward_1D_Return_Pct,Positive_Rate_Forward_1D_Return_Pct,Mean_Forward_5D_Return_Pct,Median_Forward_5D_Return_Pct,Positive_Rate_Forward_5D_Return_Pct,Mean_Forward_10D_Return_Pct,Median_Forward_10D_Return_Pct,Positive_Rate_Forward_10D_Return_Pct,Mean_Forward_21D_Return_Pct,Median_Forward_21D_Return_Pct,Positive_Rate_Forward_21D_Return_Pct,Mean_Forward_63D_Return_Pct,Median_Forward_63D_Return_Pct,Positive_Rate_Forward_63D_Return_Pct,Mean_Forward_126D_Return_Pct,Median_Forward_126D_Return_Pct,Positive_Rate_Forward_126D_Return_Pct,Median_MAE_21D_Pct,Median_MFE_21D_Pct,Median_Realized_Volatility_21D_Annualized_Pct,Median_MAE_63D_Pct,Median_MFE_63D_Pct,Median_Realized_Volatility_63D_Annualized_Pct
BALANCED,Consumer Discretionary,80,1,0.10921137382236032,-0.14099577041866151,46.25,1.0680353370125926,0.313861392258763,52.5,1.4384172272095084,1.2523347614985747,58.22784810126582,2.902405693218935,3.610825929290029,67.08860759493672,6.031142851143274,4.83541406339667,67.08860759493672,9.259005948057393,5.862730473048927,60.273972602739725,-4.637683120098379,9.535742617843779,32.98302688388872,-8.925049788884342,14.457172010694052,37.17221053602706
BALANCED,Health Care,72,1,-0.04970469738270136,-0.15196065653434454,45.83333333333333,-0.050590549620869694,-0.29442562344381695,47.88732394366197,0.5070232567973928,0.9533657912918159,55.714285714285715,0.07037666391062156,0.46478796364428643,50.74626865671642,-4.7307478718224925,-7.189305920254485,31.666666666666664,10.636849987701213,15.106825402164613,65.45454545454545,-6.110810732791849,7.040602555180264,35.491634345464455,-17.088585623318856,9.937297328490224,36.260335168045884
BALANCED,Industrials,155,2,-0.07961995562352822,0.018861279390369745,50.32258064516129,-0.7338260865229176,-0.5552449715575225,43.87096774193549,-0.8812166409751844,-0.39017174423101597,44.516129032258064,-0.5793031410076466,-0.5400130706634698,48.38709677419355,0.5513778714418214,-0.34873284698729856,48.66666666666667,4.258349358170281,5.5292670580036285,60.99290780141844,-5.530563910966036,4.667186996940509,29.522089616165857,-11.283431662184967,8.350497746374131,29.548448548113306
BALANCED,Technology,119,3,-0.05392457850679319,-0.08287956286283649,47.89915966386555,0.007216172077438643,0.5418883719292333,60.50420168067227,0.8143607685040652,1.1309162345125356,64.70588235294117,2.199826452667261,1.6070281324738867,67.22689075630252,6.954481377253259,5.800522784310513,73.10924369747899,12.573581900693464,13.837441987938659,74.78991596638656,-2.9778954534044,4.454950235637578,21.8984670838225,-4.922380536813254,12.237853927796971,24.650501489011845
DEFENSIVE,Consumer Discretionary,8,1,-0.8732161301147525,-0.721016094914595,37.5,-4.243263442505226,-4.813232028157227,12.5,-5.888769739753228,-7.189719593964655,12.5,-8.058109574487982,-10.166059322180448,12.5,-12.371550304045,-12.444627319046603,0.0,-28.729176173094544,-27.85268907468616,0.0,-12.815485824895195,0.4978902637139515,26.00312659143093,-14.7660807022555,1.9502943385990679,26.944900819568744
DEFENSIVE,Industrials,26,1,-0.02385802075525019,0.06339573071588167,50.0,0.09203999858294803,0.21834561241091954,52.0,-0.33049917929306316,-1.0997245478364392,37.5,1.440427920519728,1.7408624194914735,61.904761904761905,10.174949049474916,11.586900203439843,86.66666666666667,7.394567304624045,7.862390510585044,50.0,-4.069389092024411,4.868994714811814,23.042769619773544,-6.27090282335433,13.564277460165552,24.7080824616197
DEFENSIVE,Technology,15,1,-0.2292471403288861,-0.42864081080877803,40.0,1.1272669694468676,-0.36006127323167103,46.666666666666664,2.9572259055271033,1.8700614028172247,60.0,-0.5554144889185294,-2.352945123030903,40.0,-5.251172510926443,-9.913685956115337,33.33333333333333,30.153543860114517,30.14853791700216,100.0,-14.18626948885895,13.808668932244728,60.624513203148766,-26.323421974408788,15.748125593078477,67.18277626779931
HIGH_SENSITIVITY,Consumer Discretionary,35,1,0.16335351512519433,-0.16778693883521267,42.857142857142854,-0.18951279747411343,0.040997729248237746,51.42857142857142,1.5452927510258365,1.2427234820242328,68.57142857142857,2.2920612955901722,3.610139350018149,64.70588235294117,12.014006513488022,10.74463785716825,70.0,18.64001089055453,20.747533154866925,85.71428571428571,-4.720773997634669,8.604718920381949,27.626431143505968,-7.5064303558862395,18.245602525376306,30.87800348550621
HIGH_SENSITIVITY,Health Care,33,1,0.12193701991488848,0.2387563256182501,57.57575757575758,0.0299693842391451,1.0245135691313134,60.60606060606061,0.9598129005050651,2.9943481998784716,66.66666666666666,3.0132442386374443,4.769401429191067,81.81818181818183,11.007836186206653,19.90329646250433,66.66666666666666,5.202682924455137,12.46644430743602,66.66666666666666,-4.502839027523753,8.295312938073106,23.212182777056068,-6.041017055309039,22.57876914475223,33.05295173863094
HIGH_SENSITIVITY,Industrials,26,1,-0.27614031692217395,-0.004515682458922088,50.0,0.3881582367470146,0.09523913422431196,53.84615384615385,1.4872938921902101,0.3696374677133685,54.166666666666664,1.4976685938234329,3.644497987187867,60.0,-13.483701082076786,-14.166203535247412,20.0,-15.786374682542665,-17.386664683710464,0.0,-5.259946443926417,10.056545093638302,29.874267802113643,-16.35411023640603,4.878289160133975,32.93906065136429
