Symbol,Rows,First_Date,Last_Date,SHA256
SPY,875,2023-01-03,2026-06-30,359c7fc816e8709280f2b1a3ef70f08d9844da2c1e9e73a7ce04826ef2c316e6
NVDA,875,2023-01-03,2026-06-30,2e9eb95331d20075e34c916c71360b634f079c5d147c96368a3142fc7844e99c
AAPL,875,2023-01-03,2026-06-30,9a6b9d12e56a35c1a6625c9fa1f9054db8bcec0ce88149d8a70395829fc7268f
MSFT,875,2023-01-03,2026-06-30,09baba0589b0c48e0bc2f3527fca4aa979270b4bd66495f41f18ad01c91beb0b
TSLA,875,2023-01-03,2026-06-30,3b70620b896c6c974ac2a5770dd874f0f116688d80437c20ad9ad70b0de3322e
AMZN,875,2023-01-03,2026-06-30,88951940450872058410d0b3b21b0bbd2f060b32286826b285089472daa03af9
META,875,2023-01-03,2026-06-30,a630710ec45af40b0de1f84e59e18c54ccd85867a11a222a51285e8bfef40c00
GOOGL,875,2023-01-03,2026-06-30,1eeb10581ee6b82299954603db958713382c862e2619a482a91e1d79b4f9016d
COST,875,2023-01-03,2026-06-30,4641c65ee877e05f8d08a5a3b4532341cfc2e7d9eee3a8a9f0bb4050af4435bc
WMT,875,2023-01-03,2026-06-30,034b8259bb3b0a4f148fa20ba344bb7e1b718d97d1ce12aec2b44c1565dbd0a7
XOM,875,2023-01-03,2026-06-30,c60df2493486173decc4ad5ff630dcdd491594d271602b99c0584b00080d3af6
VGT,875,2023-01-03,2026-06-30,46121bf68a3d7d52d108144ae186fa6aea456e7e1edf12a8bb7edccbd3411a0d
VOOG,875,2023-01-03,2026-06-30,b445c57ac5fc6eab967f60a2f45c05b4cc5422bf333ef63b217ea77640d6cfc3
VCR,875,2023-01-03,2026-06-30,b03b9f394af77e967700e9912fe56fe8befabac94a967682c51cc93fb5c758b7
VOX,875,2023-01-03,2026-06-30,a914b88fade3ca60b78c19e8a58dbcee11cb1629f6135e2264c6e95d69e4f6d9
VDC,875,2023-01-03,2026-06-30,c2fd353b8721eff191d450462aac80e0cbe9a9ea6fa6652ec09193117e717b20
VDE,875,2023-01-03,2026-06-30,d5ab8ecdfc480055ff0f1da697d8a6e5a6a84dcc11691dd654882289311411b6
