Run_ID,Ticker,Signal_Date,Random_Sample_Row,Historical_Replay_Mode,Intraday_Replay_Status,Live_Quote_Replay_Status,Final_Decision,Final_Decision_Reason,Score,Score_Before_ETF,Score_After_ETF,Score_Invariance_Pass,Long_Term_Status,Entry_Timing_Status,Weekly_Trend,Trend_Score,Relative_Strength_Score,Breakout_Score,Freshness_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Close,RS_126D_Excess_Pct,ATR_Pct,Relative_Volume_20,Close_Location_Pct,ETF_Production_Eligible,ETF_Assumption,Same_Quarter_ETF_Mappings,ETF_Validation_As_Of_Dates,Score_Message,Primary_Episode,Prior_Non_Active_Session_Count,Forward_5D_Return_Pct,Benchmark_5D_Return_Pct,Benchmark_Adjusted_5D_Return_Pct,Forward_5D_Exit_Date,Forward_10D_Return_Pct,Benchmark_10D_Return_Pct,Benchmark_Adjusted_10D_Return_Pct,Forward_10D_Exit_Date,Forward_21D_Return_Pct,Benchmark_21D_Return_Pct,Benchmark_Adjusted_21D_Return_Pct,Forward_21D_Exit_Date
V8FULL_20260711T192053Z_ffe1567_20260712,NVDA,2026-04-17,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,distribution cluster,40.0,40.0,40.0,True,Avoid,Clean,Uptrend,30,8,20,12,1,10,15,201.67999267578125,5.389676351461369,2.486257188900694,0.9778176814677377,99.17677642980935,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 16.77%,2026-05-29,,False,32,4.145418902906939,0.728007693677557,3.417411209229382,2026-04-24,-0.7650759135835794,1.674707896180827,-2.4397838097644065,2026-05-01,11.171123149295713,4.214282835652017,6.9568403136436965,2026-05-18
V8FULL_20260711T192053Z_ffe1567_20260712,AAPL,2026-04-30,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,not outperforming benchmark SPY,35.0,35.0,35.0,True,Avoid,Clean,Uptrend,25,0,8,12,11,10,15,271.3500061035156,-3.7256954389794927,2.1779977850355308,2.1175887695738145,40.83966205407756,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 15.25%,2026-05-29,,False,41,3.0768190276661,1.4322380713821525,1.6445809562839475,2026-05-07,6.938968342525298,3.732406642655972,3.206561699869326,2026-05-14,9.843654037500094,5.17018759477903,4.673466442721065,2026-06-01
V8FULL_20260711T192053Z_ffe1567_20260712,MSFT,2026-05-07,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,18.0,18.0,18.0,True,Avoid,Clean,Downtrend,0,0,0,12,6,10,-10,420.7699890136719,-26.53436477461215,2.8152474067196738,0.9811410077119855,21.800205877777444,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VGT 9.87%; VOOG 9.28%,2026-05-29,,False,46,-1.907094490355954,1.801530807875995,-3.708625298231949,2026-05-14,0.4072885382476077,1.0599619154174844,-0.6526733771698767,2026-05-21,-1.3536558652035402,0.5837260786873744,-1.9373819438909146,2026-06-08
V8FULL_20260711T192053Z_ffe1567_20260712,TSLA,2026-04-01,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly mixed | not outperforming benchmark SPY | distribution cluster,20.0,20.0,20.0,True,Avoid,Clean,Mixed,5,0,0,12,0,10,5,381.260009765625,-12.627451665008781,3.439722450385753,0.9500798400705358,79.24945853361135,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VCR 17.67%,2026-05-29,,False,21,-5.101597053017626,5.1808408031577935,-10.28243785617542,2026-04-09,6.781982663804054,8.545526390704516,-1.7635437269004628,2026-04-16,7.309169199603227,11.483252910859232,-4.174083711256005,2026-05-01
V8FULL_20260711T192053Z_ffe1567_20260712,AMZN,2026-05-13,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,not outperforming benchmark SPY,35.0,35.0,35.0,True,Avoid,Clean,Uptrend,30,13,8,12,15,10,15,270.1300048828125,-0.18456208639388194,2.7338680054369386,0.8464775851760749,92.15429255524217,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VCR 22.14%,2026-05-29,,False,7,-1.5381698772958585,-0.3227357406400344,-1.2154341366558241,2026-05-20,1.8019714707409484,1.4724602719542235,0.32951119878672497,2026-05-28,-11.369121879488276,-0.2554998119659313,-11.113622067522344,2026-06-12
V8FULL_20260711T192053Z_ffe1567_20260712,META,2026-05-01,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,below EMA200 | weekly downtrend | not outperforming benchmark SPY,18.0,18.0,18.0,True,Avoid,Wait - Daily Pullback Risk,Downtrend,0,0,0,12,6,10,-10,608.75,-23.85225474345941,3.2666459647257264,1.3231453695012025,20.673536496769014,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VOX 22.12%,2026-05-29,,False,42,0.2779883598084343,2.437261323823847,-2.159272964015413,2026-05-08,1.034637958036,2.6525164764066522,-1.6178785183706523,2026-05-15,-1.6958906334819557,5.485577735251335,-7.18146836873329,2026-06-02
V8FULL_20260711T192053Z_ffe1567_20260712,GOOGL,2026-05-12,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,MOMENTUM_ACTIVE,all confirmation gates passed,100.0,100.0,100.0,True,Momentum Candidate,Clean,Uptrend,30,25,8,12,5,10,15,387.3500061035156,28.902935781413607,2.7188416004966642,0.9352180638802374,79.65247112771739,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VOX 14.10%,2026-05-29,Quarter-assumption ETF mappings: VOX 14.10%.,False,1,0.5342317235442984,-0.6418663483177101,1.1760980718620084,2026-05-19,0.8376505232426945,1.6236342363542544,-0.7859837131115599,2026-05-27,-7.217327969225362,-0.09613944583609646,-7.121188523389266,2026-06-11
V8FULL_20260711T192053Z_ffe1567_20260712,COST,2026-05-28,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,REJECT,not outperforming benchmark SPY,35.0,35.0,35.0,True,Avoid,Wait - Daily Pullback Risk,Uptrend,22,0,8,12,6,10,15,995.2000122070312,-0.5309103351680768,2.332984359504846,1.358737711026398,5.24531133816199,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VDC 11.81%,2026-05-29,,False,5,-1.441360636621103,0.15742854914295723,-1.5987891857640602,2026-06-04,-1.1028112350912944,-2.3997901921618214,1.296978957070527,2026-06-11,-4.043302994445108,-1.97116337251243,-2.072139621932678,2026-06-29
V8FULL_20260711T192053Z_ffe1567_20260712,WMT,2026-04-01,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,MOMENTUM_ACTIVE,all confirmation gates passed,100.0,100.0,100.0,True,Momentum Candidate,Clean,Uptrend,30,25,8,12,5,10,15,124.73999786376953,22.678489524181877,1.9892822199481661,0.7983943744066991,76.66647290482904,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VDC 14.46%,2026-05-29,Quarter-assumption ETF mappings: VDC 14.46%.,False,0,3.180186423018627,5.1808408031577935,-2.0006543801391663,2026-04-09,-0.2636850395774437,8.545526390704516,-8.80921143028196,2026-04-16,5.153819016376904,11.483252910859232,-6.329433894482328,2026-05-01
V8FULL_20260711T192053Z_ffe1567_20260712,XOM,2026-04-29,True,DAILY_EOD_NO_ARCHIVED_INTRADAY_OR_LIVE_QUOTE,UNAVAILABLE,UNAVAILABLE,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 0.75x,84.0,84.0,84.0,True,Momentum Candidate,Clean,Uptrend,30,12,4,12,6,10,15,154.6699981689453,29.561292525241466,2.571832995793922,0.7367719473067751,92.89343640109678,False,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,VDE 21.86%,2026-05-29,,False,21,-2.453578963511438,2.6867066979897825,-5.1402856615012205,2026-05-06,-0.5641838174142655,3.873332002106511,-4.437515819520776,2026-05-13,-4.70379748964228,5.856173866195302,-10.559971355837583,2026-05-29
