Ticker,Quarter_Rows,Active_Rows,Wait_Rows,Reject_Rows,Primary_Active_Episodes,Random_Signal_Date,Random_Final_Decision,Random_Score,Random_21D_Return_Pct,Random_SPY_Adjusted_21D_Return_Pct,Same_Quarter_Mapping_Count,Same_Quarter_Mappings
NVDA,62,2,3,57,1,2026-04-17,REJECT,40.0,11.171123149295713,6.9568403136436965,1,VGT 16.77%
AAPL,62,0,14,48,0,2026-04-30,REJECT,35.0,9.843654037500094,4.673466442721065,1,VGT 15.25%
MSFT,62,0,0,62,0,2026-05-07,REJECT,18.0,-1.3536558652035402,-1.9373819438909146,2,VGT 9.87%; VOOG 9.28%
TSLA,62,0,0,62,0,2026-04-01,REJECT,20.0,7.309169199603227,-4.174083711256005,1,VCR 17.67%
AMZN,62,4,14,44,1,2026-05-13,REJECT,35.0,-11.369121879488276,-11.113622067522344,1,VCR 22.14%
META,62,0,0,62,0,2026-05-01,REJECT,18.0,-1.6958906334819557,-7.18146836873329,1,VOX 22.12%
GOOGL,62,16,18,28,1,2026-05-12,MOMENTUM_ACTIVE,100.0,-7.217327969225362,-7.121188523389266,1,VOX 14.10%
COST,62,10,18,34,0,2026-05-28,REJECT,35.0,-4.043302994445108,-2.072139621932678,1,VDC 11.81%
WMT,62,16,21,25,0,2026-04-01,MOMENTUM_ACTIVE,100.0,5.153819016376904,-6.329433894482328,1,VDC 14.46%
XOM,62,5,30,27,1,2026-04-29,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,-4.70379748964228,-10.559971355837583,1,VDE 21.86%
