Symbol,Rows,First_Date,Last_Date,SHA256
SPY,875,2023-01-03,2026-06-30,a2d7c89e572335df1e88252784fbbb83b3bcb163c67e5c5c4ddd90d4dd773d1c
NVDA,875,2023-01-03,2026-06-30,f44e02434f2f704b0db449c4bb22f9ece9a83a9a21ddefbdd8031a49f7bd76bd
AAPL,875,2023-01-03,2026-06-30,5fc269811cb80d05d3187ce65c24496529c88c7a16f873e3a070237ba0c5a919
MSFT,875,2023-01-03,2026-06-30,ff09c407ed0620ae06de8171dfe2e8310627b0420965eb3c57e62458d42e952e
TSLA,875,2023-01-03,2026-06-30,3b70620b896c6c974ac2a5770dd874f0f116688d80437c20ad9ad70b0de3322e
AMZN,875,2023-01-03,2026-06-30,88951940450872058410d0b3b21b0bbd2f060b32286826b285089472daa03af9
META,875,2023-01-03,2026-06-30,8d8a148b553c22d55864d8c1044af475775833a57524fd00d080bc1ca6a171c5
GOOGL,875,2023-01-03,2026-06-30,91d336a77705da6754970f2c32cf2cd1c73f263b7086b6bd779639a5fd992c9b
COST,875,2023-01-03,2026-06-30,69e46454047decd090b971729bbd42864a778ef0ce4eb8aba35ccddc58b13629
WMT,875,2023-01-03,2026-06-30,37e14512c04a392a966bfa9d9faa854adf19ae54bd981696c336d879dd362d94
PANW,875,2023-01-03,2026-06-30,a5b5d055fa71551954a049e82aad7de58c26167ba22034aeba9bc2cb4afafc00
VGT,875,2023-01-03,2026-06-30,9e29bd2fe92bfd2c25a8f78c76da70b52d129d39c0d553034266afc44869c845
VOOG,875,2023-01-03,2026-06-30,c07cf6b07d361a1ca9f2e98565e652839e99fcebcf04deb68cf560be0b11e56d
VCR,875,2023-01-03,2026-06-30,2e51d2c39573556f0fe95c0322e9de3914029ed6fe186acb953b41cbc32d2a9b
VOX,875,2023-01-03,2026-06-30,719d931eef1b25c6bd05d5c69f2782f80d622c9a602685e939f34ed14d05085d
VDC,875,2023-01-03,2026-06-30,b8b51f060d8be8b9990ed5452663f7d9eefb65e0472c8a912d7d989e08c1de77
HACK,875,2023-01-03,2026-06-30,85f970636df3f75424455f1595858f5e13d1b3121c0924cb1dcaf42a048c7a8e
