Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,4842178000000,Technology,Semiconductors
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4329894920000,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4280946280000,Technology,Computer Software: Programming Data Processing
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4249933332160,Technology,Computer Manufacturing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2770954713286,Technology,Computer Software: Prepackaged Software
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Q,N,N,2563849462976,Consumer Discretionary,Catalog/Specialty Distribution
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,2236703308460,Technology,Computer Software: Programming Data Processing
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1797175919795,Technology,Semiconductors
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,1579657460143,Industrials,Auto Manufacturing
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1429868462910,Technology,Computer Software: Programming Data Processing
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1303647220268,Technology,Semiconductors
LLY,LLY,Eli Lilly and Company Common Stock,NYSE, ,N,N,1129552894599,Health Care,Biotechnology: Pharmaceutical Preparations
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,947232217201,Technology,Semiconductors
WMT,WMT,Walmart Inc. - Common Stock,NASDAQ,Q,N,N,901332045095,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JPM,JP Morgan Chase & Co. Common Stock,NYSE, ,N,N,877084472454,Finance,Major Banks
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,766765319458,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,701780380000,Technology,Semiconductors
JNJ,JNJ,Johnson & Johnson Common Stock,NYSE, ,N,N,611360894125,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AZN,AstraZeneca PLC Ordinary Shares,NYSE, ,N,N,588097278560,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,574032667890,Technology,Semiconductors
XOM,XOM,Exxon Mobil Corporation Common Stock,NYSE, ,N,N,566697175989,Energy,Integrated oil Companies
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,541909931430,Technology,Industrial Machinery/Components
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,490532368987,Industrials,Construction/Ag Equipment/Trucks
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Q,N,N,462960915751,Telecommunications,Computer Communications Equipment
MA,MA,Mastercard Incorporated Common Stock,NYSE, ,N,N,453808667928,Consumer Discretionary,Business Services
ABBV,ABBV,AbbVie Inc. Common Stock,NYSE, ,N,N,444595745476,Health Care,Biotechnology: Pharmaceutical Preparations
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,422133025050,Technology,Computer Software: Prepackaged Software
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Q,N,N,414861116778,Consumer Discretionary,Department/Specialty Retail Stores
BAC,BAC,Bank of America Corporation Common Stock,NYSE, ,N,N,404363735294,Finance,Major Banks
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Q,N,N,394116293609,Technology,Electronic Components
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,389926424837,Technology,Consumer Electronics/Appliances
UNH,UNH,UnitedHealth Group Incorporated Common Stock (DE),NYSE, ,N,N,377452058635,Health Care,Medical Specialities
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,377282070702,Technology,Semiconductors
