Ticker,Quarter_Rows,Active_Rows,Wait_Rows,Reject_Rows,Primary_Active_Episodes,Random_Signal_Date,Random_Final_Decision,Random_Score,Random_21D_Return_Pct,Random_SPY_Adjusted_21D_Return_Pct,Same_Quarter_Mapping_Count,Same_Quarter_Mappings
NVDA,62,2,3,57,1,2026-05-29,REJECT,40.0,-7.249802855139964,-6.112601257637484,1,VGT 16.77%
AAPL,62,0,14,48,0,2026-04-07,REJECT,35.0,11.243952867495022,2.7518105830969475,1,VGT 15.25%
MSFT,62,0,0,62,0,2026-04-27,REJECT,20.0,-2.8028343244220433,-8.231174951385867,2,VGT 9.87%; VOOG 9.28%
TSLA,62,0,0,62,0,2026-04-30,REJECT,20.0,8.729644043227736,3.5594564484487066,1,VCR 17.67%
AMZN,62,4,14,44,1,2026-04-09,REJECT,19.0,15.886098231711943,7.622729009064511,1,VCR 22.14%
META,62,0,0,62,0,2026-04-09,REJECT,12.0,-3.915073520782175,-12.178442743429606,1,VOX 22.12%
GOOGL,62,16,18,28,1,2026-05-06,MOMENTUM_ACTIVE,100.0,-7.849073213263857,-8.18918613640075,1,VOX 14.10%
COST,62,10,18,34,0,2026-04-09,MOMENTUM_ACTIVE,100.0,-1.7262405207648324,-9.989609743412265,1,VDC 11.81%
WMT,62,16,21,25,0,2026-05-27,REJECT,35.0,-2.748820333080537,0.0849030612046997,1,VDC 14.46%
PANW,62,8,9,45,1,2026-05-19,REJECT,45.0,21.832263917548154,20.33303624192888,1,HACK 9.65%
