Stock_Code,Provider,Source_URL,ETF_Ticker,ETF_Name,ETF_Exchange_Provider,Listing_Exchange_Local,Holding_Weight_Pct_Direct,Top10_Evidence,Top10_Proof_Threshold_Pct,Validation_URL,Validation_HTTP_Status,Validation_Latency_Ms,Validation_HTML_SHA256,Validation_As_Of_Date,Validation_Freshness_Age_Days,Validation_Freshness_Max_Days,Validation_Freshness_Pass,Validation_Top10_Match,Validation_Rank,Validation_Weight_Pct,Validation_Status
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,SMH,VanEck Semiconductor ETF,NASDAQ,NASDAQ,19.2,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/NASDAQ-SMH/holdings/,200,130.79680000373628,7ae34faf02291ab0bb865d511d1a8e711200a41e15a5c58d11f63b01f749c57d,2026-07-09,2,60,True,True,1,19.199895523771367,PASS
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,16.77,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,107.5593999994453,a6a5f326a7007cc10bc976f4be1cfea3e7a165dd7fe42edb2d7abba9bcb8531b,2026-05-29,43,60,True,True,1,16.770390521284686,PASS
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,FTEC,Fidelity MSCI Information Technology Index ETF,AMEX,NYSE ARCA,16.6,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-FTEC/holdings/,200,107.76299999270122,0b55acf65d87438eef3b967966646b13e0f98541c9eb4a465fe0c20e55b5e400,2026-07-09,2,60,True,True,1,16.600810133124124,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,FTEC,Fidelity MSCI Information Technology Index ETF,AMEX,NYSE ARCA,15.94,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-FTEC/holdings/,200,106.44049999245908,0b55acf65d87438eef3b967966646b13e0f98541c9eb4a465fe0c20e55b5e400,2026-07-09,2,60,True,True,2,15.943418686483572,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,15.25,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,105.35179999715183,a6a5f326a7007cc10bc976f4be1cfea3e7a165dd7fe42edb2d7abba9bcb8531b,2026-05-29,43,60,True,True,2,15.253377165639124,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,IYW,iShares U.S. Technology ETF,AMEX,NYSE ARCA,12.78,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-IYW/holdings/,200,115.27149999164976,48e40b0c0a2a8da582c07a6de902e754fe7df9d69ff22a37085f0de7b7b7e4da,2026-07-10,1,60,True,True,2,12.783181450591728,PASS
MSFT,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MSFT/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,9.87,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,108.45489999337588,a6a5f326a7007cc10bc976f4be1cfea3e7a165dd7fe42edb2d7abba9bcb8531b,2026-05-29,43,60,True,True,3,9.867849348691337,PASS
MSFT,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MSFT/etfs/,VOOG,Vanguard S&P 500 Growth ETF,AMEX,NYSE ARCA,9.28,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VOOG/holdings/,200,148.61439999367576,bc97636fdb81e12b45577d8209adbe85b4a8ded5e31939fff71e4bdb868743f5,2026-05-29,43,60,True,True,2,9.28016459735033,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,AMEX,NYSE ARCA,19.05,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLY/holdings/,200,103.21539999858942,f6a9e681fa73f2c2ad171fdccd2164f5dad0408c0ac3709e830ddb1b295866a2,2026-07-09,2,60,True,True,2,19.049876744900548,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,VCR,Vanguard Consumer Discretion ETF,AMEX,NYSE ARCA,17.67,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VCR/holdings/,200,114.73850000766106,b3becf0f09dbc2709c557a7997e139bd9ed9914ec261f32fde0529c4f433c6ea,2026-05-29,43,60,True,True,2,17.668595253549494,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,ARKK,ARK Innovation ETF,CBOE,BATS,10.37,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/CBOE-ARKK/holdings/,200,126.70680000155699,a9580139148ecdda2e34f467e8b9416a566535baef5feab1e0b23bd05d91009d,2026-07-10,1,60,True,True,1,10.372659923255332,PASS
AMZN,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AMZN/etfs/,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,AMEX,NYSE ARCA,23.11,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLY/holdings/,200,111.13320000004023,f6a9e681fa73f2c2ad171fdccd2164f5dad0408c0ac3709e830ddb1b295866a2,2026-07-09,2,60,True,True,1,23.112387713768367,PASS
AMZN,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AMZN/etfs/,VCR,Vanguard Consumer Discretion ETF,AMEX,NYSE ARCA,22.14,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VCR/holdings/,200,116.61150000873022,b3becf0f09dbc2709c557a7997e139bd9ed9914ec261f32fde0529c4f433c6ea,2026-05-29,43,60,True,True,1,22.13661099897336,PASS
