MACD_Variant,Sector,Stage,Rows,Selected,Not_Selected,D1_Selected_Positive,D1_Selected_Positive_Rate_Pct,D1_False_Positive,D1_False_Positive_Rate_Pct,D1_False_Negative,D1_False_Negative_Rate_Among_Not_Selected_Pct,D1_Selected_Mean_Return_Pct,D3_Selected_Positive,D3_Selected_Positive_Rate_Pct,D3_False_Positive,D3_False_Positive_Rate_Pct,D3_False_Negative,D3_False_Negative_Rate_Among_Not_Selected_Pct,D3_Selected_Mean_Return_Pct
STANDARD_12_26_9,ALL,FOUNDATION,1200,301,899,170,56.478405315614616,131,43.521594684385384,535,59.51056729699666,0.4856483553632549,171,56.81063122923588,130,43.18936877076412,600,66.74082313681869,0.5796866735186907
STANDARD_12_26_9,ALL,HEALTH_QUALIFIED,1200,87,1113,53,60.91954022988506,34,39.08045977011494,652,58.58041329739443,0.5483936076301796,55,63.2183908045977,32,36.7816091954023,716,64.33063791554358,0.9682501754587534
STANDARD_12_26_9,Technology,FOUNDATION,600,146,454,94,64.38356164383562,52,35.61643835616438,273,60.13215859030837,0.8666349522445772,84,57.534246575342465,62,42.465753424657535,303,66.74008810572687,0.4902444922219954
STANDARD_12_26_9,Technology,HEALTH_QUALIFIED,600,42,558,30,71.42857142857143,12,28.571428571428573,337,60.39426523297491,1.0706764222122067,30,71.42857142857143,12,28.571428571428573,357,63.97849462365591,1.1844358107027455
STANDARD_12_26_9,Industrials,FOUNDATION,600,155,445,76,49.03225806451613,79,50.96774193548387,262,58.87640449438202,0.1267835608814932,87,56.12903225806452,68,43.87096774193548,297,66.74157303370787,0.6639354378368683
STANDARD_12_26_9,Industrials,HEALTH_QUALIFIED,600,45,555,23,51.111111111111114,22,48.888888888888886,315,56.75675675675676,0.06092964735362102,25,55.55555555555556,20,44.44444444444444,359,64.68468468468468,0.7664769158976941
FIBONACCI_8_21_5,ALL,FOUNDATION,1200,274,926,147,53.64963503649635,127,46.35036496350365,558,60.259179265658744,0.4448337269999014,147,53.64963503649635,127,46.35036496350365,624,67.3866090712743,0.5907704871819368
FIBONACCI_8_21_5,ALL,HEALTH_QUALIFIED,1200,77,1123,43,55.84415584415584,34,44.15584415584416,662,58.94924309884239,0.5071406380706058,47,61.03896103896104,30,38.96103896103896,724,64.47016918967053,1.0578737599218093
FIBONACCI_8_21_5,Technology,FOUNDATION,600,125,475,76,60.8,49,39.2,291,61.26315789473684,0.8363471042804199,66,52.8,59,47.2,321,67.57894736842105,0.2571882561254945
FIBONACCI_8_21_5,Technology,HEALTH_QUALIFIED,600,34,566,21,61.76470588235294,13,38.23529411764706,346,61.130742049469966,1.0289546651239743,22,64.70588235294117,12,35.294117647058826,365,64.48763250883393,1.0469204849735148
FIBONACCI_8_21_5,Industrials,FOUNDATION,600,149,451,71,47.651006711409394,78,52.348993288590606,267,59.20177383592018,0.11638290713369467,81,54.36241610738255,68,45.63758389261745,303,67.1840354767184,0.8706213521621737
FIBONACCI_8_21_5,Industrials,HEALTH_QUALIFIED,600,43,557,22,51.16279069767442,21,48.83720930232558,316,56.73249551166966,0.09454350040050079,25,58.13953488372093,18,41.86046511627907,359,64.4524236983842,1.0665344889506931
