Stage,Sector,Ticker,As_Of_Date,Transition,Standard_MACD_Line,Standard_MACD_Signal,Fibonacci_MACD_Line,Fibonacci_MACD_Signal,D1_Return_Pct,D3_Return_Pct
FOUNDATION,Technology,NVDA,2023-03-15,NEITHER,0.878375412066017,0.9706657521277515,0.7312045968871637,0.7537851864355204,6.301244067270262,7.795393340736134
FOUNDATION,Technology,NVDA,2023-06-15,BOTH,3.048099838745415,2.8102395573048535,3.0953358222907355,2.9492168319115137,-1.744532581947733,-0.932111822514825
FOUNDATION,Technology,NVDA,2023-10-27,NEITHER,-0.873899814694866,-0.4502067064476959,-1.1955122848385216,-0.8619272063480528,0.18009953103375054,3.0131158472267883
FOUNDATION,Technology,NVDA,2024-01-31,STANDARD_ONLY,3.3870782151008783,3.0390562287769067,3.520961416275391,3.5982602183120918,1.4927568049962536,11.645736611917279
FOUNDATION,Technology,NVDA,2024-04-19,NEITHER,-0.5869509815636178,0.9189154476500629,-2.000464732460543,-0.8202262987039393,1.810408599108726,2.013988721772564
FOUNDATION,Technology,NVDA,2024-08-05,NEITHER,-4.269060458428697,-2.2261006483030656,-5.996942773731803,-4.888928301360962,0.3948417532443349,1.0882173754470426
FOUNDATION,Technology,NVDA,2024-11-06,FIBONACCI_ONLY,3.6566535410402707,4.108192315072146,3.053209726264839,2.97603479287096,1.7009396157837031,-0.7719139883351933
FOUNDATION,Technology,NVDA,2025-03-10,NEITHER,-5.780210822327859,-3.5658285628320767,-7.390302916248402,-5.920650784131277,1.6543642469408315,8.028791605569353
FOUNDATION,Technology,NVDA,2025-04-09,NEITHER,-5.094321746825145,-4.744604572391434,-5.081849422482875,-5.667477484350637,-1.6457922707824757,1.2251954870984738
FOUNDATION,Technology,NVDA,2025-08-01,NEITHER,6.614026472124607,7.059124046285089,5.772190786611986,6.324969045954488,2.763185793959666,2.432058927706837
FOUNDATION,Technology,NVDA,2026-02-05,NEITHER,-1.4768779214317647,0.1434898508902272,-2.8052652358434216,-0.7862173468842601,4.935197860781515,6.706656110130638
FOUNDATION,Technology,NVDA,2026-05-07,NEITHER,5.310430147096412,5.611255821243928,4.835725627146303,4.9798115005236525,1.0186350191897064,3.637985281138345
FOUNDATION,Technology,GOOGL,2023-03-15,NEITHER,-0.4324465361944476,-0.7815932707831732,-0.1358807770388637,-0.6098195512709511,4.282747273680965,5.2182998250631885
FOUNDATION,Technology,GOOGL,2023-06-15,NEITHER,2.758497860495652,3.3849988231920274,2.0190863338476106,2.3259768176716413,-1.9058219011060085,-4.272212531072994
FOUNDATION,Technology,GOOGL,2023-10-27,NEITHER,-1.7729907869006354,0.1631381948991898,-3.3879212300203676,-1.3883164790946867,1.0145280490936548,2.6296549694381666
FOUNDATION,Technology,GOOGL,2024-01-31,NEITHER,2.9733833439768773,3.050509262793251,2.747630120770367,3.5800096439784808,-0.6754795159446436,1.097662265825039
FOUNDATION,Technology,GOOGL,2024-04-19,NEITHER,2.790985710046158,3.2336983201548812,2.2750275237817164,2.8669053008942496,1.2766517088143248,3.1235871949181426
FOUNDATION,Technology,GOOGL,2024-08-05,NEITHER,-4.121617936124039,-2.303527460361834,-5.600244845318343,-4.576942925401137,-0.6527386763132359,1.6945941864138891
FOUNDATION,Technology,GOOGL,2024-11-06,BOTH,2.5244391742564005,1.7470907609998498,3.0903011941598493,2.53197567976448,1.8826426181986378,1.6571796295127061
FOUNDATION,Technology,GOOGL,2025-03-10,NEITHER,-5.60660193471054,-5.108320915245437,-5.841676858411432,-6.004707282414003,-0.5275667677257179,-1.3037469574487925
FOUNDATION,Technology,GOOGL,2025-04-09,NEITHER,-6.191614483831216,-5.995160583984454,-5.970660583945119,-6.427433825792481,-2.37638055542424,1.616209369232191
FOUNDATION,Technology,GOOGL,2025-08-01,STANDARD_ONLY,4.897752048755251,4.8811331286120785,4.6372159363533285,5.328379149448155,2.4961901138214726,3.0479811111436383
FOUNDATION,Technology,GOOGL,2026-02-05,NEITHER,5.311332009682246,6.090081563463493,4.22721407799628,5.348198490854454,-1.3203763741445051,-2.628524450160308
FOUNDATION,Technology,GOOGL,2026-05-07,BOTH,21.476189414514124,16.680715876494332,24.68812663586607,22.220915424540088,0.9571757664908809,-2.430728941179938
FOUNDATION,Technology,AAPL,2023-03-15,FIBONACCI_ONLY,1.4155338574599625,1.4742743453721139,1.2354109676470557,1.055430829435756,2.4250804104870793,3.4437369270909457
FOUNDATION,Technology,AAPL,2023-06-15,BOTH,3.6655697780429364,3.2514766637241665,3.786010726559141,3.4539329892982606,-0.9693126974815169,-1.483419416831988
FOUNDATION,Technology,AAPL,2023-10-27,NEITHER,-1.9346340455035431,-1.0424189749144324,-2.5670514452540942,-1.6737878756990847,0.7513838489937807,2.9286456177475717
FOUNDATION,Technology,AAPL,2024-01-31,NEITHER,0.0912856614742168,0.2346433695887214,-0.0742431824384937,0.6968522671717967,1.559864683679324,2.0055367533288404
FOUNDATION,Technology,AAPL,2024-04-19,NEITHER,-1.8782766854818362,-1.7202686309372632,-1.8555834788554364,-1.295252039803329,0.19332531245161988,2.114548036283681
FOUNDATION,Technology,AAPL,2024-08-05,NEITHER,0.2765374994359604,2.4141890755375255,-1.7735579936573345,-0.5128586740904826,0.9400840950278377,3.9016046701258578
FOUNDATION,Technology,AAPL,2024-11-06,NEITHER,-0.9850588539468106,0.466079033953964,-2.2242829354883895,-1.1849049925322337,1.2687489572968502,-0.17807467683675915
FOUNDATION,Technology,AAPL,2025-03-10,NEITHER,-0.7257055818018046,0.5604471144348808,-1.7615872129497632,-0.41947078322139875,-1.327019013047226,-6.3133930731191885
FOUNDATION,Technology,AAPL,2025-04-09,NEITHER,-10.222103817096325,-7.085919634128257,-12.404709149641917,-10.125216575800618,0.7140163920402287,7.113765498077118
FOUNDATION,Technology,AAPL,2025-08-01,NEITHER,0.6493859847225281,1.8371499385086882,-0.4054385736660038,0.9949421503929808,-0.5672037721763279,4.273632452164522
FOUNDATION,Technology,AAPL,2026-02-05,BOTH,1.239341249211975,-1.9313189454114028,3.9207103959755045,1.196840243076458,0.36085450982239475,-1.2413403947815316
FOUNDATION,Technology,AAPL,2026-05-07,BOTH,6.503495944106646,4.811071278525997,7.706809375733769,6.474441790082158,1.1413390735267148,1.651659551756457
FOUNDATION,Technology,MSFT,2023-03-15,BOTH,1.3774152264641373,0.7462679803424077,1.7577414376616503,0.32793524862495277,4.143893935389165,2.646966463342726
FOUNDATION,Technology,MSFT,2023-06-15,BOTH,8.174736775287613,7.868914534914005,7.880726422861812,6.879890713928829,-2.5589264956540347,-5.055222986271623
FOUNDATION,Technology,MSFT,2023-10-27,STANDARD_ONLY,1.847128922012132,1.546160208920436,2.073009835461221,2.3656535884562437,1.1697291183970338,3.797127717541282
FOUNDATION,Technology,MSFT,2024-01-31,STANDARD_ONLY,8.440359589405432,7.678775390956831,8.625531440037378,9.23298857980998,0.48528289878648767,0.9506526271980231
