Mutual Fund Top Performance Analysis
Analysis Dates: 02-01-2026 to 29-04-2026
Filtered Fund Universe: 2059
Qualified Funds: 50

Scheme Name,Category,NAV (2026-01-02),NAV (2026-04-29),Growth %,NAV (2025-12-30),NAV (2026-04-28),NAV (2025-12-31)
Nippon India Taiwan Equity Fund- Direct Plan- Growth Option,Equity Scheme - Sectoral/ Thematic,18.97050,34.91110,84.03,,,
Motilal Oswal Nasdaq 100 Fund of Fund- Direct Plan Growth,Other Scheme - FoF Domestic,49.61600,63.56570,28.12,,,
ICICI Prudential Strategic Metal and Energy Equity Fund of Fund - Direct Plan Growth,Other Scheme - FoF Overseas,24.39690,31.02850,27.18,,,
PGIM India Emerging Markets Equity Fund of Fund - Direct Plan - Growth,Other Scheme - FoF Overseas,21.48000,27.05000,25.93,,,
HSBC Brazil Fund - Growth Direct,Other Scheme - FoF Overseas,9.85070,12.29900,24.85,,,
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,23.58530,29.22130,23.9,,,
Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,60.15800,73.01100,21.37,,,
HSBC Global Emerging Market Fund - Growth Direct,Other Scheme - FoF Overseas,29.62770,35.69630,20.48,,,
Motilal Oswal Nifty India Defence Index Fund Direct Plan Growth,Other Scheme - Index Funds,10.19930,11.81810,15.87,,,
Aditya Birla Sun Life Nifty India Defence Index Fund-Direct Growth,Other Scheme - Index Funds,11.13130,12.89630,15.86,,,
PGIM India Global Select Real Estate Securities Fund of Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,11.85000,13.69000,15.53,,,
Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Bonus Option,Equity Scheme - Sectoral/ Thematic,,,14.46,25.28220,28.93790,
Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Growth Option,Equity Scheme - Sectoral/ Thematic,,,14.46,25.28220,28.93790,
Axis Greater China Equity Fund of Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,10.78000,12.32000,14.29,,,
HDFC Defence Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,24.19900,27.52000,13.72,,,
ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,19.76520,22.42590,13.46,,,
Motilal Oswal Nifty Capital Market Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,11.11590,12.57020,13.08,,,
Tata Nifty Capital Markets Index Fund - Direct Plan Growth Option,Other Scheme - Index Funds,12.73940,14.39340,12.98,,,
Franklin Asian Equity Fund - Direct - Growth,Equity Scheme - Sectoral/ Thematic,39.94100,44.92160,12.47,,,
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct plan - Growth Option,Other Scheme - FoF Overseas,,33.39870,12.16,,,29.77750
Edelweiss US Value Equity Offshore Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,40.48270,45.07690,11.35,,,
Invesco India - Invesco Global Equity Income Fund of Fund - Direct Plan - Growth,Other Scheme - FoF Overseas,35.90780,39.98050,11.34,,,
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,114.27900,126.40000,10.61,,,
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,10.89000,11.99000,10.1,,,
Motilal Oswal S&P 500 Index Fund - Direct Plan Growth,Other Scheme - Index Funds,28.49220,31.20010,9.5,,,
Invesco India - Invesco Pan European Equity Fund of Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,24.48390,26.76800,9.33,,,
DSP India T.I.G.E.R. Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,348.09000,380.26200,9.24,,,
Motilal Oswal Developed Market Ex US ETFs Fund of Funds Direct Plan Growth,Other Scheme - FoF Overseas,15.92400,17.37000,9.08,,,
Baroda BNP Paribas Aqua Fund of Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,14.81640,16.15520,9.04,,,
Axis Global Innovation Fund of Fund - Direct Plan - Growth,Other Scheme - FoF Overseas,16.93000,18.43000,8.86,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,Equity Scheme - Small Cap Fund,50.80000,55.22000,8.7,,,
Nippon India Power & Infra Fund - Direct Plan Growth Plan - Bonus Option,Equity Scheme - Sectoral/ Thematic,383.79900,415.65760,8.3,,,
Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,383.79900,415.65760,8.3,,,
CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Equity Scheme - Sectoral/ Thematic,181.42000,196.40000,8.26,,,
Aditya Birla Sun Life Global Excellence Equity Fund Of Fund - Retail Plan - Direct Plan - Growth Option,Other Scheme - FoF Overseas,,43.71580,8.24,,,40.38650
Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,Other Scheme - FoF Overseas,91.75830,98.63640,7.5,,,
Kotak MNC Fund-Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,11.01800,11.82100,7.29,,,
Axis Global Equity Alpha Fund of Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,23.38390,25.05950,7.17,,,
Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,106.12000,113.71000,7.15,,,
Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,Equity Scheme - Sectoral/ Thematic,50.93410,54.54070,7.08,,,
Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,Equity Scheme - ELSS,58.56880,62.60650,6.89,,,
Baroda BNP Paribas Energy Opportunities Fund - Direct Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,11.89710,12.71410,6.87,,,
Union Small Cap Fund - Direct Plan - Growth Option,Equity Scheme - Small Cap Fund,54.92000,58.63000,6.76,,,
HSBC Infrastructure Fund - Direct Growth,Equity Scheme - Sectoral/ Thematic,52.95140,56.46830,6.64,,,
quant Commodities Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,14.12320,15.05420,6.59,,,
Kotak Nifty Commodities Index Fund-Direct Growth,Other Scheme - Index Funds,12.12600,12.92100,6.56,,,
Invesco India Infrastructure Fund - Direct Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,73.67000,78.47000,6.52,,,
Kotak Energy Opportunities Fund-Direct-Growth,Equity Scheme - Sectoral/ Thematic,10.48600,11.16800,6.5,,,
Quant Value Fund - Growth Option  - Direct Plan,Equity Scheme - Value Fund,21.56250,22.93080,6.35,,,
LIC MF Manufacturing Fund-Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,10.31310,10.96430,6.31,,,
