Mutual Fund Top Performance Analysis
====================================
Analysis Start Date : 02-02-2026
Analysis End Date   : 07-05-2026
Total Funds Available : 14361
Funds After Filtering : 2052
Funds Excluded : 12309
Top Funds Selected : 50

Scheme Name,Category,NAV (2026-02-02),NAV (2026-05-07),Growth %,NAV (2026-05-06),NAV (2026-01-30),NAV (2026-04-30)
Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,62.00600,76.39900,23.21,,,
Motilal Oswal Nifty Capital Market Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,10.71010,13.12340,22.53,,,
Tata Nifty Capital Markets Index Fund - Direct Plan Growth Option,Other Scheme - Index Funds,12.26930,15.02610,22.47,,,
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan - Growth Option,Other Scheme - FoF Overseas,25.49590,31.08880,21.94,,,
quant Commodities Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,12.54110,15.24910,21.59,,,
PGIM India Emerging Markets Equity Fund of Fund - Direct Plan - Growth,Other Scheme - FoF Overseas,,28.92000,21.41,,23.82000,
HSBC Global Emerging Market Fund - Growth Direct,Other Scheme - FoF Overseas,31.90990,38.70700,21.3,,,
Quant Value Fund - Growth Option  - Direct Plan,Equity Scheme - Value Fund,19.73320,23.91530,21.19,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,Equity Scheme - Small Cap Fund,47.14000,57.09000,21.11,,,
quant PSU Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,9.76680,11.78990,20.71,,,
Motilal Oswal Nifty India Defence Index Fund Direct Plan Growth,Other Scheme - Index Funds,10.27950,12.35220,20.16,,,
Aditya Birla Sun Life Nifty India Defence Index Fund-Direct Growth,Other Scheme - Index Funds,11.21910,13.47900,20.14,,,
HDFC Defence Fund - Growth Option - Direct Plan,Equity Scheme - Sectoral/ Thematic,24.12900,28.86500,19.63,,,
