ENGINE_NAME,PMDE vNext,,,,,,,,,,,,,,,,,,,,,,
VERSION,V_NEXT,,,,,,,,,,,,,,,,,,,,,,
RUN_TIMESTAMP,20260510_180448,,,,,,,,,,,,,,,,,,,,,,
INPUT_FILE,D:/Tools/StockCodeMaster/01_nasdaq_EnergyCodes.csv,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL_SYMBOLS,118,,,,,,,,,,,,,,,,,,,,,,
SUCCESS_COUNT,108,,,,,,,,,,,,,,,,,,,,,,
FAILED,10,,,,,,,,,,,,,,,,,,,,,,
COUNTERTREND_RECOVERY,64,59.26%,,,,,,,,,,,,,,,,,,,,,
PRE_BEAR,25,23.15%,,,,,,,,,,,,,,,,,,,,,
STRUCTURAL_BULLISH,13,12.04%,,,,,,,,,,,,,,,,,,,,,
TRANSITIONAL,6,5.56%,,,,,,,,,,,,,,,,,,,,,
RUN_MODE,ADHOC_LIVE_VALIDATION,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Zone,L1_State,L2_Hypothesis,L2_MACD,L3_Substantiation,Final_State,Momentum_State,Participation_State,Trend_Strength_State,Exhaustion_State,Volatility_State,EMA200,EMA200_D_Pct,MACD_1H,SIGNAL_1H,HISTOGRAM_1H,MACD_4H,SIGNAL_4H,HISTOGRAM_4H,MACD_1D,SIGNAL_1D,HISTOGRAM_1D,PMDE_Explanation
AES,BULL_ZONE,REGIME_STABLE,COUNTERTREND_RECOVERY,BEARISH,Bearish crossover pressure confirmed in 1D and 4H cycles. 1H bullish crossover detected. Possible early reversal propagation emerging from lower timeframe.,COUNTERTREND_RECOVERY,BEARISH,NOT_USED,ACTIVE,NEUTRAL,NORMAL,13.66,4.89,-0.0121,-0.0155,0.0034,-0.0402,-0.0398,-0.0003,0.0271,0.0277,-0.0006,Zone=BULL_ZONE; L1=REGIME_STABLE; L2=COUNTERTREND_RECOVERY
AM,BULL_ZONE,REGIME_UNSTABLE,COUNTERTREND_RECOVERY,BEARISH,Bearish crossover pressure confirmed in 1D and 4H cycles. 1H bullish crossover detected. Possible early reversal propagation emerging from lower timeframe.,COUNTERTREND_RECOVERY,BEARISH,NOT_USED,ACTIVE,NEUTRAL,NORMAL,19.58,6.87,-0.1476,-0.1512,0.0035,-0.2086,-0.1257,-0.0829,-0.1441,-0.0883,-0.0558,Zone=BULL_ZONE; L1=REGIME_UNSTABLE; L2=COUNTERTREND_RECOVERY
AMSC,BULL_ZONE,REGIME_UNSTABLE,COUNTERTREND_RECOVERY,BEARISH,Bearish crossover pressure confirmed in 1D and 4H cycles. 1H bullish crossover detected. Possible early reversal propagation emerging from lower timeframe.,COUNTERTREND_RECOVERY,BEARISH,NOT_USED,ACTIVE,NEUTRAL,NORMAL,37.55,46.97,0.2585,0.1401,0.1184,2.7047,2.9613,-0.2566,5.3513,5.3897,-0.0384,Zone=BULL_ZONE; L1=REGIME_UNSTABLE; L2=COUNTERTREND_RECOVERY
AMTX,BULL_ZONE,REGIME_UNSTABLE,PRE_BEAR,BEARISH,Bearish crossover confirmed in higher timeframes.,PRE_BEAR,BEARISH,NOT_USED,ACTIVE,NEUTRAL,NORMAL,2.15,20.73,-0.2199,-0.2141,-0.0058,-0.0445,0.0751,-0.1196,0.1434,0.2124,-0.069,Zone=BULL_ZONE; L1=REGIME_UNSTABLE; L2=PRE_BEAR
APA,BULL_ZONE,REGIME_UNSTABLE,COUNTERTREND_RECOVERY,BEARISH,Bearish crossover pressure confirmed in 1D and 4H cycles. 1H bullish crossover detected. Possible early reversal propagation emerging from lower timeframe.,COUNTERTREND_RECOVERY,BEARISH,NOT_USED,ACTIVE,NEUTRAL,NORMAL,28.69,23.94,-1.0518,-1.141,0.0892,-1.0651,-0.4898,-0.5754,-0.2739,0.2813,-0.5552,Zone=BULL_ZONE; L1=REGIME_UNSTABLE; L2=COUNTERTREND_RECOVERY
