symbol,timestamp,data_fetch_timestamp,engine_mode,latest_price,l1_state,l1_reason,tactical_state,confidence,capital_action,message,indicators_used
NVDA,2026-05-15T19:55:42.988109+00:00,2026-05-15T19:55:41.532549+00:00,QUICK_CROSSOVER,225.16,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,HIGH,HOLD_WITH_RISK_CONTROL,"NVDA: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (HIGH); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF distribution; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=23.935%, slope=RISING. Extended support: PPO=BULLISH, RSI=64.5079, ADX=31.158 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=DISTRIBUTION, ATRP=3.3293% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -4.488%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
AVGO,2026-05-15T19:55:46.167959+00:00,2026-05-15T19:55:44.709135+00:00,QUICK_CROSSOVER,425.345,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"AVGO: L1=QUICK_CROSSOVER_REVIEW; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=26.317%, slope=RISING. Extended support: PPO=BEARISH, RSI=58.7216, ADX=26.6952 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=3.7046% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -3.2845%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
MU,2026-05-15T19:55:49.400089+00:00,2026-05-15T19:55:47.849806+00:00,QUICK_CROSSOVER,724.59,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"MU: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; price sharply lower today; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=108.5409%, slope=RISING. Extended support: PPO=BEARISH, RSI=66.2723, ADX=42.2631 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=6.2769% HIGH, 52W=MID_RANGE, Session=EXTENDED_DOWN -6.6262%, Gap=GAP_DOWN -5.6211%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
AMD,2026-05-15T19:55:52.481822+00:00,2026-05-15T19:55:51.015442+00:00,QUICK_CROSSOVER,424.46,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"AMD: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; price sharply lower today; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=83.2919%, slope=RISING. Extended support: PPO=BEARISH, RSI=67.4087, ADX=53.3878 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=5.445% HIGH, 52W=MID_RANGE, Session=EXTENDED_DOWN -5.6126%, Gap=GAP_DOWN -3.638%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
INTC,2026-05-15T19:55:55.605379+00:00,2026-05-15T19:55:54.171199+00:00,QUICK_CROSSOVER,108.68,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"INTC: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; price sharply lower today; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=114.8547%, slope=RISING. Extended support: PPO=BEARISH, RSI=62.1703, ADX=60.0324 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=7.0464% HIGH, 52W=MID_RANGE, Session=EXTENDED_DOWN -6.2538%, Gap=GAP_DOWN -5.3006%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
AMAT,2026-05-15T19:55:57.444834+00:00,2026-05-15T19:55:56.858380+00:00,QUICK_CROSSOVER,436.82,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BULL_STRUCTURE_PULLBACK_RISK,HIGH,HOLD_WITH_RISK_CONTROL,"AMAT: L1=QUICK_CROSSOVER_REVIEW; L2=BULL_STRUCTURE_PULLBACK_RISK (HIGH); Capital_Action=HOLD_WITH_RISK_CONTROL. The 1D MACD structure remains bullish, but momentum is cooling on lower timeframes or support indicators. This is a risk-control condition, not a capital-protection crossover warning yet. Support profile: PPO bullish; RSI constructive; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BULLISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=43.7792%, slope=RISING. Extended support: PPO=BULLISH, RSI=61.8264, ADX=18.5328 BULLISH/WEAK, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.9752% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -0.8489%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
TXN,2026-05-15T19:55:58.680514+00:00,2026-05-15T19:55:58.110077+00:00,QUICK_CROSSOVER,303.18,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"TXN: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=46.9028%, slope=RISING. Extended support: PPO=BEARISH, RSI=75.1846, ADX=57.5701 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=3.1099% MEDIUM, 52W=NEAR_HIGH, Session=NORMAL -1.6192%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
ARM,2026-05-15T19:55:59.780276+00:00,2026-05-15T19:55:59.221891+00:00,QUICK_CROSSOVER,209.98,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"ARM: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; high volatility risk; price sharply lower today; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=41.7652%, slope=RISING. Extended support: PPO=BEARISH, RSI=55.167, ADX=34.346 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=7.1474% HIGH, 52W=MID_RANGE, Session=EXTENDED_DOWN -8.105%, Gap=GAP_DOWN -6.0131%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
ADI,2026-05-15T19:56:00.927487+00:00,2026-05-15T19:56:00.385254+00:00,QUICK_CROSSOVER,417.48,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,BEAR_CROSSOVER_CONFIRMED,MEDIUM,PROTECT_CAPITAL,"ADI: L1=QUICK_CROSSOVER_REVIEW; L2=BEAR_CROSSOVER_CONFIRMED (MEDIUM); Capital_Action=PROTECT_CAPITAL. Bearish crossover pressure is confirmed on the higher timeframes. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV distribution; CMF accumulation; EMA200 structure supportive; price near 52-week high. MACD states: 1D=BEARISH, 4H=BEARISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=37.1254%, slope=RISING. Extended support: PPO=BEARISH, RSI=63.2474, ADX=40.7274 BULLISH/STRONG, OBV=DISTRIBUTION, CMF=ACCUMULATION, ATRP=2.8109% LOW, 52W=NEAR_HIGH, Session=NORMAL -2.1814%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
MRVL,2026-05-15T19:56:02.080656+00:00,2026-05-15T19:56:01.534519+00:00,QUICK_CROSSOVER,177.48,QUICK_CROSSOVER_REVIEW,Quick crossover mode active; symbol was loaded from the configured quick-crossover universe and sent to L2,STATUS_QUO_NO_CROSSOVER,MEDIUM,STATUS_QUO,"MRVL: L1=QUICK_CROSSOVER_REVIEW; L2=STATUS_QUO_NO_CROSSOVER (MEDIUM); Capital_Action=STATUS_QUO. Mixed timeframe signals are present. Support profile: PPO bearish; RSI constructive; ADX confirms bullish trend; OBV accumulation; CMF accumulation; EMA200 structure supportive; high volatility risk; opened with a bearish gap. MACD states: 1D=BEARISH, 4H=BULLISH, 1H=BEARISH; EMA200 zone=BULL_ZONE, distance=75.5174%, slope=RISING. Extended support: PPO=BEARISH, RSI=66.395, ADX=48.243 BULLISH/STRONG, OBV=ACCUMULATION, CMF=ACCUMULATION, ATRP=5.607% HIGH, 52W=MID_RANGE, Session=NORMAL -2.7933%, Gap=GAP_DOWN -4.6993%.",EMA200|PRICE_CONTEXT|SESSION_CONTEXT|MACD|PPO|RSI|ADX_DMI|OBV|CMF|ATRP
