Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
XOM,XOM,Exxon Mobil Corporation Common Stock,N, ,N,"6,32,47,74,87,450.00",,,Energy,Integrated oil Companies
CVX,CVX,Chevron Corporation Common Stock,N, ,N,"3,71,52,25,98,916.00",,,Energy,Integrated oil Companies
SHEL,SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,N, ,N,"2,46,66,62,50,255.00",,,Energy,Oil & Gas Production
BHP,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),N, ,N,"2,26,81,15,65,157.00",,,Energy,Coal Mining
TTE,TTE,TotalEnergies SE Ordinary Shares,N, ,N,"2,00,27,30,94,989.00",,,Energy,Oil & Gas Production
COP,COP,ConocoPhillips Common Stock,N, ,N,"1,45,35,46,57,975.00",,,Energy,Integrated oil Companies
PBR,PBR,Petroleo Brasileiro S.A. Petrobras ADS,N, ,N,"1,28,69,39,96,629.00",,,Energy,Oil & Gas Production
ENB,ENB,Enbridge Inc Common Stock,N, ,N,"1,22,49,45,66,492.00",,,Energy,Natural Gas Distribution
BP,BP,BP p.l.c. Common Stock,N, ,N,"1,15,50,10,97,702.00",,,Energy,Integrated oil Companies
CNQ,CNQ,Canadian Natural Resources Limited Common Stock,N, ,N,"99,73,03,21,320.00",,,Energy,Oil & Gas Production
E,E,ENI S.p.A. Common Stock,N, ,N,"87,52,69,56,969.00",,,Energy,Oil & Gas Production
BE,BE,Bloom Energy Corporation Class A Common Stock,N, ,N,"86,31,44,91,745.00",,,Energy,Industrial Machinery/Components
SLB,SLB,SLB Limited Common Shares,N, ,N,"83,40,92,66,907.00",,,Energy,Oilfield Services/Equipment
SU,SU,Suncor Energy  Inc. Common Stock,N, ,N,"78,93,87,19,611.00",,,Energy,Integrated oil Companies
MPC,MPC,Marathon Petroleum Corporation Common Stock,N, ,N,"73,05,13,04,176.00",,,Energy,Integrated oil Companies
EOG,EOG,"EOG Resources, Inc. Common Stock",N, ,N,"72,79,43,41,195.00",,,Energy,Oil & Gas Production
VLO,VLO,Valero Energy Corporation Common Stock,N, ,N,"72,30,90,71,073.00",,,Energy,Integrated oil Companies
PSX,PSX,Phillips 66 Common Stock,N, ,N,"69,06,70,71,220.00",,,Energy,Integrated oil Companies
