Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
TSLA,TSLA,"Tesla, Inc.  - Common Stock",Q,Q,N,"16,75,65,37,62,285.00",,,Industrials,Auto Manufacturing
CAT,CAT,"Caterpillar, Inc. Common Stock",N, ,N,"4,20,44,41,42,296.00",,,Industrials,Construction/Ag Equipment/Trucks
TM,TM,Toyota Motor Corporation Common Stock,N, ,N,"2,48,49,07,69,610.00",,,Industrials,Auto Manufacturing
RTX,RTX,RTX Corporation Common Stock,N, ,N,"2,38,20,13,64,745.00",,,Industrials,Aerospace
BA,BA,Boeing Company (The) Common Stock,N, ,N,"1,82,48,41,06,603.00",,,Industrials,Aerospace
GLW,GLW,Corning Incorporated Common Stock,N, ,N,"1,79,58,06,88,565.00",,,Industrials,Telecommunications Equipment
TMO,TMO,Thermo Fisher Scientific Inc Common Stock,N, ,N,"1,67,78,70,91,448.00",,,Industrials,Industrial Machinery/Components
UNP,UNP,Union Pacific Corporation Common Stock,N, ,N,"1,58,82,12,53,044.00",,,Industrials,Railroads
DE,DE,Deere & Company Common Stock,N, ,N,"1,56,83,77,93,293.00",,,Industrials,Industrial Machinery/Components
HON,HON,Honeywell International Inc. - Common Stock,Q,Q,N,"1,38,57,99,37,125.00",,,Industrials,Aerospace
LMT,LMT,Lockheed Martin Corporation Common Stock,N, ,N,"1,19,64,29,14,645.00",,,Industrials,Military/Government/Technical
DHR,DHR,Danaher Corporation Common Stock,N, ,N,"1,16,75,38,42,630.00",,,Industrials,Industrial Machinery/Components
PWR,PWR,"Quanta Services, Inc. Common Stock",N, ,N,"1,16,63,95,02,915.00",,,Industrials,Engineering & Construction
PH,PH,Parker-Hannifin Corporation Common Stock,N, ,N,"1,11,34,43,68,398.00",,,Industrials,Metal Fabrications
HWM,HWM,Howmet Aerospace Inc. Common Stock,N, ,N,"1,08,27,70,87,049.00",,,Industrials,Metal Fabrications
CMI,CMI,Cummins Inc. Common Stock,N, ,N,"98,46,89,98,211.00",,,Industrials,Industrial Machinery/Components
GD,GD,General Dynamics Corporation Common Stock,N, ,N,"92,34,92,04,559.00",,,Industrials,Marine Transportation
JCI,JCI,Johnson Controls International plc Ordinary Share,N, ,N,"88,77,18,20,237.00",,,Industrials,Industrial Machinery/Components
CSX,CSX,CSX Corporation - Common Stock,Q,Q,N,"84,89,83,64,331.00",,,Industrials,Railroads
UPS,UPS,"United Parcel Service, Inc. Common Stock",N, ,N,"84,24,41,22,312.00",,,Industrials,Trucking Freight/Courier Services
ADP,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,"83,88,29,00,352.00",,,Industrials,Diversified Commercial Services
NOC,NOC,Northrop Grumman Corporation Common Stock,N, ,N,"78,18,37,47,199.00",,,Industrials,Industrial Machinery/Components
RACE,RACE,Ferrari N.V. Common Shares,N, ,N,"77,87,31,17,033.00",,,Industrials,Auto Manufacturing
CP,CP,Canadian Pacific Kansas City Limited Common Shares,N, ,N,"77,64,14,25,894.00",,,Industrials,Railroads
RKLB,RKLB,Rocket Lab Corporation - Common Stock,Q,S,N,"76,06,81,36,371.00",,,Industrials,Military/Government/Technical
CRH,CRH,CRH PLC Ordinary Shares,N, ,N,"72,33,55,12,416.00",,,Industrials,Building Materials
ITW,ITW,Illinois Tool Works Inc. Common Stock,N, ,N,"72,12,63,61,230.00",,,Industrials,Industrial Machinery/Components
FIX,FIX,"Comfort Systems USA, Inc. Common Stock",N, ,N,"71,89,12,70,353.00",,,Industrials,Engineering & Construction
