Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,Q,Q,N,"56,89,04,11,83,540.00",,,Technology,Semiconductors
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,Q,Q,N,"48,74,87,13,88,400.00",,,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,Q,Q,N,"48,30,40,68,80,000.00",,,Technology,Computer Software: Programming Data Processing
AAPL,AAPL,Apple Inc. - Common Stock,Q,Q,N,"43,79,25,55,01,740.00",,,Technology,Computer Manufacturing
MSFT,MSFT,Microsoft Corporation - Common Stock,Q,Q,N,"30,38,41,55,04,804.00",,,Technology,Computer Software: Prepackaged Software
AVGO,AVGO,Broadcom Inc. - Common Stock,Q,Q,N,"20,57,45,00,59,357.00",,,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",Q,Q,N,"15,70,77,63,40,515.00",,,Technology,Computer Software: Programming Data Processing
MU,MU,"Micron Technology, Inc. - Common Stock",Q,Q,N,"8,93,34,58,05,840.00",,,Technology,Semiconductors
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,Q,N,"7,28,50,34,47,486.00",,,Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,Q,Q,N,"6,13,78,34,12,777.00",,,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,Q,Q,N,"5,81,55,79,57,400.00",,,Technology,Semiconductors
ORCL,ORCL,Oracle Corporation Common Stock,N, ,N,"5,65,11,42,78,540.00",,,Technology,Computer Software: Prepackaged Software
LRCX,LRCX,Lam Research Corporation - Common Stock,Q,Q,N,"3,75,22,13,22,840.00",,,Technology,Industrial Machinery/Components
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",Q,Q,N,"3,53,79,92,14,807.00",,,Technology,Semiconductors
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,Q,Q,N,"3,20,97,61,00,601.00",,,Technology,Computer Software: Prepackaged Software
GE,GE,GE Aerospace Common Stock,N, ,N,"3,02,97,99,16,358.00",,,Technology,Consumer Electronics/Appliances
TXN,TXN,Texas Instruments Incorporated - Common Stock,Q,Q,N,"2,81,21,41,21,955.00",,,Technology,Semiconductors
KLAC,KLAC,KLA Corporation  - Common Stock,Q,Q,N,"2,48,69,78,18,406.00",,,Technology,Electronic Components
ARM,ARM,Arm Holdings plc - American Depositary Shares,Q,Q,N,"2,35,81,93,89,262.00",,,Technology,Semiconductors
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,Q,Q,N,"2,11,45,35,85,400.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
ADI,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,"2,08,40,94,72,582.00",,,Technology,Semiconductors
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,Q,Q,N,"2,07,75,56,84,239.00",,,Technology,Electronic Components
IBM,IBM,International Business Machines Corporation Common Stock,N, ,N,"2,06,41,76,05,194.00",,,Technology,Computer Manufacturing
SAP,SAP,SAP  SE ADS,N, ,N,"2,01,91,69,55,572.00",,,Technology,Computer Software: Prepackaged Software
NEE,NEE,"NextEra Energy, Inc. Common Stock",N, ,N,"1,97,71,12,23,443.00",,,Technology,EDP Services
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",Q,Q,N,"1,92,58,00,80,000.00",,,Technology,Computer peripheral equipment
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),Q,Q,N,"1,80,50,32,17,415.00",,,Technology,Electronic Components
WDC,WDC,Western Digital Corporation - Common Stock,Q,Q,N,"1,68,37,37,39,704.00",,,Technology,Electronic Components
APP,APP,Applovin Corporation - Class A Common Stock,Q,Q,N,"1,62,11,82,94,734.00",,,Technology,Computer Software: Programming Data Processing
DELL,DELL,Dell Technologies Inc. Class C Common Stock ,N, ,N,"1,59,86,52,51,114.00",,,Technology,Computer Manufacturing
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",Q,Q,N,"1,58,56,55,13,566.00",,,Technology,Semiconductors
ETN,ETN,"Eaton Corporation, PLC Ordinary Shares",N, ,N,"1,57,68,47,47,000.00",,,Technology,Industrial Machinery/Components
