Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
SO,SO,Southern Company (The) Common Stock,N, ,N,"1,05,30,60,89,267.00",,,Utilities,Electric Utilities: Central
CEG,CEG,Constellation Energy Corporation - Common Stock When-Issued,Q,Q,N,"99,98,10,21,339.00",,,Utilities,Electric Utilities: Central
DUK,DUK,Duke Energy Corporation (Holding Company) Common Stock,N, ,N,"96,38,14,80,308.00",,,Utilities,Power Generation
WMB,WMB,"Williams Companies, Inc. (The) Common Stock",N, ,N,"94,35,43,16,145.00",,,Utilities,Natural Gas Distribution
WM,WM,"Waste Management, Inc. Common Stock",N, ,N,"87,72,02,07,267.00",,,Utilities,Environmental Services
NGG,NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",N, ,N,"86,82,70,35,488.00",,,Utilities,Natural Gas Distribution
EPD,EPD,Enterprise Products Partners L.P. Common Stock,N, ,N,"84,34,00,00,055.00",,,Utilities,Natural Gas Distribution
CIEN,CIEN,Ciena Corporation Common Stock,N, ,N,"82,28,61,07,601.00",,,Utilities,Telecommunications Equipment
KMI,KMI,"Kinder Morgan, Inc. Common Stock",N, ,N,"74,18,68,14,867.00",,,Utilities,Natural Gas Distribution
AEP,AEP,"American Electric Power Company, Inc. - Common Stock",Q,Q,N,"69,68,35,31,448.00",,,Utilities,Electric Utilities: Central
TRP,TRP,TC Energy Corporation Common Stock,N, ,N,"68,22,50,00,000.00",,,Utilities,Natural Gas Distribution
RSG,RSG,"Republic Services, Inc. Common Stock",N, ,N,"63,96,49,02,008.00",,,Utilities,Environmental Services
SRE,SRE,DBA Sempra Common Stock,N, ,N,"60,47,28,66,155.00",,,Utilities,Natural Gas Distribution
TRGP,TRGP,"Targa Resources, Inc. Common Stock",N, ,N,"57,03,30,31,466.00",,,Utilities,Natural Gas Distribution
OKE,OKE,"ONEOK, Inc. Common Stock",N, ,N,"56,95,49,69,821.00",,,Utilities,Oil & Gas Production
D,D,"Dominion Energy, Inc. Common Stock",N, ,N,"55,15,06,48,322.00",,,Utilities,Electric Utilities: Central
ETR,ETR,Entergy Corporation Common Stock,N, ,N,"51,36,80,35,931.00",,,Utilities,Electric Utilities: Central
LNG,LNG,"Cheniere Energy, Inc. Common Stock",N, ,N,"50,34,48,36,287.00",,,Utilities,Oil/Gas Transmission
XEL,XEL,Xcel Energy Inc. - Common Stock,Q,Q,N,"49,89,78,65,931.00",,,Utilities,Power Generation
VST,VST,Vistra Corp. Common Stock,N, ,N,"47,39,43,67,702.00",,,Utilities,Electric Utilities: Central
EXC,EXC,Exelon Corporation - Common Stock,Q,Q,N,"45,51,74,14,197.00",,,Utilities,Power Generation
PCG,PCG,Pacific Gas & Electric Co. Common Stock,N, ,N,"44,66,16,72,019.00",,,Utilities,Power Generation
WCN,WCN,"Waste Connections, Inc. Common Shares",N, ,N,"39,64,01,80,348.00",,,Utilities,Environmental Services
ED,ED,"Consolidated Edison, Inc. Common Stock",N, ,N,"39,42,53,07,841.00",,,Utilities,Power Generation
PEG,PEG,Public Service Enterprise Group Incorporated Common Stock,N, ,N,"38,58,50,26,157.00",,,Utilities,Power Generation
WEC,WEC,"WEC Energy Group, Inc. Common Stock",N, ,N,"36,17,34,65,170.00",,,Utilities,Power Generation
VG,VG,"Venture Global, Inc. Class A common stock",N, ,N,"32,58,23,55,563.00",,,Utilities,Oil/Gas Transmission
AXIA,AXIA,AXIA Energia American Depositary Shares (Each representing one Common Share),N, ,N,"31,45,52,95,134.00",,,Utilities,Electric Utilities: Central
AEE,AEE,Ameren Corporation Common Stock,N, ,N,"30,18,25,31,241.00",,,Utilities,Power Generation
ATO,ATO,Atmos Energy Corporation Common Stock,N, ,N,"30,10,73,28,294.00",,,Utilities,Oil/Gas Transmission
DTE,DTE,DTE Energy Company Common Stock,N, ,N,"29,81,66,98,102.00",,,Utilities,Electric Utilities: Central
FTS,FTS,Fortis Inc. Common Shares,N, ,N,"28,78,96,05,000.00",,,Utilities,Electric Utilities: Central
NRG,NRG,"NRG Energy, Inc. Common Stock",N, ,N,"27,81,96,21,002.00",,,Utilities,Electric Utilities: Central
CNP,CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",N, ,N,"27,57,32,43,582.00",,,Utilities,Electric Utilities: Central
EIX,EIX,Edison International Common Stock,N, ,N,"27,08,56,45,507.00",,,Utilities,Electric Utilities: Central
PPL,PPL,PPL Corporation Common Stock,N, ,N,"26,88,52,40,186.00",,,Utilities,Electric Utilities: Central
ES,ES,Eversource Energy (D/B/A) Common Stock,N, ,N,"25,72,76,34,510.00",,,Utilities,Electric Utilities: Central
FE,FE,FirstEnergy Corp. Common Stock,N, ,N,"25,69,96,97,105.00",,,Utilities,Electric Utilities: Central
