"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap","TrailingPE","ForwardPE","Sector","Industry"
"AMZN","AMZN","Amazon.com, Inc. - Common Stock","Q","Q","N","2893232153907","","","Consumer Discretionary","Catalog/Specialty Distribution"
"TSLA","TSLA","Tesla, Inc.  - Common Stock","Q","Q","N","1675653762285","","","Industrials","Auto Manufacturing"
"WMT","WMT","Walmart Inc. - Common Stock","Q","Q","N","1058320487203","","","Consumer Discretionary","Department/Specialty Retail Stores"
"LLY","LLY","Eli Lilly and Company Common Stock","N","","N","950810375740","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"JPM","JPM","JP Morgan Chase & Co. Common Stock","N","","N","805456309130","","","Finance","Major Banks"
"XOM","XOM","Exxon Mobil Corporation Common Stock","N","","N","632477487450","","","Energy","Integrated oil Companies"
"V","V","Visa Inc.","N","","N","610719635298","","","Real Estate","Real Estate"
"AZN","AZN","AstraZeneca PLC Ordinary Shares","N","","N","575671312171","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"JNJ","JNJ","Johnson & Johnson Common Stock","N","","N","553852480688","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"COST","COST","Costco Wholesale Corporation - Common Stock","Q","Q","N","460511336520","","","Consumer Discretionary","Department/Specialty Retail Stores"
"CSCO","CSCO","Cisco Systems, Inc. - Common Stock","Q","Q","N","452835487800","","","Telecommunications","Computer Communications Equipment"
"MA","MA","Mastercard Incorporated Common Stock","N","","N","434555375728","","","Real Estate","Real Estate"
"CAT","CAT","Caterpillar, Inc. Common Stock","N","","N","420444142296","","","Industrials","Construction/Ag Equipment/Trucks"
"ABBV","ABBV","AbbVie Inc. Common Stock","N","","N","373075972082","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"CVX","CVX","Chevron Corporation Common Stock","N","","N","371522598916","","","Energy","Integrated oil Companies"
"NFLX","NFLX","Netflix, Inc. - Common Stock","Q","Q","N","368697519112","","","Consumer Discretionary","Consumer Electronics/Video Chains"
"UNH","UNH","UnitedHealth Group Incorporated Common Stock (DE)","N","","N","362245180590","","","Health Care","Medical Specialities"
"BAC","BAC","Bank of America Corporation Common Stock","N","","N","354581151877","","","Finance","Major Banks"
"KO","KO","Coca-Cola Company (The) Common Stock","N","","N","347474261760","","","Consumer Staples","Beverages (Production/Distribution)"
"PG","PG","Procter & Gamble Company (The) Common Stock","N","","N","334380991743","","","Consumer Discretionary","Package Goods/Cosmetics"
"BABA","BABA","Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share","N","","N","328541189343","","","Real Estate","Real Estate"
"HSBC","HSBC","HSBC Holdings, plc. Common Stock","N","","N","313121797888","","","Finance","Savings Institutions"
"MS","MS","Morgan Stanley Common Stock","N","","N","306892306844","","","Finance","Investment Bankers/Brokers/Service"
"HD","HD","Home Depot, Inc. (The) Common Stock","N","","N","302857149830","","","Consumer Discretionary","RETAIL: Building Materials"
"PM","PM","Philip Morris International Inc Common Stock","N","","N","298853658721","","","Health Care","Medicinal Chemicals and Botanical Products"
"NVS","NVS","Novartis AG Common Stock","N","","N","286909686454","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"GS","GS","Goldman Sachs Group, Inc. (The) Common Stock","N","","N","285906442062","","","Finance","Investment Bankers/Brokers/Service"
"MRK","MRK","Merck & Company, Inc. Common Stock (new)","N","","N","278991365918","","","Health Care","Biotechnology: Pharmaceutical Preparations"
"RY","RY","Royal Bank Of Canada Common Stock","N","","N","254726116224","","","Finance","Commercial Banks"
"TM","TM","Toyota Motor Corporation Common Stock","N","","N","248490769610","","","Industrials","Auto Manufacturing"
"SHEL","SHEL","Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ","N","","N","246666250255","","","Energy","Oil & Gas Production"
"RTX","RTX","RTX Corporation Common Stock","N","","N","238201364745","","","Industrials","Aerospace"
"LIN","LIN","Linde plc - Ordinary Shares","Q","Q","N","237022125797","","","Basic Materials","Major Chemicals"
"CCZ","CCZ","Comcast Holdings ZONES","N","","N","228367191933","","","Telecommunications","Cable & Other Pay Television Services"
"BHP","BHP","BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)","N","","N","226811565157","","","Energy","Coal Mining"
"WFC","WFC","Wells Fargo & Company Common Stock","N","","N","225031034441","","","Finance","Major Banks"
"MUFG","MUFG","Mitsubishi UFJ Financial Group, Inc. Common Stock","N","","N","220086699011","","","Finance","Commercial Banks"
